Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP5_A00_neg m/z,ORP5_A00_neg RT mean,ORP5_A00_neg Normalized Area,ORP5_A08_neg m/z,ORP5_A08_neg RT mean,ORP5_A08_neg Normalized Area,ORP5_A09_neg m/z,ORP5_A09_neg RT mean,ORP5_A09_neg Normalized Area,ORP5_A10_neg m/z,ORP5_A10_neg RT mean,ORP5_A10_neg Normalized Area,ORP5_A11_neg m/z,ORP5_A11_neg RT mean,ORP5_A11_neg Normalized Area,ORP5_A04_neg m/z,ORP5_A04_neg RT mean,ORP5_A04_neg Normalized Area,ORP5_A05_neg m/z,ORP5_A05_neg RT mean,ORP5_A05_neg Normalized Area,ORP5_A06_neg m/z,ORP5_A06_neg RT mean,ORP5_A06_neg Normalized Area,ORP5_A07_neg m/z,ORP5_A07_neg RT mean,ORP5_A07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.15,10.27,461.9910,0.29 - 0.47,1,8.4E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,461.9910,0.39,5.88E4,-,-,0,-,-,0,461.9910,0.37,1.68E4,0:0:0:0:0:1.00:0:0:0.29,0,1.89E4,0:1.00,0.38,,
,0.15,5.23,442.9404,0.46 - 0.78,1,1.2E3,-,-,0,-,-,0,-,-,0,442.9406,0.69,3.06E3,-,-,0,442.9402,0.69,7.38E3,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:2.42:0:0:0,6.11E2,1.85E3,1.00:3.02,0.69,,
,0.15,5.19,620.8563,13.65 - 20.33,1,9.4E3,-,-,0,620.8575,15.41,7.67E3,620.8555,15.79,1.54E4,620.8602,15.02,1.86E3,-,-,0,620.8560,14.58,2.5E4,620.8518,16.12,2.3E4,620.8567,15.52,1.12E4,-,-,0,0:1.00:2.01:0.24:0:3.26:3.00:1.46:0,4.98E3,1.48E4,1.00:2.97,15.41,,
,0.15,10.36,301.0717,0.11 - 0.30,1,1.9E4,-,-,0,301.0717,0.17,1.71E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.42E4,0,1.00:0,0.17,,
,0.15,10.45,540.3321,1.83 - 2.15,1,518.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,540.3325,2.05,2.03E3,540.3317,2.05,2.64E3,-,-,0,-,-,0,0:0:0:0:0:1.00:1.30:0:0,0,1.17E3,0:1.00,2.05,,
,0.15,10.45,774.4619,3.56 - 9.02,3,9.1E4,774.4612,4.00,3.89E5,-,-,0,-,-,0,774.4622,4.02,4.16E5,774.4615,4.01,3.8E3,774.4642,4.03,3.01E3,774.4609,4.02,2.04E3,-,-,0,774.4615,4.02,1.55E3,1.00:0:0:1.07:0.01:0.01:0.01:0:0.00,1.62E5,1.65E3,1.00:0.01,4.02,,
,0.15,4.19,792.7978,9.04 - 13.19,1,2.3E3,-,-,0,792.7970,10.11,2.14E3,-,-,0,-,-,0,792.7957,9.75,5.98E3,792.7971,11.38,7.66E3,792.7969,9.11,3.65E2,792.8005,9.87,1.16E3,792.7997,12.56,3E3,0:1.00:0:0:2.79:3.57:0.17:0.54:1.40,1.63E3,3.05E3,1.00:1.88,10.46,,
,0.15,4.31,463.2691,3.88 - 5.15,2,3.2E3,463.2691,4.33,6.2E2,463.2694,4.56,6.19E3,-,-,0,463.2693,4.48,4.29E3,-,-,0,463.2694,5.09,8.24E3,463.2684,4.40,3.68E3,463.2692,4.46,5.56E3,-,-,0,0.10:1.00:0:0.69:0:1.33:0.59:0.90:0,2.22E3,4.37E3,1.00:1.97,4.55,,
,0.15,4.18,527.2397,5.45 - 6.15,1,1.1E3,-,-,0,-,-,0,-,-,0,-,-,0,527.2396,5.63,7.19E3,527.2399,5.64,3.1E3,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0.43:0:0:0,1.44E3,7.76E2,1.00:0.54,5.63,,
,0.15,4.04,646.7966,8.62 - 11.98,1,476.4,-,-,0,646.7991,9.63,3.04E2,-,-,0,646.7974,9.71,1.49E3,-,-,0,646.7957,10.72,1.04E3,646.8004,9.27,4.35E2,646.7896,8.68,2.92E2,646.7974,11.78,7.24E2,0:1.00:0:4.91:0:3.42:1.43:0.96:2.38,3.59E2,6.23E2,1.00:1.73,9.97,,
,0.15,6.62,981.1308,4.53 - 4.64,1,433.7,-,-,0,-,-,0,981.1287,4.56,7.86E2,-,-,0,-,-,0,981.1306,4.58,2.55E3,-,-,0,981.1331,4.56,5.68E2,-,-,0,0:0:1.00:0:0:3.24:0:0.72:0,1.57E2,7.79E2,1.00:4.96,4.57,,
,0.15,3.26,848.7359,19.50 - 20.14,1,4.3E3,-,-,0,848.7324,19.80,1.09E4,-,-,0,848.7381,19.80,9.15E3,-,-,0,848.7356,19.87,8.01E3,-,-,0,848.7400,19.97,4.12E3,848.7336,19.88,6.51E3,0:1.00:0:0.84:0:0.73:0:0.38:0.60,4.02E3,4.66E3,1.00:1.16,19.86,,
,0.15,10.62,573.3322,1.15 - 1.41,1,487.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,573.3322,1.34,1.71E3,573.3323,1.34,2.68E3,-,-,0,-,-,0,0:0:0:0:0:1.00:1.56:0:0,0,1.1E3,0:1.00,1.34,,
,0.15,5.19,697.7894,16.42 - 17.36,2,701.6,-,-,0,697.7902,16.75,4.86E2,697.7891,17.15,1.05E3,-,-,0,697.7905,16.92,3.79E2,697.7893,17.05,3.6E3,697.7906,16.57,4.82E2,697.7867,16.73,3.15E2,-,-,0,0:1.00:2.16:0:0.78:7.41:0.99:0.65:0,3.83E2,1.1E3,1.00:2.87,16.86,,
,0.15,4.41,489.0970,0.37 - 0.79,1,3.3E3,-,-,0,-,-,0,-,-,0,489.0969,0.53,1.12E4,-,-,0,489.0971,0.56,1.83E4,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:1.64:0:0:0,2.23E3,4.57E3,1.00:2.05,0.55,,
,0.15,10.62,757.4018,0.10 - 0.47,1,4.2E3,757.4006,0.14,3.38E4,-,-,0,757.4030,0.40,3.53E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0.10:0:0:0:0:0:0,7.47E3,0,1.00:0,0.27,,
,0.15,10.62,327.1956,0.10 - 0.25,1,2.6E4,327.1956,0.16,2.38E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,4.77E4,0,1.00:0,0.16,,
,0.15,6.23,574.7981,3.50 - 9.05,1,1.6E3,-,-,0,574.7967,4.24,1.11E3,574.7997,4.12,2.15E3,-,-,0,-,-,0,574.7974,4.14,3.02E3,574.7974,4.05,6.49E3,574.7990,3.60,7.42E2,574.7982,4.79,9.08E2,0:1.00:1.93:0:0:2.72:5.84:0.67:0.82,6.52E2,2.79E3,1.00:4.28,4.16,,
,0.15,4.48,804.7678,13.57 - 14.76,1,1E3,804.7662,14.18,2.03E3,804.7668,13.98,8.77E2,-,-,0,804.7711,14.38,4.59E2,-,-,0,804.7703,13.86,3.92E3,804.7638,14.31,9.88E2,804.7685,14.39,7.95E2,-,-,0,2.32:1.00:0:0.52:0:4.47:1.13:0.91:0,6.74E2,1.43E3,1.00:2.12,14.18,,
,0.15,4.23,724.8056,8.44 - 15.10,1,9.1E3,-,-,0,724.8052,8.78,1.87E3,-,-,0,724.8040,10.10,3.09E4,-,-,0,724.8037,8.59,3.91E3,724.8046,8.57,9.76E3,724.8093,8.99,4.97E3,724.8069,10.12,3.09E4,0:1.00:0:16.49:0:2.09:5.21:2.65:16.48,6.55E3,1.24E4,1.00:1.89,9.19,,
,0.15,3.24,568.0902,3.22 - 3.71,1,883.5,-,-,0,568.0900,3.26,3.48E2,568.0906,3.25,2.6E3,-,-,0,568.0901,3.68,1.74E3,-,-,0,568.0906,3.27,2.2E3,568.0900,3.67,1.07E3,-,-,0,0:1.00:7.46:0:4.99:0:6.33:3.07:0,9.36E2,8.18E2,1.00:0.87,3.43,,
,0.15,5.08,312.7395,4.64 - 9.78,2,6.5E3,312.7399,5.47,2.51E3,312.7400,5.13,3.11E3,312.7393,4.78,1.27E4,-,-,0,312.7393,6.08,1.32E3,312.7394,6.12,-,312.7393,5.14,2.06E4,312.7393,5.22,1.16E4,-,-,0,0.81:1.00:4.10:0:0.43:-:6.63:3.74:0,3.94E3,1.08E4,1.00:2.73,5.42,,
,0.15,3.78,668.7832,17.96 - 19.33,1,411.5,-,-,0,668.7832,18.49,6.41E2,668.7815,19.21,4.98E2,-,-,0,668.7805,18.33,1.29E3,668.7806,18.22,3.59E2,668.7849,18.14,4.82E2,668.7887,18.00,4.35E2,-,-,0,0:1.00:0.78:0:2.01:0.56:0.75:0.68:0,4.85E2,3.19E2,1.00:0.66,18.40,,
,0.14,3.01,453.2724,8.59 - 9.72,1,1E3,-,-,0,453.2725,9.38,2.66E3,-,-,0,-,-,0,453.2727,9.24,2.57E3,453.2720,8.83,4.2E3,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0.97:1.58:0:0:0,1.05E3,1.05E3,1.00:1.00,9.15,,
,0.14,10.47,280.9078,0.15 - 0.31,1,1.5E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,280.9078,0.16,1.36E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,3.4E4,0:1.00,0.16,,
,0.14,10.47,709.4843,0.10 - 0.34,1,2.6E4,709.4874,0.18,1.17E4,-,-,0,709.4811,0.16,2.22E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:18.95:0:0:0:0:0:0,4.67E4,0,1.00:0,0.17,,
,0.14,10.47,844.0178,4.70 - 4.79,1,170.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,844.0178,4.72,9.82E2,-,-,0,-,-,0,844.0177,4.73,5.54E2,0:0:0:0:0:1.00:0:0:0.56,0,3.84E2,0:1.00,4.73,,
,0.14,3.81,424.0381,0.18 - 0.81,2,2E3,-,-,0,-,-,0,424.0389,0.27,8.13E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,424.0372,0.18,1.01E4,0:0:1.00:0:0:0:0:0:1.24,1.63E3,2.53E3,1.00:1.55,0.22,,
,0.14,5.03,409.0226,1.27 - 1.51,1,562,-,-,0,-,-,0,409.0222,1.43,1.59E3,-,-,0,-,-,0,409.0223,1.42,2.3E3,-,-,0,409.0234,1.44,1.16E3,-,-,0,0:0:1.00:0:0:1.45:0:0.73:0,3.18E2,8.67E2,1.00:2.72,1.43,,
,0.14,7.22,464.8266,18.14 - 19.49,1,1.8E3,-,-,0,464.8260,18.42,2.8E3,-,-,0,-,-,0,-,-,0,464.8267,18.48,3.34E3,464.8271,18.82,2.67E3,464.8272,18.52,2.4E3,464.8260,18.41,5.16E3,0:1.00:0:0:0:1.19:0.95:0.86:1.84,5.6E2,3.39E3,1.00:6.05,18.53,,
,0.14,3.53,671.7992,13.20 - 14.61,1,342.2,-,-,0,671.7992,13.33,7.49E2,-,-,0,671.7932,14.57,3.15E2,671.8001,14.02,4.19E2,671.7994,14.11,7.22E2,671.8011,14.17,3.95E2,671.8025,13.86,4.8E2,-,-,0,0:1.00:0:0.42:0.56:0.96:0.53:0.64:0,2.97E2,3.99E2,1.00:1.35,14.01,,
,0.14,3.60,529.3000,3.27 - 3.94,1,1.8E3,-,-,0,-,-,0,529.2998,3.85,1.85E3,-,-,0,529.2994,3.85,5.92E3,529.3004,3.85,2.88E3,-,-,0,529.3003,3.86,5.81E3,-,-,0,0:0:1.00:0:3.20:1.55:0:3.14:0,1.56E3,2.17E3,1.00:1.40,3.85,,
,0.14,4.41,668.7884,8.40 - 13.43,1,2.8E3,668.7903,8.43,1.68E4,668.7903,9.12,1.64E3,-,-,0,-,-,0,-,-,0,668.7853,9.17,1.77E3,668.7890,9.15,1.26E3,668.7871,9.07,1.25E3,668.7881,11.29,2.88E3,10.24:1.00:0:0:0:1.07:0.77:0.76:1.75,3.69E3,1.79E3,1.00:0.48,9.37,,
,0.14,10.43,667.0971,0.10 - 0.20,1,8.3E4,-,-,0,-,-,0,667.0973,0.16,6.78E5,667.0969,0.16,6.77E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0.10:0:0:0:0:0,1.49E5,0,1.00:0,0.16,,
,0.14,7.95,768.7868,12.52 - 15.18,1,2.6E3,-,-,0,768.7859,13.35,2.57E3,-,-,0,-,-,0,768.7854,12.89,7.1E2,768.7873,13.86,3.55E3,768.7811,14.70,1.98E3,768.7910,13.02,5.08E3,768.7899,14.11,9.92E3,0:1.00:0:0:0.28:1.38:0.77:1.98:3.87,6.55E2,5.13E3,1.00:7.84,13.66,,
,0.14,4.01,675.8384,17.72 - 19.45,1,681.2,-,-,0,675.8383,18.97,1.18E3,-,-,0,675.8394,17.89,1.99E3,675.8364,18.14,1.02E3,675.8385,18.80,6.6E2,-,-,0,675.8374,18.74,1.86E2,675.8402,19.39,1.1E3,0:1.00:0:1.68:0.86:0.56:0:0.16:0.93,8.37E2,4.86E2,1.00:0.58,18.65,,
,0.14,6.64,670.7804,17.74 - 18.91,2,1.5E3,670.7784,17.92,9.52E2,670.7802,18.75,1.64E3,670.7821,18.48,1.92E3,-,-,0,670.7802,18.35,7.24E3,-,-,0,670.7812,18.08,1.18E3,670.7802,18.83,6.77E2,-,-,0,0.58:1.00:1.17:0:4.42:0:0.72:0.41:0,2.35E3,4.65E2,1.00:0.20,18.40,,
,0.14,3.02,535.8848,1.31 - 2.01,1,888.6,-,-,0,535.8858,1.42,8.36E2,535.8848,1.43,2.97E3,535.8851,1.43,6.25E2,-,-,0,535.8849,1.43,2.72E3,535.8835,1.45,8.49E2,-,-,0,-,-,0,0:1.00:3.55:0.75:0:3.25:1.02:0:0,8.85E2,8.93E2,1.00:1.01,1.43,,
,0.14,5.45,525.2403,5.51 - 5.91,1,248.1,-,-,0,-,-,0,-,-,0,-,-,0,525.2396,5.60,1.79E3,525.2411,5.71,4.39E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0.25:0:0:0,3.59E2,1.1E2,1.00:0.31,5.66,,
,0.14,3.43,645.7886,11.76 - 14.70,1,772.6,645.7874,12.19,7.08E2,645.7899,13.91,1.05E3,645.7896,13.38,1.04E3,645.7892,11.80,6.35E2,-,-,0,645.7875,13.64,2.05E3,-,-,0,645.7883,13.55,1.47E3,-,-,0,0.67:1.00:0.99:0.60:0:1.94:0:1.39:0,6.88E2,8.79E2,1.00:1.28,13.08,,
,0.14,4.85,271.2283,0.85 - 7.49,1,1E5,271.2282,1.86,1.71E5,-,-,0,271.2283,2.49,1.29E5,-,-,0,-,-,0,271.2283,1.23,2.41E5,-,-,0,271.2283,1.28,1.93E5,271.2284,2.49,1.83E5,1.00:0:0.76:0:0:1.40:0:1.13:1.07,6.02E4,1.54E5,1.00:2.56,1.87,,
,0.14,3.14,552.7975,4.46 - 10.15,2,2.4E3,552.7987,4.85,2.13E3,552.7980,5.81,4.31E2,-,-,0,-,-,0,552.7964,6.46,9.96E3,552.7966,5.94,4.55E3,-,-,0,552.7965,5.74,2.48E3,552.7988,5.73,2.19E3,4.95:1.00:0:0:23.10:10.56:0:5.76:5.08,2.5E3,2.31E3,1.00:0.92,5.75,,
,0.14,4.34,770.7270,12.85 - 14.72,1,2.1E3,-,-,0,770.7277,13.49,8.59E2,-,-,0,-,-,0,770.7272,13.46,6.23E3,770.7279,14.02,2.27E3,770.7239,13.60,6.09E3,770.7284,13.70,3.07E3,-,-,0,0:1.00:0:0:7.25:2.64:7.09:3.57:0,1.42E3,2.86E3,1.00:2.02,13.65,,
,0.14,10.65,625.5171,2.87 - 4.10,1,3.1E3,625.5171,3.64,2.62E4,-,-,0,-,-,0,-,-,0,625.5170,3.65,1.31E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0.05:0:0:0:0,5.49E3,0,1.00:0,3.65,,
,0.14,3.10,682.8244,13.20 - 14.48,1,466,-,-,0,682.8240,14.19,5.18E2,-,-,0,682.8235,13.31,8.65E2,682.8291,14.06,1.01E3,682.8228,14.29,3.33E2,682.8212,14.35,6.6E2,682.8259,13.36,8.11E2,-,-,0,0:1.00:0:1.67:1.94:0.64:1.27:1.57:0,4.78E2,4.51E2,1.00:0.94,13.93,,
,0.14,10.64,589.5710,0.11 - 0.19,1,6.4E4,-,-,0,589.5713,0.15,3.91E5,-,-,0,589.5705,0.16,8.64E4,589.5713,0.16,9.47E4,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.22:0.24:0:0:0:0,1.14E5,0,1.00:0,0.16,,
,0.14,4.08,409.3112,4.21 - 4.77,1,1.4E3,-,-,0,409.3112,4.57,2.37E3,-,-,0,409.3117,4.55,3.23E3,409.3103,4.56,2.95E3,-,-,0,409.3114,4.49,3.87E3,-,-,0,-,-,0,0:1.00:0:1.36:1.24:0:1.63:0:0,1.71E3,9.68E2,1.00:0.57,4.54,,
,0.14,3.34,574.8535,15.36 - 16.36,1,588.5,574.8521,15.91,4.7E2,574.8521,15.43,8.27E2,574.8526,16.27,7.38E2,-,-,0,574.8550,15.90,6.55E2,574.8497,16.21,2.28E3,574.8594,16.02,3.27E2,-,-,0,-,-,0,0.57:1.00:0.89:0:0.79:2.76:0.40:0:0,5.38E2,6.52E2,1.00:1.21,15.95,,
,0.14,10.48,920.4883,8.87 - 9.14,1,928.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,920.4888,9.01,7.23E3,-,-,0,920.4879,8.99,1.13E3,-,-,0,0:0:0:0:0:1.00:0:0.16:0,0,2.09E3,0:1.00,9.00,,
,0.14,7.01,641.8446,18.07 - 20.25,1,2.4E3,641.8456,18.85,9.06E3,641.8441,19.33,7.67E3,-,-,0,641.8447,18.21,6.88E1,641.8445,18.83,2.07E3,641.8441,18.14,5.53E2,641.8446,19.41,1.84E3,641.8448,18.82,2.8E2,-,-,0,1.18:1.00:0:0.01:0.27:0.07:0.24:0.04:0,3.77E3,6.7E2,1.00:0.18,18.80,,
,0.14,4.02,818.8288,20.12 - 20.25,2,1.1E3,-,-,0,818.8305,20.17,1.76E3,-,-,0,818.8304,20.17,3.14E3,818.8278,20.16,2.09E3,-,-,0,818.8290,20.16,1.15E3,818.8265,20.17,2.11E3,-,-,0,0:1.00:0:1.78:1.18:0:0.65:1.19:0,1.4E3,8.15E2,1.00:0.58,20.17,,
,0.14,3.61,374.8340,0.00 - 0.84,1,1E3,374.8332,0.05,1.24E3,-,-,0,374.8339,0.05,1.04E3,-,-,0,374.8345,0.01,2.04E3,-,-,0,-,-,0,374.8344,0.05,1.63E3,374.8340,0.67,3.22E3,1.00:0:0.84:0:1.64:0:0:1.31:2.59,8.64E2,1.21E3,1.00:1.40,0.17,,
,0.14,3.60,712.7668,6.12 - 6.89,1,555.6,-,-,0,712.7666,6.31,5.98E2,-,-,0,712.7726,6.39,1.77E3,-,-,0,712.7677,6.17,8.49E2,712.7676,6.39,4.62E2,712.7676,6.80,6.3E2,712.7586,6.73,6.9E2,0:1.00:0:2.96:0:1.42:0.77:1.05:1.16,4.74E2,6.58E2,1.00:1.39,6.47,,
,0.14,10.59,609.5598,10.92 - 11.51,1,1.3E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,609.5598,11.17,1.19E5,0:0:0:0:0:0:0:0:1.00,0,2.97E4,0:1.00,11.17,,
,0.14,3.70,654.8030,8.87 - 10.02,1,858.1,654.8029,9.86,9.06E2,-,-,0,654.8020,9.91,1.24E3,654.7985,9.67,6.49E2,654.8090,9.66,2.2E3,-,-,0,-,-,0,654.8021,9.73,1.23E3,654.8038,8.92,1.5E3,1.00:0:1.37:0.72:2.43:0:0:1.35:1.66,9.99E2,6.82E2,1.00:0.68,9.62,,
,0.14,10.60,329.1928,0.10 - 0.29,1,1E4,329.1928,0.16,9.11E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.82E4,0,1.00:0,0.16,,
,0.14,5.41,587.9794,2.87 - 3.20,1,638.4,-,-,0,587.9797,3.05,8.3E2,-,-,0,587.9792,3.05,8.06E2,-,-,0,587.9792,3.05,3.6E3,-,-,0,587.9797,2.93,5.05E2,-,-,0,0:1.00:0:0.97:0:4.34:0:0.61:0,3.27E2,1.03E3,1.00:3.14,3.02,,
,0.14,10.60,944.0577,0.14 - 0.18,1,1.7E4,-,-,0,-,-,0,944.0577,0.16,1.55E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,3.11E4,0,1.00:0,0.16,,
,0.14,10.60,274.0468,0.00 - 5.16,1,1.1E5,-,-,0,-,-,0,-,-,0,274.0466,0.16,9.14E5,274.0469,0.18,3.8E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0.04:0:0:0:0,1.9E5,0,1.00:0,0.17,,
,0.14,10.60,487.3307,0.34 - 0.48,1,534.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,487.3303,0.43,1.37E3,487.3314,0.42,1.42E3,487.3304,0.42,2.02E3,0:0:0:0:0:0:1.00:1.04:1.48,0,1.2E3,0:1.00,0.42,,
,0.14,3.44,737.8404,19.92 - 20.26,1,763.8,-,-,0,737.8424,20.17,7.95E2,-,-,0,737.8405,20.17,1.45E3,737.8363,20.16,1.15E3,737.8409,20.17,1.39E3,-,-,0,-,-,0,737.8417,20.20,2.09E3,0:1.00:0:1.82:1.45:1.75:0:0:2.62,6.8E2,8.69E2,1.00:1.28,20.17,,
,0.14,4.26,724.8068,3.25 - 10.07,1,6.1E3,724.8079,4.92,1.13E4,724.8047,4.68,1.06E4,-,-,0,-,-,0,-,-,0,724.8055,5.07,2.16E4,724.8089,4.99,8.17E3,724.8069,5.48,3.62E3,-,-,0,1.07:1.00:0:0:0:2.04:0.77:0.34:0,4.37E3,8.34E3,1.00:1.91,5.03,,
,0.14,4.62,724.8072,5.98 - 11.12,1,8.8E3,724.8104,6.12,5.67E4,724.8069,6.77,1.36E3,-,-,0,-,-,0,-,-,0,724.8033,6.11,5.71E3,724.8049,6.58,1.32E3,724.8105,6.19,7.32E3,724.8069,6.82,6.38E3,41.64:1.00:0:0:0:4.20:0.97:5.38:4.69,1.16E4,5.18E3,1.00:0.45,6.43,,
,0.14,5.58,279.1639,0.70 - 1.21,1,5.6E3,-,-,0,-,-,0,279.1636,1.12,9.97E3,-,-,0,279.1644,1.13,3.86E3,279.1638,1.12,1.68E4,279.1636,1.13,1.99E4,-,-,0,-,-,0,0:0:1.00:0:0.39:1.69:2.00:0:0,2.77E3,9.17E3,1.00:3.32,1.13,,
,0.14,7.72,914.7275,19.74 - 20.16,1,1.5E3,-,-,0,-,-,0,914.7261,20.00,2.02E3,-,-,0,-,-,0,914.7262,19.85,2.89E3,914.7289,20.04,2.37E3,914.7283,20.01,2.54E3,914.7283,20.03,3.45E3,0:0:1.00:0:0:1.43:1.17:1.26:1.71,4.04E2,2.81E3,1.00:6.96,19.98,,
,0.14,9.03,780.7552,13.74 - 19.83,1,1.7E3,-,-,0,780.7521,13.86,9.64E2,780.7612,14.66,2.45E2,-,-,0,780.7543,14.83,-,780.7539,14.39,4.45E3,780.7573,14.74,1.37E3,780.7520,15.19,5.3E3,780.7556,14.86,1.52E3,0:1.00:0.25:0:-:4.62:1.42:5.50:1.58,3.02E2,3.16E3,1.00:10.46,14.65,,
,0.14,5.39,611.3126,1.85 - 8.86,1,2.2E4,611.3123,3.86,1.08E5,611.3137,3.86,2.68E4,611.3120,3.81,2.56E4,-,-,0,-,-,0,611.3129,3.84,1.05E4,-,-,0,-,-,0,611.3124,3.84,3.11E4,4.04:1.00:0.96:0:0:0.39:0:0:1.16,3.21E4,1.04E4,1.00:0.32,3.84,,
,0.14,10.79,319.1398,0.13 - 0.37,1,1.2E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,319.1402,0.23,2.65E4,-,-,0,-,-,0,319.1394,0.16,7.71E4,0:0:0:0:0:1.00:0:0:2.91,0,2.59E4,0:1.00,0.19,,
,0.14,5.57,846.7451,14.87 - 20.02,1,4.5E3,-,-,0,846.7454,15.73,4.68E3,846.7467,15.02,1.63E4,846.7426,16.21,1.13E4,-,-,0,-,-,0,846.7433,16.65,3.05E3,846.7472,15.93,3.93E3,846.7454,16.42,9.22E2,0:1.00:3.47:2.42:0:0:0.65:0.84:0.20,6.46E3,1.98E3,1.00:0.31,15.99,,
,0.14,3.48,778.3238,19.94 - 20.25,2,1.8E3,778.3255,20.12,3.22E3,-,-,0,-,-,0,778.3221,20.12,2.89E3,778.3250,20.11,4.13E3,-,-,0,778.3232,20.13,1.49E3,-,-,0,778.3231,20.12,4.81E3,1.00:0:0:0.90:1.28:0:0.46:0:1.50,2.05E3,1.57E3,1.00:0.77,20.12,,
,0.14,3.41,668.6941,0.15 - 0.21,1,5.2E4,-,-,0,668.6942,0.17,2.33E5,-,-,0,-,-,0,-,-,0,-,-,0,668.6940,0.17,2.33E5,-,-,0,-,-,0,0:1.00:0:0:0:0:1.00:0:0,4.65E4,5.82E4,1.00:1.25,0.17,,
,0.14,7.80,313.2390,0.28 - 8.27,1,5.7E4,-,-,0,-,-,0,313.2388,3.25,1.66E4,-,-,0,313.2393,3.25,6.15E4,313.2390,3.26,1.36E5,313.2390,3.27,1.02E5,313.2390,3.27,9.45E4,313.2390,3.26,1.05E5,0:0:1.00:0:3.71:8.22:6.15:5.70:6.34,1.56E4,1.09E5,1.00:7.00,3.26,,
,0.14,10.79,391.2466,0.10 - 0.25,1,1.2E4,391.2466,0.18,1.1E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.2E4,0,1.00:0,0.18,,
,0.14,10.79,613.2808,0.14 - 1.32,1,4.9E4,613.2814,0.16,2.85E5,-,-,0,-,-,0,613.2802,0.16,1.58E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0.56:0:0:0:0:0,8.87E4,0,1.00:0,0.16,,
,0.14,3.85,565.3227,3.35 - 9.58,2,1.3E3,565.3224,4.54,1.44E3,-,-,0,-,-,0,565.3226,4.56,2.66E3,565.3220,3.67,-,-,-,0,565.3223,4.58,2.52E3,565.3235,4.60,1.14E3,565.3234,4.55,2.76E3,1.00:0:0:1.85:-:0:1.75:0.80:1.92,1.02E3,1.6E3,1.00:1.57,4.42,,
,0.14,7.01,464.8257,8.50 - 14.13,1,2.1E3,-,-,0,464.8268,8.70,8.73E2,-,-,0,464.8246,9.40,2.72E3,-,-,0,464.8258,9.21,1.13E3,464.8257,9.62,2.83E3,464.8257,9.13,1.75E3,464.8257,9.14,9.71E3,0:1.00:0:3.12:0:1.30:3.24:2.01:11.11,7.19E2,3.86E3,1.00:5.36,9.20,,
,0.14,4.78,583.3631,6.55 - 6.72,1,409.1,-,-,0,-,-,0,-,-,0,583.3626,6.62,1.27E3,-,-,0,583.3636,6.65,2.41E3,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:1.90:0:0:0,2.54E2,6.03E2,1.00:2.37,6.63,,
,0.14,10.88,400.9099,1.36 - 6.58,1,5.7E4,-,-,0,-,-,0,400.9103,1.58,-,-,-,0,-,-,0,400.9095,1.20,4.53E5,-,-,0,-,-,0,-,-,0,0:0:-:0:0:1.00:0:0:0,0,1.13E5,0:1.00,1.39,,
