Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN15_G00_neg m/z,LCN15_G00_neg RT mean,LCN15_G00_neg Normalized Area,LCN15_G09_neg m/z,LCN15_G09_neg RT mean,LCN15_G09_neg Normalized Area,LCN15_G10_neg m/z,LCN15_G10_neg RT mean,LCN15_G10_neg Normalized Area,LCN15_G11_neg m/z,LCN15_G11_neg RT mean,LCN15_G11_neg Normalized Area,LCN15_G04_neg m/z,LCN15_G04_neg RT mean,LCN15_G04_neg Normalized Area,LCN15_G05_neg m/z,LCN15_G05_neg RT mean,LCN15_G05_neg Normalized Area,LCN15_G06_neg m/z,LCN15_G06_neg RT mean,LCN15_G06_neg Normalized Area,LCN15_G07_neg m/z,LCN15_G07_neg RT mean,LCN15_G07_neg Normalized Area,LCN15_G08_neg m/z,LCN15_G08_neg RT mean,LCN15_G08_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.06,4.23,586.8086,4.82 - 6.37,1,653.6,-,-,0,-,-,0,586.8119,4.89,1.3E3,586.8084,5.91,2.44E3,-,-,0,586.8071,5.61,1.07E3,-,-,0,-,-,0,586.8069,5.48,1.07E3,0:0:1.22:2.28:0:1.00:0:0:1.00,9.36E2,4.28E2,2.19:1.00,5.47,,
,0.06,8.66,447.8139,0.17 - 0.22,1,34.3,-,-,0,-,-,0,-,-,0,447.8139,0.19,3.09E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.72E1,0,1.00:0,0.19,,
,0.06,3.25,417.8987,5.39 - 10.73,1,2.7E3,417.8988,5.72,4.87E3,-,-,0,417.8986,5.69,4.88E3,-,-,0,417.8988,5.50,7.1E2,-,-,0,417.8987,5.73,1.38E4,-,-,0,-,-,0,1.00:0:1.00:0:0.15:0:2.83:0:0,2.44E3,2.9E3,0.84:1.00,5.66,,
,0.06,8.66,535.3378,3.03 - 3.32,1,185.1,535.3378,3.21,1.67E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,4.16E2,0,1.00:0,3.21,,
,0.06,8.66,790.3245,9.58 - 9.64,2,20.1,790.3245,9.62,1.81E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,4.51E1,0,1.00:0,9.62,,
,0.06,4.78,664.8252,11.04 - 13.89,1,2.9E3,-,-,0,-,-,0,-,-,0,664.8260,13.52,5.55E3,664.8267,12.05,5.12E3,664.8228,11.83,1.46E4,664.8253,11.11,1.06E3,-,-,0,-,-,0,0:0:0:0.38:0.35:1.00:0.07:0:0,1.39E3,4.15E3,0.33:1.00,12.13,,
,0.06,8.66,388.2796,2.48 - 2.62,1,116,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,388.2796,2.56,1.04E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.09E2,0:1.00,2.56,,
,0.06,4.23,681.8207,6.45 - 8.01,1,331.5,681.8193,6.53,4.55E2,-,-,0,-,-,0,681.8224,7.91,1.45E3,-,-,0,-,-,0,681.8224,6.59,7.09E2,681.8186,6.48,3.72E2,-,-,0,1.00:0:0:3.18:0:0:1.56:0.82:0,4.76E2,2.16E2,2.20:1.00,6.88,,
,0.06,4.43,564.9353,12.54 - 13.59,2,149.1,-,-,0,-,-,0,564.9352,13.18,3.29E2,-,-,0,-,-,0,564.9354,13.53,3.97E2,564.9354,12.58,2.73E2,-,-,0,564.9351,12.78,3.43E2,0:0:0.83:0:0:1.00:0.69:0:0.86,8.22E1,2.03E2,0.41:1.00,13.02,,
,0.06,4.89,688.8410,4.44 - 5.78,1,400.1,688.8394,4.97,4.18E2,-,-,0,688.8419,4.50,4.88E2,688.8424,4.59,1.68E3,688.8403,5.58,1.02E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:1.17:4.00:2.43:0:0:0:0,6.46E2,2.04E2,3.17:1.00,4.91,,
,0.06,3.90,778.8189,6.25 - 7.40,1,360.3,-,-,0,-,-,0,-,-,0,778.8137,7.32,9.92E2,-,-,0,-,-,0,778.8209,6.35,1.07E3,778.8192,6.77,7.33E2,778.8220,6.26,4.49E2,0:0:0:1.00:0:0:1.08:0.74:0.45,2.48E2,4.5E2,0.55:1.00,6.67,,
,0.06,4.82,801.8179,10.56 - 11.49,1,278.5,-,-,0,-,-,0,801.8128,10.71,5.17E2,-,-,0,801.8157,11.45,5.9E2,801.8231,11.01,4.92E2,801.8201,10.65,9.06E2,-,-,0,-,-,0,0:0:1.05:0:1.20:1.00:1.84:0:0,1.29E2,3.98E2,0.33:1.00,10.96,,
,0.06,8.62,454.1320,1.45 - 2.01,1,192.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,454.1320,1.58,1.73E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,3.47E2,0:1.00,1.58,,
,0.06,8.62,551.2858,2.39 - 2.56,1,177.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,551.2858,2.50,1.6E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,3.2E2,0:1.00,2.50,,
,0.06,8.62,414.2964,2.58 - 2.85,2,274.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,414.2964,2.75,2.47E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,4.95E2,0:1.00,2.75,,
,0.06,8.62,432.7904,3.35 - 3.41,1,19.1,-,-,0,-,-,0,-,-,0,432.7904,3.38,1.72E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,4.29E1,0,1.00:0,3.38,,
,0.06,8.62,402.8535,2.19 - 2.61,3,54.6,-,-,0,-,-,0,402.8533,2.57,2.45E2,402.8538,2.22,2.46E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.01:0:0:0:0:0,1.23E2,0,1.00:0,2.39,,
,0.06,7.44,802.8171,10.02 - 11.80,1,2.2E3,802.8119,11.28,1.52E3,802.8196,10.75,4.42E3,-,-,0,802.8176,10.49,1.2E4,-,-,0,-,-,0,-,-,0,-,-,0,802.8192,10.63,2.19E3,1.00:2.91:0:7.89:0:0:0:0:1.44,4.48E3,4.39E2,10.22:1.00,10.79,,
,0.06,8.66,656.7392,2.05 - 2.13,1,61.7,-,-,0,-,-,0,-,-,0,656.7392,2.09,5.55E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.39E2,0,1.00:0,2.09,,
,0.06,4.93,498.8729,6.56 - 7.93,1,39.7,-,-,0,-,-,0,-,-,0,498.8740,7.91,2.58E2,-,-,0,498.8718,6.59,9.97E1,-,-,0,-,-,0,-,-,0,0:0:0:2.59:0:1.00:0:0:0,6.44E1,1.99E1,3.23:1.00,7.25,,
,0.06,6.07,458.8058,20.79 - 21.81,1,341.5,-,-,0,-,-,0,-,-,0,458.8049,21.78,3.83E2,-,-,0,458.8052,20.87,1.92E3,-,-,0,458.8056,20.98,5.34E2,458.8075,21.69,2.42E2,0:0:0:0.20:0:1.00:0:0.28:0.13,9.57E1,5.38E2,0.18:1.00,21.33,,
,0.06,8.71,311.8815,12.82 - 12.89,1,15.3,-,-,0,-,-,0,-,-,0,-,-,0,311.8815,12.85,1.38E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,2.76E1,0:1.00,12.85,,
,0.06,4.84,260.8725,10.27 - 13.78,1,681.5,-,-,0,260.8717,13.61,1.27E3,-,-,0,-,-,0,-,-,0,260.8729,11.72,3.3E3,-,-,0,260.8727,13.04,7.03E2,260.8727,12.59,8.58E2,0:0.39:0:0:0:1.00:0:0.21:0.26,3.18E2,9.72E2,0.33:1.00,12.74,,
,0.06,8.71,555.1926,3.62 - 3.73,1,186.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,555.1926,3.65,1.68E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,3.36E2,0:1.00,3.65,,
,0.06,3.97,672.7962,10.74 - 12.53,1,188.5,-,-,0,-,-,0,672.7960,10.80,5.32E2,672.7942,12.45,4.87E2,-,-,0,-,-,0,672.7960,11.38,3.61E2,-,-,0,672.7986,11.02,3.16E2,0:0:1.00:0.91:0:0:0.68:0:0.59,2.55E2,1.36E2,1.88:1.00,11.41,,
,0.06,5.05,788.7802,5.47 - 11.45,1,9.1E3,-,-,0,-,-,0,788.7806,6.08,3.18E3,788.7856,6.89,1.23E4,-,-,0,-,-,0,788.7819,6.00,2.46E3,788.7783,6.45,6.29E4,788.7749,5.49,7.33E2,0:0:1.00:3.87:0:0:0.77:19.80:0.23,3.87E3,1.32E4,0.29:1.00,6.18,,
,0.06,4.32,440.9000,15.56 - 16.97,1,192.8,-,-,0,440.8995,16.84,4.92E2,-,-,0,440.9005,16.92,6.34E2,-,-,0,440.8995,15.62,3.79E2,440.9005,16.88,2.31E2,-,-,0,-,-,0,0:1.30:0:1.67:0:1.00:0.61:0:0,2.81E2,1.22E2,2.31:1.00,16.56,,
,0.06,3.78,268.8004,10.31 - 10.73,3,143,-,-,0,268.8008,10.32,1.25E2,-,-,0,268.8000,10.64,6.1E2,268.8006,10.37,2.15E2,-,-,0,-,-,0,-,-,0,268.8001,10.51,3.36E2,0:1.00:0:4.87:1.72:0:0:0:2.68,1.84E2,1.1E2,1.67:1.00,10.46,,
,0.06,3.20,714.7747,9.59 - 12.17,1,258.4,-,-,0,714.7751,12.06,5.36E2,714.7740,9.64,5.75E2,-,-,0,-,-,0,714.7734,9.78,6.18E2,-,-,0,-,-,0,714.7761,9.84,5.96E2,0:0.87:0.93:0:0:1.00:0:0:0.96,2.78E2,2.43E2,1.14:1.00,10.33,,
,0.06,8.76,1046.7849,20.14 - 20.24,2,487.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1046.7849,20.20,2.33E3,-,-,0,-,-,0,1046.7848,20.18,2.06E3,0:0:0:0:0:1.00:0:0:0.89,0,8.78E2,0:1.00,20.19,,
,0.06,3.94,736.7686,4.92 - 5.54,1,146.6,-,-,0,-,-,0,-,-,0,736.7693,5.52,3.99E2,-,-,0,736.7706,4.95,3.04E2,-,-,0,736.7668,5.18,2.32E2,736.7676,5.32,3.84E2,0:0:0:1.31:0:1.00:0:0.76:1.26,9.97E1,1.84E2,0.54:1.00,5.24,,
,0.06,6.38,722.7925,10.53 - 11.62,1,919.8,722.7917,11.51,9.21E2,-,-,0,-,-,0,-,-,0,722.7924,11.45,1.36E3,-,-,0,722.7914,10.78,3.69E3,-,-,0,722.7945,10.95,2.3E3,1.00:0:0:0:1.48:0:4.01:0:2.50,2.3E2,1.47E3,0.16:1.00,11.17,,
,0.06,4.33,804.7579,6.14 - 6.94,1,167.4,804.7598,6.21,4.87E2,-,-,0,-,-,0,804.7594,6.94,4.92E2,-,-,0,804.7526,6.17,2.35E2,-,-,0,804.7599,6.19,2.92E2,-,-,0,2.07:0:0:2.09:0:1.00:0:1.24:0,2.45E2,1.06E2,2.32:1.00,6.38,,
,0.06,6.12,914.7920,19.74 - 20.26,1,926.1,-,-,0,-,-,0,914.7971,19.79,1.03E3,-,-,0,-,-,0,-,-,0,914.7909,20.13,2.28E3,914.7917,20.23,6.72E2,914.7885,20.12,4.36E3,0:0:1.00:0:0:0:2.22:0.66:4.25,2.56E2,1.46E3,0.18:1.00,20.07,,
,0.06,4.85,465.8556,7.27 - 8.58,1,98.5,465.8562,8.43,1.44E2,-,-,0,465.8575,7.83,1.67E2,465.8539,8.52,3.21E2,-,-,0,-,-,0,465.8549,7.32,2.55E2,-,-,0,-,-,0,1.00:0:1.16:2.23:0:0:1.78:0:0,1.58E2,5.1E1,3.09:1.00,8.02,,
,0.06,3.36,401.9125,8.19 - 9.75,1,83.6,401.9119,8.60,1.14E2,401.9130,9.39,1.76E2,-,-,0,-,-,0,-,-,0,401.9122,8.27,2.91E2,401.9130,9.72,1.72E2,-,-,0,-,-,0,0.39:0.60:0:0:0:1.00:0.59:0:0,7.24E1,9.26E1,0.78:1.00,8.99,,
,0.06,8.66,950.2868,20.11 - 20.23,1,128.8,-,-,0,950.2868,20.19,1.16E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.9E2,0,1.00:0,20.19,,
,0.06,4.43,672.7920,12.20 - 12.86,1,132.2,-,-,0,-,-,0,672.7937,12.83,2.92E2,-,-,0,-,-,0,-,-,0,672.7959,12.40,3.02E2,672.7939,12.42,3E2,672.7847,12.26,2.96E2,0:0:1.00:0:0:0:1.03:1.03:1.01,7.3E1,1.8E2,0.41:1.00,12.48,,
,0.06,8.75,788.7063,16.03 - 16.14,1,218.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,788.7063,16.07,1.97E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,3.94E2,0:1.00,16.07,,
,0.06,8.75,585.4475,2.05 - 2.21,1,198.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,585.4475,2.16,1.79E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,3.57E2,0:1.00,2.16,,
,0.06,3.06,778.7528,10.81 - 12.05,1,459.1,778.7560,12.02,5.27E2,-,-,0,-,-,0,778.7521,11.16,1.35E3,778.7502,10.91,9.41E2,-,-,0,778.7528,11.67,1.31E3,-,-,0,-,-,0,1.00:0:0:2.56:1.79:0:2.49:0:0,4.69E2,4.51E2,1.04:1.00,11.44,,
,0.06,8.75,553.4817,7.28 - 7.65,1,194.1,-,-,0,-,-,0,-,-,0,-,-,0,553.4817,7.54,1.75E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,3.49E2,0:1.00,7.54,,
,0.06,8.75,705.5749,12.42 - 12.71,1,415.7,705.5743,12.59,1.4E3,705.5754,12.60,2.34E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.67:0:0:0:0:0:0:0,9.35E2,0,1.00:0,12.60,,
,0.06,4.53,789.7875,3.88 - 5.49,1,331.4,-,-,0,-,-,0,-,-,0,789.7906,3.92,7.07E2,789.7863,5.05,4.45E2,789.7874,5.24,1.57E3,789.7858,4.65,2.61E2,-,-,0,-,-,0,0:0:0:0.45:0.28:1.00:0.17:0:0,1.77E2,4.55E2,0.39:1.00,4.71,,
,0.06,3.57,746.8006,10.51 - 15.69,1,2.7E3,746.7979,11.21,2.08E3,746.8021,11.45,3.83E3,-,-,0,746.8031,10.67,2.52E3,-,-,0,746.7994,10.69,1.54E4,-,-,0,-,-,0,-,-,0,0.13:0.25:0:0.16:0:1.00:0:0:0,2.11E3,3.09E3,0.68:1.00,11.01,,
,0.06,8.75,728.8156,10.85 - 10.93,1,23.6,-,-,0,-,-,0,-,-,0,-,-,0,728.8156,10.88,2.13E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,4.25E1,0:1.00,10.88,,
,0.06,3.98,433.1016,1.52 - 2.38,9,650.4,-,-,0,433.1016,2.34,1.75E3,433.1016,2.33,1.77E3,-,-,0,433.1017,1.63,2.34E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:1.01:0:1.34:0:0:0:0,8.79E2,4.67E2,1.88:1.00,2.10,,
,0.06,8.75,633.5904,0.11 - 0.22,1,1.6E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,633.5904,0.18,1.43E5,-,-,0,0:0:0:0:0:0:0:1.00:0,0,2.87E4,0:1.00,0.18,,
,0.06,8.75,468.0204,0.30 - 0.66,1,931.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,468.0204,0.59,8.38E3,0:0:0:0:0:0:0:0:1.00,0,1.68E3,0:1.00,0.59,,
,0.06,3.26,724.8035,11.57 - 13.60,1,885.8,-,-,0,-,-,0,724.7991,11.73,2.48E3,724.8018,13.25,7.26E2,-,-,0,724.8086,12.51,1.29E3,-,-,0,-,-,0,724.8046,11.61,3.48E3,0:0:1.92:0.56:0:1.00:0:0:2.70,8.01E2,9.54E2,0.84:1.00,12.27,,
,0.06,8.75,1112.4011,7.71 - 7.87,1,178.9,-,-,0,-,-,0,-,-,0,-,-,0,1112.4011,7.79,1.61E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,3.22E2,0:1.00,7.79,,
,0.06,8.75,688.8420,13.40 - 14.86,1,368.5,-,-,0,-,-,0,-,-,0,-,-,0,688.8423,14.56,9.49E2,688.8437,13.50,9.61E2,688.8408,14.30,1.01E3,688.8412,14.83,3.97E2,-,-,0,0:0:0:0:0.99:1.00:1.05:0.41:0,0,6.63E2,0:1.00,14.30,,
,0.06,5.03,814.7857,12.65 - 15.27,1,582.3,-,-,0,-,-,0,-,-,0,814.7866,15.19,1.01E3,814.7841,12.87,1.79E3,814.7847,12.72,1.63E3,814.7875,12.81,8.17E2,-,-,0,-,-,0,0:0:0:0.62:1.10:1.00:0.50:0:0,2.52E2,8.46E2,0.30:1.00,13.40,,
,0.06,8.75,740.7227,2.09 - 2.16,1,15.5,-,-,0,-,-,0,740.7227,2.12,1.39E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,3.48E1,0,1.00:0,2.12,,
,0.06,8.75,371.3152,2.25 - 2.74,1,601.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,371.3152,2.64,5.42E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.08E3,0:1.00,2.64,,
,0.06,8.75,869.7338,1.72 - 1.77,1,22.7,-,-,0,-,-,0,-,-,0,869.7338,1.76,2.04E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,5.1E1,0,1.00:0,1.76,,
,0.06,8.75,863.7351,5.56 - 5.65,1,26.5,-,-,0,-,-,0,863.7351,5.60,2.39E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,5.96E1,0,1.00:0,5.60,,
,0.06,8.75,616.4573,4.40 - 5.10,1,416.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,616.4573,4.90,3.75E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,7.49E2,0:1.00,4.90,,
,0.06,4.65,564.8220,1.21 - 2.08,1,187.8,564.8245,1.98,3.33E2,564.8202,1.24,2.32E2,564.8236,1.87,5.97E2,-,-,0,-,-,0,-,-,0,-,-,0,564.8197,1.47,5.29E2,-,-,0,1.00:0.70:1.79:0:0:0:0:1.59:0,2.9E2,1.06E2,2.75:1.00,1.64,,
,0.06,4.77,713.7696,10.91 - 12.10,1,463,-,-,0,-,-,0,713.7701,11.06,8.92E2,-,-,0,713.7680,11.26,8.44E2,-,-,0,713.7686,11.89,1.79E3,-,-,0,713.7719,10.95,6.42E2,0:0:1.00:0:0.95:0:2.00:0:0.72,2.23E2,6.55E2,0.34:1.00,11.29,,
,0.06,3.49,634.8171,5.94 - 6.49,1,174.2,-,-,0,-,-,0,634.8176,6.42,5.72E2,-,-,0,634.8146,6.38,2.19E2,-,-,0,-,-,0,634.8198,6.39,2.1E2,634.8167,5.96,5.66E2,0:0:1.00:0:0.38:0:0:0.37:0.99,1.43E2,1.99E2,0.72:1.00,6.29,,
,0.06,4.45,484.8812,2.82 - 7.96,1,952.1,-,-,0,484.8811,3.93,4.54E3,-,-,0,484.8821,2.96,-,484.8810,3.57,8.09E2,484.8798,3.59,5.92E2,484.8822,4.41,1.68E3,-,-,0,-,-,0,0:7.66:0:-:1.37:1.00:2.84:0:0,1.51E3,6.16E2,2.45:1.00,3.69,,
,0.06,8.84,719.1470,4.41 - 4.65,1,247.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,719.1474,4.51,1.69E3,-,-,0,-,-,0,719.1466,4.52,5.4E2,0:0:0:0:0:1.00:0:0:0.32,0,4.46E2,0:1.00,4.52,,
,0.06,3.90,418.0394,3.46 - 3.89,1,114.3,-,-,0,-,-,0,418.0391,3.52,3.17E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,418.0398,3.84,7.12E2,0:0:1.00:0:0:0:0:0:2.25,7.92E1,1.42E2,0.56:1.00,3.68,,
,0.06,8.74,958.4256,6.35 - 6.59,1,199,-,-,0,-,-,0,-,-,0,-,-,0,958.4256,6.52,1.79E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,3.58E2,0:1.00,6.52,,
,0.06,8.74,432.7918,2.80 - 2.85,1,36,-,-,0,-,-,0,-,-,0,432.7918,2.81,3.24E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,8.1E1,0,1.00:0,2.81,,
,0.06,8.74,697.9705,3.24 - 3.32,1,105.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,697.9705,3.27,9.48E2,0:0:0:0:0:0:0:0:1.00,0,1.9E2,0:1.00,3.27,,
,0.06,3.21,778.7564,10.22 - 12.05,1,602.2,778.7562,11.72,1.66E3,-,-,0,-,-,0,778.7517,11.26,9.48E2,778.7579,11.21,4.35E2,-,-,0,778.7598,10.42,2.38E3,-,-,0,-,-,0,1.00:0:0:0.57:0.26:0:1.44:0:0,6.51E2,5.63E2,1.16:1.00,11.15,,
,0.06,8.74,542.8386,2.76 - 7.96,2,1.3E4,-,-,0,-,-,0,542.8386,2.96,1.15E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2.87E4,0,1.00:0,2.96,,
,0.06,8.74,1122.4299,7.68 - 7.90,1,354.6,-,-,0,-,-,0,-,-,0,-,-,0,1122.4299,7.75,3.19E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,6.38E2,0:1.00,7.75,,
,0.06,4.19,748.7938,12.11 - 13.43,1,183.3,748.7889,13.33,4.96E2,-,-,0,748.7953,12.19,5.46E2,-,-,0,-,-,0,-,-,0,748.7957,13.03,3.68E2,748.7954,12.52,2.4E2,-,-,0,1.00:0:1.10:0:0:0:0.74:0.48:0,2.6E2,1.22E2,2.14:1.00,12.77,,
,0.06,8.74,459.3159,0.94 - 1.05,2,104.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,459.3159,0.98,9.39E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.88E2,0:1.00,0.98,,
,0.06,3.11,923.8165,20.12 - 20.23,1,4.3E3,-,-,0,-,-,0,-,-,0,923.8156,20.16,1.78E4,-,-,0,-,-,0,-,-,0,923.8179,20.16,7.68E3,923.8161,20.15,1.3E4,0:0:0:1.00:0:0:0:0.43:0.73,4.45E3,4.13E3,1.08:1.00,20.16,,
,0.06,8.68,528.3020,3.46 - 3.91,1,1.3E3,-,-,0,528.3029,3.62,5.62E2,-,-,0,-,-,0,528.3016,3.61,2.95E3,528.3015,3.84,7.88E3,-,-,0,-,-,0,-,-,0,0:0.07:0:0:0.37:1.00:0:0:0,1.41E2,2.17E3,0.06:1.00,3.69,,
,0.06,6.22,688.8420,5.37 - 11.54,1,348.8,688.8422,5.44,4.84E2,-,-,0,688.8435,6.54,7.68E2,688.8410,6.20,1.34E3,688.8414,5.44,5.51E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:1.59:2.76:1.14:0:0:0:0,6.47E2,1.1E2,5.87:1.00,5.90,,
,0.06,4.19,304.8429,9.83 - 12.21,1,419.8,304.8432,10.79,3.32E2,304.8425,11.10,2.05E3,-,-,0,-,-,0,-,-,0,304.8428,9.88,3.73E2,-,-,0,-,-,0,304.8431,10.53,1.03E3,0.89:5.48:0:0:0:1.00:0:0:2.75,5.95E2,2.8E2,2.13:1.00,10.58,,
,0.06,4.09,869.8014,15.43 - 16.18,1,113.1,869.7979,15.48,3.38E2,869.8032,16.15,2.89E2,-,-,0,-,-,0,-,-,0,869.8032,16.06,3.91E2,-,-,0,-,-,0,-,-,0,0.86:0.74:0:0:0:1.00:0:0:0,1.57E2,7.82E1,2.00:1.00,15.90,,
,0.06,3.65,788.7804,2.76 - 4.87,1,618.1,-,-,0,788.7780,3.74,4.65E2,788.7815,4.73,9.3E2,788.7786,3.03,1.68E3,-,-,0,-,-,0,-,-,0,-,-,0,788.7838,4.68,2.49E3,0:1.00:2.00:3.61:0:0:0:0:5.35,7.68E2,4.98E2,1.54:1.00,4.05,,
,0.06,8.78,550.3171,6.21 - 6.41,1,120.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,550.3171,6.31,1.09E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,2.18E2,0:1.00,6.31,,
,0.06,3.24,312.8641,3.15 - 5.24,3,143.7,-,-,0,312.8638,4.29,3.37E2,312.8645,5.18,1.87E2,-,-,0,-,-,0,-,-,0,312.8637,4.17,1.41E2,312.8645,3.20,6.28E2,-,-,0,0:1.00:0.56:0:0:0:0.42:1.87:0,1.31E2,1.54E2,0.85:1.00,4.21,,
,0.06,8.73,886.7935,9.49 - 9.60,1,37.8,-,-,0,-,-,0,-,-,0,-,-,0,886.7935,9.55,3.4E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,6.8E1,0:1.00,9.55,,
,0.06,8.73,1113.4680,7.82 - 8.02,1,240.7,-,-,0,-,-,0,-,-,0,-,-,0,1113.4680,7.85,2.17E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,0,4.33E2,0:1.00,7.85,,
,0.06,5.45,651.8734,10.97 - 11.88,1,246.7,651.8734,11.87,3.24E2,-,-,0,651.8741,11.08,4.73E2,651.8710,11.00,9.09E2,-,-,0,-,-,0,-,-,0,-,-,0,651.8750,11.12,5.15E2,1.00:0:1.46:2.81:0:0:0:0:1.59,4.26E2,1.03E2,4.14:1.00,11.27,,
,0.06,8.73,760.6761,15.50 - 15.64,1,250.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,760.6761,15.58,2.26E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,4.51E2,0:1.00,15.58,,
,0.06,3.32,576.7855,14.53 - 15.53,1,344.9,-,-,0,-,-,0,576.7847,14.61,1.21E3,-,-,0,-,-,0,576.7888,15.20,8.31E2,576.7814,15.50,4.23E2,-,-,0,576.7872,15.05,6.37E2,0:0:1.46:0:0:1.00:0.51:0:0.77,3.03E2,3.78E2,0.80:1.00,15.09,,
,0.06,4.27,591.8403,10.26 - 10.49,1,69.2,-,-,0,591.8414,10.31,1.64E2,-,-,0,-,-,0,-,-,0,591.8416,10.35,1.88E2,-,-,0,591.8379,10.45,2.7E2,-,-,0,0:0.87:0:0:0:1.00:0:1.43:0,4.11E1,9.16E1,0.45:1.00,10.37,,
,0.06,4.49,748.2991,19.24 - 20.05,2,389,748.2974,19.62,6.4E2,-,-,0,-,-,0,748.2985,19.28,1.7E3,-,-,0,-,-,0,748.3009,20.00,7.89E2,748.2996,19.71,3.68E2,-,-,0,1.00:0:0:2.66:0:0:1.23:0.58:0,5.86E2,2.31E2,2.53:1.00,19.65,,
