Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,FABP1_C00_neg m/z,FABP1_C00_neg RT mean,FABP1_C00_neg Normalized Area,FABP1_C05_neg m/z,FABP1_C05_neg RT mean,FABP1_C05_neg Normalized Area,FABP1_C06_neg m/z,FABP1_C06_neg RT mean,FABP1_C06_neg Normalized Area,FABP1_C07_neg m/z,FABP1_C07_neg RT mean,FABP1_C07_neg Normalized Area,FABP1_C11_neg m/z,FABP1_C11_neg RT mean,FABP1_C11_neg Normalized Area,FABP1_C12_neg m/z,FABP1_C12_neg RT mean,FABP1_C12_neg Normalized Area,FABP1_C08_neg m/z,FABP1_C08_neg RT mean,FABP1_C08_neg Normalized Area,FABP1_C09_neg m/z,FABP1_C09_neg RT mean,FABP1_C09_neg Normalized Area,FABP1_C10_neg m/z,FABP1_C10_neg RT mean,FABP1_C10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.06,3.35,602.8357,18.99 - 19.99,1,259.9,-,-,0,-,-,0,-,-,0,602.8329,19.02,6.61E2,-,-,0,602.8342,19.43,7.7E2,-,-,0,602.8379,19.01,4.5E2,602.8378,19.95,4.58E2,0:0:0:1.00:0:1.16:0:0.68:0.69,2.38E2,3.03E2,1.00:1.27,19.35,,
,0.06,8.81,550.1857,1.30 - 1.50,1,139.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,550.1857,1.45,1.25E3,0:0:0:0:0:0:0:0:1.00,0,4.18E2,0:1.00,1.45,,
,0.06,8.81,557.0587,3.04 - 3.52,1,645.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,557.0587,3.14,5.81E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,9.69E2,0,1.00:0,3.14,,
,0.06,8.81,1464.6854,20.13 - 20.20,1,118.1,-,-,0,-,-,0,1464.6854,20.17,1.06E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.77E2,0,1.00:0,20.17,,
,0.06,3.64,1224.7455,20.12 - 20.25,1,855.9,-,-,0,-,-,0,1224.7461,20.16,1.78E3,-,-,0,-,-,0,1224.7449,20.18,2.59E3,1224.7316,20.17,1.51E3,-,-,0,1224.7594,20.19,1.83E3,0:0:1.00:0:0:1.46:0.85:0:1.03,7.28E2,1.11E3,1.00:1.53,20.18,,
,0.06,8.86,458.2590,3.61 - 3.79,1,263.6,458.2587,3.64,1.54E3,-,-,0,-,-,0,-,-,0,-,-,0,458.2592,3.70,8.31E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.54:0:0:0,3.95E2,0,1.00:0,3.67,,
,0.06,8.86,717.6390,0.10 - 0.18,1,2.4E4,-,-,0,-,-,0,717.6390,0.14,2.18E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,3.63E4,0,1.00:0,0.14,,
,0.06,8.86,383.3163,3.52 - 4.29,1,2.1E3,-,-,0,383.3163,3.87,1.92E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.19E3,0,1.00:0,3.87,,
,0.06,8.86,651.3386,3.09 - 3.55,1,772.1,651.3386,3.34,6.95E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.16E3,0,1.00:0,3.34,,
,0.06,8.86,500.2775,1.64 - 1.73,1,100.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,500.2775,1.69,9.04E2,0:0:0:0:0:0:0:0:1.00,0,3.01E2,0:1.00,1.69,,
,0.06,8.86,472.3359,3.40 - 3.66,2,511,-,-,0,472.3359,3.47,4.6E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,7.67E2,0,1.00:0,3.47,,
,0.06,3.48,386.8205,9.07 - 10.58,1,59.6,-,-,0,-,-,0,386.8202,9.71,1.1E2,386.8202,9.05,2.08E2,-,-,0,-,-,0,386.8206,9.87,1.17E2,-,-,0,386.8210,10.52,1.01E2,0:0:1.00:1.90:0:0:1.07:0:0.93,5.3E1,7.3E1,1.00:1.38,9.79,,
,0.06,5.28,746.8016,11.35 - 12.97,1,434.7,-,-,0,-,-,0,-,-,0,746.7983,12.29,2.58E3,746.8038,11.47,5.33E2,746.8023,12.03,3.32E2,746.8019,11.68,4.65E2,-,-,0,-,-,0,0:0:0:4.84:1.00:0.62:0.87:0:0,5.75E2,1.55E2,1.00:0.27,11.87,,
,0.06,8.91,717.4729,5.03 - 5.79,1,341,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,717.4729,5.35,3.07E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.02E3,0:1.00,5.35,,
,0.06,4.73,728.7439,7.68 - 8.89,1,102.2,728.7417,8.80,3.57E2,-,-,0,-,-,0,-,-,0,728.7433,7.69,2.03E2,728.7480,7.99,2.21E2,-,-,0,728.7424,8.55,1.39E2,-,-,0,1.76:0:0:0:1.00:1.09:0:0.68:0,1.3E2,4.63E1,1.00:0.36,8.26,,
,0.06,8.91,711.8391,7.32 - 8.48,1,196.4,711.8379,7.38,4.42E2,711.8386,7.65,6.87E2,-,-,0,-,-,0,711.8409,8.02,4.36E2,711.8389,8.44,2.03E2,-,-,0,-,-,0,-,-,0,1.01:1.58:0:0:1.00:0.47:0:0:0,2.95E2,0,1.00:0,7.87,,
,0.06,8.91,597.8160,12.17 - 12.23,1,12.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,597.8160,12.18,1.1E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,3.65E1,0:1.00,12.18,,
,0.06,3.11,982.7147,15.81 - 16.82,1,146.1,-,-,0,982.7206,16.07,2.85E2,-,-,0,982.7102,15.84,2.06E2,982.7134,16.38,4.06E2,-,-,0,-,-,0,982.7146,16.59,4.18E2,-,-,0,0:0.70:0:0.51:1.00:0:0:1.03:0,1.5E2,1.39E2,1.00:0.93,16.22,,
,0.06,8.95,864.7141,8.98 - 9.03,1,15,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,864.7141,8.98,1.35E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,2.24E1,0,1.00:0,8.98,,
,0.06,4.96,464.8248,7.23 - 9.86,1,245.7,-,-,0,-,-,0,464.8241,7.62,2.41E2,464.8244,8.57,1.82E2,464.8253,7.32,4.36E2,-,-,0,464.8254,8.93,1.35E3,-,-,0,-,-,0,0:0:0.55:0.42:1.00:0:3.10:0:0,1.43E2,4.51E2,1.00:3.15,8.11,,
,0.06,8.95,636.7569,1.15 - 1.88,1,97.6,-,-,0,-,-,0,636.7559,1.79,4.01E2,-,-,0,636.7576,1.22,1.98E2,636.7573,1.44,2.79E2,-,-,0,-,-,0,-,-,0,0:0:2.02:0:1.00:1.40:0:0:0,1.46E2,0,1.00:0,1.48,,
,0.06,8.95,1030.7759,20.18 - 20.26,1,90.1,-,-,0,-,-,0,-,-,0,1030.7759,20.23,8.11E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.35E2,0,1.00:0,20.23,,
,0.06,8.95,295.8199,11.58 - 11.73,3,20.1,295.8199,11.68,1.81E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,3.01E1,0,1.00:0,11.68,,
,0.06,4.18,713.7736,11.71 - 13.11,1,231.3,-,-,0,-,-,0,713.7670,12.15,3.84E2,713.7756,11.78,6.25E2,713.7776,12.49,6.7E2,-,-,0,713.7742,13.11,4.04E2,-,-,0,-,-,0,0:0:0.57:0.93:1.00:0:0.60:0:0,2.8E2,1.35E2,1.00:0.48,12.38,,
,0.06,3.49,848.7407,12.17 - 13.19,1,218.6,-,-,0,848.7413,13.15,3.84E2,-,-,0,848.7411,12.47,7.8E2,-,-,0,-,-,0,848.7452,12.67,3.38E2,848.7352,12.23,4.65E2,-,-,0,0:1.00:0:2.03:0:0:0.88:1.21:0,1.94E2,2.68E2,1.00:1.38,12.63,,
,0.06,3.90,571.8403,17.26 - 18.37,1,709.2,-,-,0,-,-,0,571.8392,17.34,6.87E2,-,-,0,571.8392,17.68,2.69E3,-,-,0,-,-,0,571.8402,18.32,1.52E3,571.8425,17.44,1.48E3,0:0:0.26:0:1.00:0:0:0.57:0.55,5.63E2,1E3,1.00:1.78,17.69,,
,0.06,3.91,737.7812,17.35 - 17.77,1,183.2,737.7836,17.38,3.87E2,-,-,0,-,-,0,-,-,0,737.7787,17.62,4.83E2,-,-,0,-,-,0,-,-,0,737.7815,17.53,7.8E2,0.80:0:0:0:1.00:0:0:0:1.62,1.45E2,2.6E2,1.00:1.79,17.51,,
,0.06,4.17,742.2887,19.20 - 19.50,1,44.2,-,-,0,-,-,0,-,-,0,-,-,0,742.2866,19.46,1.95E2,-,-,0,-,-,0,-,-,0,742.2909,19.25,2.03E2,0:0:0:0:1.00:0:0:0:1.04,3.25E1,6.75E1,1.00:2.08,19.36,,
,0.06,3.53,554.7932,5.79 - 6.93,1,164,-,-,0,-,-,0,554.7938,6.75,4.35E2,-,-,0,554.7944,6.67,2.39E2,554.7914,5.82,1.89E2,554.7933,6.75,6.13E2,-,-,0,-,-,0,0:0:1.82:0:1.00:0.79:2.56:0:0,1.44E2,2.04E2,1.00:1.42,6.50,,
,0.06,8.90,518.8236,5.85 - 7.56,1,282.6,-,-,0,518.8240,7.34,7.66E2,518.8240,5.89,4.69E2,518.8235,6.61,6.92E2,518.8228,6.44,6.17E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.24:0.76:1.12:1.00:0:0:0:0,4.24E2,0,1.00:0,6.57,,
,0.06,8.90,944.6879,20.29 - 20.35,1,13.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,944.6879,20.30,1.25E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.16E1,0:1.00,20.30,,
,0.06,8.90,452.8507,19.36 - 19.43,1,16.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,452.8507,19.39,1.48E2,0:0:0:0:0:0:0:0:1.00,0,4.94E1,0:1.00,19.39,,
,0.06,4.39,695.1319,5.09 - 5.18,1,87.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,695.1329,5.12,3.61E2,695.1309,5.13,4.23E2,-,-,0,-,-,0,0:0:0:0:0:1.00:1.17:0:0,6.01E1,1.41E2,1.00:2.34,5.12,,
,0.06,8.90,632.8085,3.85 - 4.50,1,402.1,-,-,0,-,-,0,632.8088,3.88,4.88E2,632.8081,3.97,3.83E2,632.8085,4.39,2.75E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0.18:0.14:1.00:0:0:0:0,6.03E2,0,1.00:0,4.08,,
,0.06,4.71,553.8742,14.99 - 17.73,1,213.8,-,-,0,553.8723,16.13,2.02E2,-,-,0,-,-,0,553.8755,16.27,1.1E3,553.8746,15.63,3.31E2,-,-,0,-,-,0,553.8742,15.06,2.92E2,0:0.18:0:0:1.00:0.30:0:0:0.27,2.72E2,9.74E1,1.00:0.36,15.77,,
,0.06,8.90,410.8672,10.04 - 10.45,1,70.1,-,-,0,410.8672,10.12,6.3E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.05E2,0,1.00:0,10.12,,
,0.06,8.90,430.2595,1.41 - 1.52,1,84.4,430.2595,1.48,7.6E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.27E2,0,1.00:0,1.48,,
,0.06,3.39,690.3420,19.96 - 20.16,2,143.3,-,-,0,-,-,0,690.3386,20.09,3.42E2,-,-,0,690.3477,19.96,4.4E2,-,-,0,-,-,0,690.3396,20.12,5.07E2,-,-,0,0:0:0.78:0:1.00:0:0:1.15:0,1.3E2,1.69E2,1.00:1.30,20.06,,
,0.06,8.96,903.2159,6.99 - 7.05,1,22.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,903.2159,7.04,2.04E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,6.82E1,0:1.00,7.04,,
,0.06,8.96,554.7922,8.78 - 9.54,2,152.4,-,-,0,554.7919,9.16,2.19E2,554.7932,8.97,3.91E2,554.7922,9.50,3.65E2,-,-,0,554.7914,8.84,3.96E2,-,-,0,-,-,0,-,-,0,0:1.00:1.79:1.67:0:1.81:0:0:0,2.29E2,0,1.00:0,9.12,,
,0.06,3.11,328.9042,20.96 - 21.97,3,327.6,-,-,0,-,-,0,-,-,0,328.9038,21.71,1.62E2,328.9039,21.76,1.85E3,-,-,0,-,-,0,-,-,0,328.9048,21.57,9.35E2,0:0:0:0.09:1.00:0:0:0:0.51,3.36E2,3.12E2,1.00:0.93,21.68,,
,0.06,4.00,675.8030,9.95 - 12.52,1,127.4,675.8021,11.36,2.1E2,675.8035,12.43,3.8E2,-,-,0,-,-,0,-,-,0,-,-,0,675.8046,10.03,3.94E2,-,-,0,675.8020,10.78,1.62E2,1.00:1.81:0:0:0:0:1.87:0:0.77,9.85E1,1.85E2,1.00:1.88,11.15,,
,0.06,9.01,662.4567,4.06 - 4.43,1,188.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,662.4567,4.07,1.69E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,5.64E2,0:1.00,4.07,,
,0.06,8.96,822.6844,20.38 - 20.44,1,12.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,822.6844,20.41,1.14E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,3.8E1,0:1.00,20.41,,
,0.06,4.35,642.8432,10.99 - 14.93,1,1.8E3,-,-,0,-,-,0,-,-,0,642.8473,11.63,7.73E3,-,-,0,-,-,0,642.8431,12.52,4.07E3,642.8407,12.11,3.02E3,642.8419,11.14,1.74E3,0:0:0:1.00:0:0:0.53:0.39:0.22,1.29E3,2.94E3,1.00:2.28,11.85,,
,0.06,8.88,556.7944,0.04 - 0.09,1,25.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,556.7944,0.08,2.28E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,7.61E1,0:1.00,0.08,,
,0.06,3.33,400.8475,3.06 - 4.39,1,330.1,-,-,0,-,-,0,400.8484,4.02,1.87E2,400.8465,3.26,1.64E3,-,-,0,-,-,0,400.8475,4.36,1.14E3,-,-,0,-,-,0,0:0:1.00:8.79:0:0:6.11:0:0,3.05E2,3.8E2,1.00:1.25,3.88,,
,0.06,3.74,552.3019,4.78 - 5.95,2,484.9,-,-,0,552.3020,5.71,1.99E3,-,-,0,-,-,0,-,-,0,552.3033,5.60,4.2E2,552.3021,5.69,1.13E3,552.3003,4.85,8.19E2,-,-,0,0:1.00:0:0:0:0.21:0.57:0.41:0,4.02E2,6.5E2,1.00:1.62,5.46,,
,0.06,8.88,465.8418,11.79 - 14.16,1,245.6,465.8426,12.17,9.83E2,-,-,0,465.8417,12.85,3.64E2,465.8420,12.72,5.98E2,-,-,0,465.8410,14.04,2.65E2,-,-,0,-,-,0,-,-,0,1.00:0:0.37:0.61:0:0.27:0:0:0,3.68E2,0,1.00:0,12.95,,
,0.06,8.88,794.7377,12.45 - 13.03,1,52.6,-,-,0,-,-,0,794.7332,12.49,2.43E2,-,-,0,794.7422,12.99,2.3E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.06:0:1.00:0:0:0:0,7.89E1,0,1.00:0,12.74,,
,0.06,8.88,1471.6655,20.17 - 20.24,1,164.4,-,-,0,1471.6655,20.22,1.48E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.47E2,0,1.00:0,20.22,,
,0.06,8.88,366.8018,0.02 - 0.10,1,12,-,-,0,-,-,0,-,-,0,366.8018,0.05,1.08E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.79E1,0,1.00:0,0.05,,
,0.06,8.88,560.0581,3.28 - 3.51,1,358.3,560.0581,3.46,3.23E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,5.38E2,0,1.00:0,3.46,,
,0.06,3.95,658.8148,15.56 - 16.55,1,79.6,-,-,0,-,-,0,658.8140,16.52,2.24E2,-,-,0,658.8129,16.24,1.5E2,-,-,0,658.8132,16.18,1.97E2,658.8193,15.60,1.45E2,-,-,0,0:0:1.50:0:1.00:0:1.32:0.97:0,6.23E1,1.14E2,1.00:1.83,16.13,,
,0.06,6.96,596.8387,3.91 - 5.66,1,363.5,-,-,0,-,-,0,-,-,0,-,-,0,596.8373,3.95,3.82E2,596.8375,4.27,2.91E2,596.8381,4.64,1.99E3,596.8420,5.40,6.1E2,-,-,0,0:0:0:0:1.00:0.76:5.20:1.60:0,1.12E2,8.66E2,1.00:7.72,4.56,,
,0.06,8.98,728.7430,12.65 - 13.91,1,156.5,728.7443,13.69,2.65E2,-,-,0,728.7393,13.41,3.89E2,728.7427,12.72,4.83E2,-,-,0,728.7456,13.87,2.71E2,-,-,0,-,-,0,-,-,0,1.00:0:1.47:1.83:0:1.02:0:0:0,2.35E2,0,1.00:0,13.42,,
,0.06,8.98,509.3954,1.88 - 2.09,1,456.6,509.3954,1.97,4.11E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,6.85E2,0,1.00:0,1.97,,
,0.06,4.52,756.8296,8.72 - 9.56,1,84.3,-,-,0,-,-,0,-,-,0,-,-,0,756.8271,9.13,1.33E2,756.8253,9.53,2.05E2,756.8311,8.77,2.93E2,-,-,0,756.8347,9.09,1.29E2,0:0:0:0:1.00:1.55:2.21:0:0.97,5.63E1,1.4E2,1.00:2.50,9.13,,
,0.06,8.98,779.7628,12.34 - 14.50,1,286.1,-,-,0,779.7629,14.36,2.83E2,-,-,0,779.7609,12.62,1.39E3,779.7640,14.43,2.59E2,779.7634,12.76,6.47E2,-,-,0,-,-,0,-,-,0,0:1.09:0:5.36:1.00:2.50:0:0:0,4.29E2,0,1.00:0,13.54,,
,0.06,4.56,552.8709,4.42 - 5.47,1,122.9,-,-,0,-,-,0,-,-,0,552.8715,4.89,4.86E2,-,-,0,-,-,0,552.8690,4.47,3.22E2,552.8721,5.35,2.98E2,-,-,0,0:0:0:1.00:0:0:0.66:0.61:0,8.1E1,2.07E2,1.00:2.55,4.90,,
,0.06,3.07,418.3044,3.99 - 4.85,2,1E3,418.3040,4.15,1.77E3,-,-,0,418.3051,4.84,2.78E2,-,-,0,418.3042,4.14,4.17E3,-,-,0,-,-,0,-,-,0,418.3044,4.48,2.98E3,0.42:0:0.07:0:1.00:0:0:0:0.71,1.04E3,9.94E2,1.00:0.96,4.40,,
,0.06,8.98,679.8183,8.11 - 8.19,1,31,-,-,0,-,-,0,679.8175,8.14,1.4E2,-,-,0,-,-,0,679.8192,8.16,1.4E2,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:1.00:0:0:0,4.66E1,0,1.00:0,8.15,,
,0.06,4.21,635.7585,10.54 - 12.07,1,74.8,-,-,0,635.7584,11.14,1.97E2,-,-,0,-,-,0,635.7610,11.57,1.3E2,-,-,0,635.7561,12.03,1.58E2,635.7585,10.59,1.87E2,-,-,0,0:1.51:0:0:1.00:0:1.21:1.44:0,5.46E1,1.15E2,1.00:2.11,11.33,,
,0.06,3.13,642.8446,14.25 - 16.76,1,244.4,642.8427,14.36,2.8E2,-,-,0,642.8455,15.12,7.17E2,-,-,0,-,-,0,642.8453,15.92,5.12E2,-,-,0,642.8447,16.16,6.91E2,-,-,0,1.00:0:2.56:0:0:1.83:0:2.47:0,2.51E2,2.3E2,1.00:0.92,15.39,,
,0.06,8.88,465.3214,3.67 - 4.34,1,462.5,-,-,0,-,-,0,465.3214,4.26,4.16E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,6.94E2,0,1.00:0,4.26,,
,0.06,8.88,1193.7427,20.14 - 20.21,1,1.1E3,-,-,0,1193.7456,20.17,3.64E3,1193.7454,20.17,1.68E3,1193.7332,20.18,3.37E3,1193.7467,20.18,1.22E3,-,-,0,-,-,0,-,-,0,-,-,0,0:2.98:1.38:2.76:1.00:0:0:0:0,1.65E3,0,1.00:0,20.18,,
,0.06,8.88,740.6443,12.72 - 13.06,1,213.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,740.6443,12.87,1.92E3,0:0:0:0:0:0:0:0:1.00,0,6.4E2,0:1.00,12.87,,
,0.06,5.72,848.7352,16.33 - 17.37,1,344.6,848.7390,16.46,4.54E2,848.7318,17.16,1.84E3,-,-,0,-,-,0,-,-,0,848.7363,17.23,5E2,848.7339,16.36,3.05E2,-,-,0,-,-,0,1.00:4.06:0:0:0:1.10:0.67:0:0,4.66E2,1.02E2,1.00:0.22,16.80,,
,0.06,8.88,974.9150,17.66 - 17.77,1,312.7,-,-,0,974.9150,17.66,2.81E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.69E2,0,1.00:0,17.66,,
,0.06,8.88,298.8870,0.85 - 6.88,3,7.4E4,298.8871,1.88,6.64E5,-,-,0,-,-,0,298.8868,1.77,1.55E3,298.8873,0.95,1.14E3,298.8870,1.70,3.26E3,-,-,0,-,-,0,-,-,0,580.67:0:0:1.36:1.00:2.85:0:0:0,1.12E5,0,1.00:0,1.57,,
,0.06,3.38,739.7878,8.75 - 10.79,1,138.8,-,-,0,-,-,0,739.7871,9.37,2.94E2,739.7855,8.96,2.74E2,739.7888,10.76,3.33E2,-,-,0,739.7898,8.79,3.48E2,-,-,0,-,-,0,0:0:0.88:0.82:1.00:0:1.05:0:0,1.5E2,1.16E2,1.00:0.77,9.47,,
,0.06,4.20,700.7989,19.15 - 20.07,1,354.5,-,-,0,-,-,0,-,-,0,700.7972,20.02,8.31E2,700.7955,19.37,7.23E2,-,-,0,-,-,0,700.7997,19.36,7.25E2,700.8031,19.24,9.12E2,0:0:0:1.15:1.00:0:0:1.00:1.26,2.59E2,5.46E2,1.00:2.11,19.50,,
,0.06,8.93,364.8041,0.60 - 0.80,1,102.5,-,-,0,-,-,0,364.8039,0.77,4.11E2,364.8047,0.66,2.05E2,-,-,0,364.8039,0.70,3.06E2,-,-,0,-,-,0,-,-,0,0:0:1.00:0.50:0:0.75:0:0:0,1.54E2,0,1.00:0,0.71,,
,0.06,4.94,436.8601,4.45 - 4.64,3,100.7,-,-,0,-,-,0,-,-,0,-,-,0,436.8595,4.54,3.54E2,-,-,0,-,-,0,436.8616,4.55,2.54E2,436.8594,4.49,2.99E2,0:0:0:0:1.00:0:0:0.72:0.84,5.9E1,1.84E2,1.00:3.12,4.53,,
,0.06,8.93,822.7921,16.95 - 17.05,1,324.2,-,-,0,822.7921,16.98,2.92E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.86E2,0,1.00:0,16.98,,
,0.06,8.93,781.6312,4.21 - 4.62,1,323.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,781.6312,4.45,2.91E3,0:0:0:0:0:0:0:0:1.00,0,9.7E2,0:1.00,4.45,,
,0.06,8.93,1180.7544,20.17 - 20.24,1,128.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1180.7544,20.19,1.15E3,0:0:0:0:0:0:0:0:1.00,0,3.85E2,0:1.00,20.19,,
,0.06,8.93,682.4811,3.61 - 3.91,1,557.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,682.4811,3.78,5.01E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,8.36E2,0,1.00:0,3.78,,
,0.06,8.93,444.0885,4.62 - 9.76,1,7.7E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,444.0880,4.76,3.37E5,444.0890,4.71,3.52E5,0:0:0:0:0:0:0:1.00:1.04,0,2.3E5,0:1.00,4.74,,
,0.06,4.17,552.8692,4.94 - 5.27,1,119,-,-,0,-,-,0,-,-,0,552.8693,5.07,5.25E2,-,-,0,-,-,0,552.8706,5.05,2.21E2,552.8676,5.00,3.25E2,-,-,0,0:0:0:1.00:0:0:0.42:0.62:0,8.75E1,1.82E2,1.00:2.08,5.04,,
,0.06,8.88,829.5229,8.63 - 8.76,1,50.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,829.5229,8.70,4.53E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.51E2,0:1.00,8.70,,
,0.06,8.84,450.1217,3.06 - 3.91,1,4.8E3,-,-,0,-,-,0,-,-,0,-,-,0,450.1217,3.74,4.32E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,7.19E3,0,1.00:0,3.74,,
,0.06,3.77,660.7559,8.81 - 10.83,1,75.4,660.7554,10.34,2E2,-,-,0,-,-,0,-,-,0,660.7557,8.88,1.72E2,-,-,0,660.7554,10.77,1.35E2,-,-,0,660.7570,9.73,1.72E2,1.16:0:0:0:1.00:0:0.79:0:1.00,6.19E1,1.02E2,1.00:1.65,9.93,,
,0.06,8.79,526.8523,2.69 - 3.75,1,407.2,526.8522,3.50,3.37E3,-,-,0,-,-,0,-,-,0,-,-,0,526.8524,2.75,2.91E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.09:0:0:0,6.11E2,0,1.00:0,3.12,,
,0.06,8.79,637.7710,11.08 - 11.15,1,12.5,-,-,0,-,-,0,-,-,0,-,-,0,637.7710,11.12,1.12E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.87E1,0,1.00:0,11.12,,
,0.06,8.79,494.0873,1.21 - 1.30,1,52.2,-,-,0,-,-,0,494.0873,1.25,4.7E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,7.84E1,0,1.00:0,1.25,,
,0.06,8.79,636.2792,8.09 - 8.48,1,149.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,636.2792,8.35,1.35E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.49E2,0:1.00,8.35,,
,0.06,8.79,712.7620,11.86 - 13.58,1,288,712.7655,12.92,5.29E2,-,-,0,712.7601,13.00,4.81E2,712.7614,11.93,6.76E2,-,-,0,712.7610,13.44,9.05E2,-,-,0,-,-,0,-,-,0,1.00:0:0.91:1.28:0:1.71:0:0:0,4.32E2,0,1.00:0,12.82,,
,0.06,8.79,373.9351,0.25 - 0.42,1,2E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,373.9351,0.29,1.79E4,0:0:0:0:0:0:0:0:1.00,0,5.98E3,0:1.00,0.29,,
