Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS1_A00_neg m/z,CLVS1_A00_neg RT mean,CLVS1_A00_neg Normalized Area,CLVS1_A04_neg m/z,CLVS1_A04_neg RT mean,CLVS1_A04_neg Normalized Area,CLVS1_A05_neg m/z,CLVS1_A05_neg RT mean,CLVS1_A05_neg Normalized Area,CLVS1_A06_neg m/z,CLVS1_A06_neg RT mean,CLVS1_A06_neg Normalized Area,CLVS1_A07_neg m/z,CLVS1_A07_neg RT mean,CLVS1_A07_neg Normalized Area,CLVS1_A08_neg m/z,CLVS1_A08_neg RT mean,CLVS1_A08_neg Normalized Area,CLVS1_A09_neg m/z,CLVS1_A09_neg RT mean,CLVS1_A09_neg Normalized Area,CLVS1_A10_neg m/z,CLVS1_A10_neg RT mean,CLVS1_A10_neg Normalized Area,CLVS1_A11_neg m/z,CLVS1_A11_neg RT mean,CLVS1_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.01,8.12,824.8179,13.50 - 13.62,1,86.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,824.8179,13.56,7.79E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.3E2,0,1.00:0,13.56,,
,0.01,8.12,718.3224,20.08 - 20.13,2,100,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,718.3224,20.12,9E2,0:0:0:0:0:0:0:0:1.00,0,3E2,0:1.00,20.12,,
,0.01,8.12,608.2468,6.42 - 6.66,2,84.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,608.2468,6.53,7.63E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.54E2,0:1.00,6.53,,
,0.01,8.12,644.7754,5.66 - 5.87,1,88.9,644.7754,5.73,8E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.33E2,0,1.00:0,5.73,,
,0.01,8.12,858.7648,7.88 - 7.99,1,85.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,858.7648,7.90,7.71E2,0:0:0:0:0:0:0:0:1.00,0,2.57E2,0:1.00,7.90,,
,0.01,8.12,310.8803,10.90 - 10.96,1,10.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,310.8803,10.90,9.26E1,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.54E1,0,1.00:0,10.90,,
,0.01,8.12,883.0586,4.59 - 5.50,1,153.6,-,-,0,-,-,0,-,-,0,883.0586,4.90,1.38E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.3E2,0,1.00:0,4.90,,
,0.01,8.12,700.7399,12.16 - 12.23,1,33,-,-,0,-,-,0,-,-,0,-,-,0,700.7399,12.22,2.97E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,4.95E1,0,1.00:0,12.22,,
,0.01,8.12,407.8818,9.34 - 14.39,1,1.5E3,-,-,0,-,-,0,-,-,0,-,-,0,407.8818,9.80,7.97E3,407.8817,9.70,5.63E3,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0.71:0:0:0,2.27E3,0,1.00:0,9.75,,
,0.00,8.12,543.8729,6.13 - 6.37,2,94.9,-,-,0,-,-,0,-,-,0,-,-,0,543.8729,6.28,8.54E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.42E2,0,1.00:0,6.28,,
,0.00,8.12,914.7338,9.62 - 9.71,1,71.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,914.7338,9.66,6.4E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.13E2,0:1.00,9.66,,
,0.00,8.12,642.8355,14.94 - 15.64,1,501.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,642.8363,15.02,3.55E3,-,-,0,642.8347,15.56,9.65E2,0:0:0:0:0:0:1.00:0:0.27,0,1.5E3,0:1.00,15.29,,
,0.00,8.12,787.7846,20.28 - 20.34,1,48.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,787.7846,20.29,4.39E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,7.32E1,0,1.00:0,20.29,,
,0.00,8.12,1198.7412,20.15 - 20.23,2,406.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1198.7412,20.20,3.66E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.22E3,0:1.00,20.20,,
,0.00,8.12,646.9392,8.78 - 9.93,3,67.4,-,-,0,646.9398,9.83,4.11E2,-,-,0,646.9386,8.82,1.96E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.48:0:0:0:0:0,1.01E2,0,1.00:0,9.33,,
,0.00,8.12,564.8206,12.92 - 13.88,1,203.2,564.8190,13.59,6.4E2,-,-,0,-,-,0,-,-,0,-,-,0,564.8223,13.02,1.19E3,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:1.86:0:0:0,3.05E2,0,1.00:0,13.30,,
,0.00,8.12,419.0751,5.95 - 6.12,9,46.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,419.0751,6.04,4.15E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,6.91E1,0,1.00:0,6.04,,
,0.00,8.12,266.8032,5.47 - 5.75,3,27.4,266.8032,5.50,2.47E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,4.11E1,0,1.00:0,5.50,,
,0.00,8.12,406.8656,7.80 - 14.57,1,7.4E3,-,-,0,406.8653,9.57,5.81E4,406.8658,8.35,8.33E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.14:0:0:0:0:0:0,1.11E4,0,1.00:0,8.96,,
,0.00,8.12,486.8797,14.50 - 14.56,2,17.3,-,-,0,486.8797,14.52,1.55E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.59E1,0,1.00:0,14.52,,
,0.00,8.12,506.8082,7.13 - 7.36,1,71.1,-,-,0,-,-,0,-,-,0,506.8082,7.21,6.4E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.07E2,0,1.00:0,7.21,,
,0.00,8.12,857.7748,16.17 - 16.26,1,72.5,-,-,0,-,-,0,857.7748,16.19,6.53E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.09E2,0,1.00:0,16.19,,
,0.00,8.12,475.3598,6.17 - 6.26,2,34.1,-,-,0,-,-,0,-,-,0,-,-,0,475.3598,6.20,3.07E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,5.11E1,0,1.00:0,6.20,,
,0.00,8.12,752.8235,5.87 - 5.88,1,19,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,752.8235,5.88,1.71E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,5.71E1,0:1.00,5.88,,
,0.01,8.12,669.3104,8.12 - 8.19,1,17.7,-,-,0,-,-,0,-,-,0,669.3104,8.14,1.59E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.66E1,0,1.00:0,8.14,,
,0.01,8.12,680.3144,10.28 - 10.37,2,43,-,-,0,-,-,0,-,-,0,-,-,0,680.3144,10.37,3.87E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,6.46E1,0,1.00:0,10.37,,
,0.01,8.12,386.8603,11.36 - 13.45,1,358.6,386.8602,11.47,6.92E2,-,-,0,-,-,0,-,-,0,386.8604,11.68,2.53E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:3.66:0:0:0:0,5.38E2,0,1.00:0,11.58,,
,0.01,8.12,556.7230,18.34 - 18.69,1,191.8,556.7231,18.58,1.12E3,-,-,0,-,-,0,556.7228,18.37,6.09E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0.54:0:0:0:0:0,2.88E2,0,1.00:0,18.47,,
,0.01,8.12,836.2683,5.59 - 5.66,2,34.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,836.2683,5.61,3.14E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,5.23E1,0,1.00:0,5.61,,
,0.01,8.12,407.8814,8.70 - 9.47,1,229.6,-,-,0,-,-,0,-,-,0,-,-,0,407.8820,9.29,1.23E3,407.8809,8.93,8.33E2,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0.68:0:0:0,3.44E2,0,1.00:0,9.11,,
,0.01,8.12,348.8984,14.71 - 15.54,1,34.5,348.8985,15.50,1.61E2,348.8984,14.73,1.49E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.93:0:0:0:0:0:0:0,5.18E1,0,1.00:0,15.12,,
,0.01,8.12,456.1279,3.61 - 4.70,1,1.8E3,-,-,0,-,-,0,456.1279,3.77,1.65E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2.76E3,0,1.00:0,3.77,,
,0.01,8.12,1108.7708,20.13 - 20.24,1,372.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1108.7708,20.19,3.36E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.12E3,0:1.00,20.19,,
,0.01,8.12,440.9002,6.30 - 6.36,1,46.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,440.9002,6.34,4.18E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.39E2,0:1.00,6.34,,
,0.01,8.12,806.7587,12.11 - 13.09,1,95.7,-,-,0,-,-,0,-,-,0,806.7573,12.15,3.3E2,806.7601,13.00,5.31E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:1.61:0:0:0:0,1.44E2,0,1.00:0,12.58,,
,0.01,8.12,494.8347,15.24 - 15.96,1,119.6,-,-,0,494.8347,15.95,5.65E2,494.8347,15.34,5.11E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.90:0:0:0:0:0:0,1.79E2,0,1.00:0,15.65,,
,0.01,8.12,757.7601,10.25 - 10.37,1,57.1,-,-,0,-,-,0,-,-,0,-,-,0,757.7601,10.29,5.13E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,8.56E1,0,1.00:0,10.29,,
,0.01,8.12,382.8479,17.96 - 18.18,3,177.9,-,-,0,382.8480,18.06,1.15E3,382.8478,18.02,4.56E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.40:0:0:0:0:0:0,2.67E2,0,1.00:0,18.04,,
,0.01,8.12,316.8002,0.61 - 2.25,3,1.8E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,316.8002,1.67,1.66E4,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,2.77E3,0,1.00:0,1.67,,
,0.01,8.12,545.8402,13.90 - 13.95,1,19.5,-,-,0,-,-,0,-,-,0,545.8402,13.92,1.75E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,2.92E1,0,1.00:0,13.92,,
,0.01,8.12,416.8951,3.58 - 9.13,1,378.4,-,-,0,416.8951,5.93,1.82E3,416.8952,5.15,1.21E3,-,-,0,-,-,0,-,-,0,-,-,0,416.8950,4.13,-,-,-,0,0:1.00:0.66:0:0:0:0:-:0,5.05E2,0,1.00:0,5.07,,
,0.01,8.12,1062.7599,20.11 - 20.22,1,514,-,-,0,-,-,0,-,-,0,1062.7599,20.16,4.63E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.71E2,0,1.00:0,20.16,,
,0.01,8.12,858.7623,14.27 - 14.42,1,149,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,858.7637,14.31,7.75E2,-,-,0,858.7609,14.40,5.66E2,0:0:0:0:0:0:1.00:0:0.73,0,4.47E2,0:1.00,14.35,,
,0.01,8.12,632.8094,9.91 - 10.63,1,320.3,-,-,0,-,-,0,-,-,0,632.8097,10.23,1.08E3,632.8091,10.06,1.8E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:1.67:0:0:0:0,4.8E2,0,1.00:0,10.15,,
,0.01,8.12,660.7530,20.85 - 21.38,1,38.1,660.7531,20.87,1.41E2,660.7529,21.34,2.02E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.44:0:0:0:0:0:0:0,5.71E1,0,1.00:0,21.11,,
,0.01,8.12,717.8443,19.53 - 19.69,1,176.7,-,-,0,717.8460,19.63,9.15E2,-,-,0,-,-,0,-,-,0,717.8425,19.65,6.75E2,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0.74:0:0:0,2.65E2,0,1.00:0,19.64,,
,0.01,8.12,735.8402,10.01 - 10.57,1,91,-,-,0,-,-,0,-,-,0,735.8388,10.52,3.48E2,735.8416,10.03,4.71E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:1.35:0:0:0:0,1.36E2,0,1.00:0,10.27,,
,0.01,8.12,744.7862,12.81 - 12.95,1,73.3,744.7861,12.87,4.32E2,744.7862,12.93,2.27E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.53:0:0:0:0:0:0:0,1.1E2,0,1.00:0,12.90,,
,0.01,8.12,543.8434,11.75 - 11.95,1,78,-,-,0,543.8438,11.81,3.78E2,-,-,0,543.8430,11.91,3.24E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.86:0:0:0:0:0,1.17E2,0,1.00:0,11.86,,
,0.01,8.12,613.8309,11.73 - 12.44,1,183,613.8311,11.74,3.78E2,-,-,0,613.8307,12.36,1.27E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:3.36:0:0:0:0:0:0,2.74E2,0,1.00:0,12.05,,
,0.01,8.12,683.7580,1.01 - 1.09,1,84.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,683.7580,0.99,7.59E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,2.53E2,0:1.00,0.99,,
,0.01,8.12,460.8644,5.37 - 11.03,1,529.9,460.8647,6.03,-,460.8643,6.93,6.91E2,-,-,0,-,-,0,460.8643,5.64,3.55E3,-,-,0,-,-,0,-,-,0,-,-,0,-:1.00:0:0:5.14:0:0:0:0,8.48E2,0,1.00:0,6.20,,
,0.00,8.12,762.7730,5.08 - 15.08,1,4.4E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,762.7730,10.08,3.97E5,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.32E5,0:1.00,10.08,,
,0.01,8.12,730.1760,3.31 - 4.88,1,2.5E3,-,-,0,-,-,0,-,-,0,730.1760,3.70,2.28E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,3.79E3,0,1.00:0,3.70,,
,0.01,8.12,839.7148,9.54 - 9.60,1,23.3,-,-,0,-,-,0,-,-,0,839.7148,9.55,2.1E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,3.5E1,0,1.00:0,9.55,,
,0.01,8.12,257.8755,11.56 - 17.43,1,3.8E4,257.8755,16.56,3.45E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,5.75E4,0,1.00:0,16.56,,
,0.01,8.12,778.8170,6.17 - 6.27,3,52.1,-,-,0,-,-,0,-,-,0,778.8170,6.21,4.69E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.82E1,0,1.00:0,6.21,,
,0.01,8.12,574.7836,17.20 - 17.74,1,329.2,-,-,0,574.7844,17.26,5.96E2,-,-,0,574.7829,17.62,2.37E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:3.97:0:0:0:0:0,4.94E2,0,1.00:0,17.44,,
,0.01,8.12,770.3356,20.14 - 20.20,2,86.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,770.3356,20.15,7.82E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.61E2,0:1.00,20.15,,
,0.01,8.12,318.8319,14.23 - 14.28,1,16.6,318.8319,14.25,1.49E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.49E1,0,1.00:0,14.25,,
,0.01,8.12,1271.7305,20.11 - 20.22,2,442.9,-,-,0,1271.7311,20.21,2.43E3,1271.7300,20.19,1.55E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.64:0:0:0:0:0:0,6.64E2,0,1.00:0,20.20,,
,0.01,8.12,312.8637,9.60 - 10.51,3,110.8,-,-,0,-,-,0,312.8638,9.68,4.09E2,312.8635,10.38,5.88E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.44:0:0:0:0:0,1.66E2,0,1.00:0,10.03,,
,0.01,8.12,1285.0669,20.15 - 20.22,3,180.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1285.0669,20.19,1.62E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,2.71E2,0,1.00:0,20.19,,
,0.01,8.12,506.8093,12.04 - 12.54,1,364.4,-,-,0,506.8093,12.25,2.48E3,506.8094,12.15,7.96E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.32:0:0:0:0:0:0,5.47E2,0,1.00:0,12.20,,
,0.01,8.12,267.8924,21.47 - 21.80,1,66.2,-,-,0,267.8926,21.78,4.12E2,-,-,0,267.8922,21.79,1.83E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.44:0:0:0:0:0,9.92E1,0,1.00:0,21.79,,
,0.01,8.12,687.5762,19.16 - 19.92,1,311.2,687.5759,19.23,1.06E3,-,-,0,687.5764,19.74,1.74E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:1.65:0:0:0:0:0:0,4.67E2,0,1.00:0,19.49,,
,0.01,8.12,686.8285,13.21 - 15.05,1,156,686.8284,15.00,3.55E2,-,-,0,-,-,0,686.8286,13.26,1.05E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:2.95:0:0:0:0:0,2.34E2,0,1.00:0,14.13,,
,0.01,8.12,585.3640,3.04 - 3.13,3,34.8,585.3640,3.09,3.13E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,5.22E1,0,1.00:0,3.09,,
,0.01,8.12,427.8614,8.01 - 8.28,1,54.3,427.8612,8.19,2.2E2,427.8616,8.05,2.69E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.22:0:0:0:0:0:0:0,8.14E1,0,1.00:0,8.12,,
,0.01,8.12,277.8205,7.23 - 7.55,1,91.9,-,-,0,277.8207,7.27,4.26E2,277.8203,7.47,4E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.94:0:0:0:0:0:0,1.38E2,0,1.00:0,7.37,,
,0.01,8.12,611.3099,12.58 - 12.66,2,33.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,611.3099,12.61,3.03E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,5.04E1,0,1.00:0,12.61,,
,0.01,8.12,1212.2474,20.12 - 20.23,2,284.2,-,-,0,-,-,0,1212.2460,20.16,1.44E3,-,-,0,-,-,0,1212.2488,20.21,1.12E3,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0.77:0:0:0,4.26E2,0,1.00:0,20.18,,
,0.01,8.12,552.8671,14.56 - 14.96,1,399.6,-,-,0,-,-,0,-,-,0,552.8661,14.66,2.66E3,552.8680,14.85,9.35E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0.35:0:0:0:0,5.99E2,0,1.00:0,14.75,,
,0.01,8.12,652.8091,4.59 - 8.76,1,4.9E3,652.8094,5.90,3.95E4,652.8088,6.09,-,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:-:0:0:0:0:0:0:0,7.89E3,0,1.00:0,5.99,,
,0.01,8.12,576.7885,21.30 - 21.37,1,17.8,-,-,0,-,-,0,576.7885,21.37,1.6E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2.67E1,0,1.00:0,21.37,,
,0.01,8.12,373.9296,11.99 - 12.62,7,128.2,373.9294,12.57,6.31E2,-,-,0,373.9297,12.01,5.23E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0.83:0:0:0:0:0:0,1.92E2,0,1.00:0,12.29,,
,0.01,8.12,508.8871,10.91 - 12.32,1,94.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,508.8871,12.28,2.55E2,508.8871,10.96,5.94E2,-,-,0,0:0:0:0:0:0:1.00:2.33:0,0,2.83E2,0:1.00,11.62,,
,0.01,8.12,416.8945,7.95 - 8.22,1,246.2,-,-,0,416.8950,8.08,1.03E3,416.8940,8.04,1.19E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:1.16:0:0:0:0:0:0,3.69E2,0,1.00:0,8.06,,
,0.01,8.12,574.8484,5.94 - 7.49,1,2.3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,574.8484,7.04,2.1E4,-,-,0,0:0:0:0:0:0:0:1.00:0,0,6.99E3,0:1.00,7.04,,
,0.01,8.12,725.8764,16.42 - 16.84,1,594.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,725.8773,16.54,2.65E3,-,-,0,725.8756,16.69,2.7E3,0:0:0:0:0:0:1.00:0:1.02,0,1.78E3,0:1.00,16.61,,
,0.01,8.12,563.8320,4.44 - 4.52,1,50.4,-,-,0,-,-,0,563.8320,4.45,4.54E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,7.56E1,0,1.00:0,4.45,,
,0.01,8.12,585.8228,21.20 - 21.30,1,19.2,-,-,0,-,-,0,585.8228,21.22,1.72E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2.87E1,0,1.00:0,21.22,,
,0.01,8.12,552.8694,9.79 - 14.80,1,546.1,-,-,0,552.8685,10.45,1.3E3,-,-,0,552.8701,10.09,3.07E3,552.8696,9.87,-,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:2.35:-:0:0:0:0,8.74E2,0,1.00:0,10.14,,
,0.01,8.12,368.9601,17.86 - 18.37,3,153,-,-,0,-,-,0,368.9606,17.88,4.41E2,-,-,0,-,-,0,368.9596,18.24,9.36E2,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:2.12:0:0:0,2.29E2,0,1.00:0,18.06,,
,0.01,8.12,748.8324,18.99 - 19.24,1,135.2,748.8329,19.15,8.03E2,-,-,0,-,-,0,748.8320,19.02,4.14E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0.51:0:0:0:0:0,2.03E2,0,1.00:0,19.08,,
,0.01,8.12,588.7507,1.15 - 1.37,1,180.7,-,-,0,588.7502,1.21,6.8E2,588.7511,1.30,9.46E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:1.39:0:0:0:0:0:0,2.71E2,0,1.00:0,1.25,,
,0.01,8.12,633.8192,3.14 - 4.39,1,554,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,633.8192,3.24,1.03E3,-,-,0,633.8191,3.62,3.95E3,0:0:0:0:0:0:1.00:0:3.82,0,1.66E3,0:1.00,3.43,,
,0.01,8.12,555.8047,5.77 - 5.88,1,54.3,-,-,0,-,-,0,555.8047,5.84,2.26E2,-,-,0,555.8047,5.81,2.63E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:1.16:0:0:0:0,8.14E1,0,1.00:0,5.83,,
,0.01,8.12,763.8461,16.66 - 16.88,1,101.5,763.8463,16.86,3.82E2,-,-,0,-,-,0,-,-,0,763.8460,16.71,5.31E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:1.39:0:0:0:0,1.52E2,0,1.00:0,16.78,,
,0.01,8.12,474.8770,18.80 - 19.15,1,597.7,-,-,0,-,-,0,474.8760,18.95,2.64E3,-,-,0,-,-,0,474.8781,19.04,2.74E3,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:1.04:0:0:0,8.96E2,0,1.00:0,18.99,,
,0.01,8.12,794.7857,6.01 - 6.13,2,88.9,-,-,0,-,-,0,794.7857,6.07,8E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.33E2,0,1.00:0,6.07,,
,0.01,8.12,846.7390,5.07 - 5.21,1,99.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,846.7382,5.20,3.98E2,846.7397,5.09,4.98E2,-,-,0,0:0:0:0:0:0:1.00:1.25:0,0,2.99E2,0:1.00,5.15,,
,0.01,8.12,274.0202,10.74 - 11.15,1,180.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,274.0200,10.79,1.17E3,274.0205,10.99,4.47E2,0:0:0:0:0:0:0:1.00:0.38,0,5.4E2,0:1.00,10.89,,
,0.01,8.12,518.8222,16.17 - 16.81,1,361.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,518.8221,16.78,9.68E2,518.8223,16.27,2.29E3,0:0:0:0:0:0:0:1.00:2.36,0,1.08E3,0:1.00,16.53,,
,0.01,8.12,596.8371,5.89 - 6.55,1,222.5,-,-,0,-,-,0,596.8369,6.52,7.65E2,596.8373,6.00,1.24E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.62:0:0:0:0:0,3.34E2,0,1.00:0,6.26,,
,0.01,8.12,438.8210,9.68 - 15.27,1,4.5E3,438.8205,10.27,1.25E4,-,-,0,438.8215,9.89,2.84E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:2.26:0:0:0:0:0:0,6.82E3,0,1.00:0,10.08,,
