Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,ORP10_C00_neg m/z,ORP10_C00_neg RT mean,ORP10_C00_neg Normalized Area,ORP10_C07_neg m/z,ORP10_C07_neg RT mean,ORP10_C07_neg Normalized Area,ORP10_C08_neg m/z,ORP10_C08_neg RT mean,ORP10_C08_neg Normalized Area,ORP10_C09_neg m/z,ORP10_C09_neg RT mean,ORP10_C09_neg Normalized Area,ORP10_C10_neg m/z,ORP10_C10_neg RT mean,ORP10_C10_neg Normalized Area,ORP10_C11_neg m/z,ORP10_C11_neg RT mean,ORP10_C11_neg Normalized Area,ORP10_C04_neg m/z,ORP10_C04_neg RT mean,ORP10_C04_neg Normalized Area,ORP10_C05_neg m/z,ORP10_C05_neg RT mean,ORP10_C05_neg Normalized Area,ORP10_C06_neg m/z,ORP10_C06_neg RT mean,ORP10_C06_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.06,3.52,578.8088,5.91 - 6.82,1,206.4,578.8029,6.62,6.77E2,578.8096,6.02,6.71E2,-,-,0,-,-,0,-,-,0,-,-,0,578.8105,6.80,2.02E2,578.8121,6.50,3.09E2,-,-,0,2.19:2.17:0:0:0:0:0.65:1.00:0,2.25E2,1.7E2,1.32:1.00,6.48,,
,0.06,11.04,623.7951,7.15 - 7.33,1,75.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,623.7951,7.23,6.8E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.27E2,0:1.00,7.23,,
,0.06,4.01,714.3104,19.20 - 19.51,1,208.2,714.3081,19.48,4.87E2,714.3112,19.30,5.15E2,-,-,0,-,-,0,-,-,0,714.3096,19.28,4.39E2,-,-,0,714.3125,19.35,4.32E2,-,-,0,1.13:1.19:0:0:0:1.02:0:1.00:0,2.4E2,1.44E2,1.67:1.00,19.35,,
,0.06,11.04,714.1664,0.16 - 0.21,2,1.6E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,714.1664,0.18,1.44E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,2.39E4,0,1.00:0,0.18,,
,0.06,7.02,611.8349,19.90 - 20.13,2,279.2,611.8350,19.91,1.57E2,611.8348,19.98,5.35E2,-,-,0,-,-,0,-,-,0,-,-,0,611.8344,20.04,1.58E3,611.8353,20.02,2.39E2,-,-,0,0.66:2.24:0:0:0:0:6.62:1.00:0,1.15E2,6.07E2,0.19:1.00,19.99,,
,0.06,3.03,1247.7364,20.08 - 20.23,1,1.1E3,1247.7175,20.18,2.24E3,-,-,0,1247.7373,20.16,3.28E3,-,-,0,-,-,0,1247.7534,20.17,8.2E2,-,-,0,1247.7373,20.20,3.22E3,-,-,0,0.70:0:1.02:0:0:0.26:0:1.00:0,1.06E3,1.07E3,0.99:1.00,20.18,,
,0.06,10.93,672.2720,2.14 - 3.52,1,97.6,672.2723,2.35,4.38E2,672.2715,3.45,2.7E2,-,-,0,-,-,0,-,-,0,672.2722,2.21,1.71E2,-,-,0,-,-,0,-,-,0,1.00:0.62:0:0:0:0.39:0:0:0,1.46E2,0,1.00:0,2.67,,
,0.06,5.13,263.1123,16.77 - 18.52,1,34.6,-,-,0,263.1124,16.80,6.35E1,-,-,0,-,-,0,-,-,0,263.1123,18.48,6.83E1,-,-,0,263.1122,18.33,1.79E2,-,-,0,0:0.35:0:0:0:0.38:0:1.00:0,2.2E1,5.98E1,0.37:1.00,17.87,,
,0.06,11.00,1193.2677,20.13 - 20.20,1,58.1,1193.2677,20.18,5.23E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,8.71E1,0,1.00:0,20.18,,
,0.06,11.00,378.8298,11.34 - 11.44,3,21.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,378.8298,11.38,1.91E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,6.38E1,0:1.00,11.38,,
,0.06,10.90,405.2668,2.04 - 2.66,1,405.1,-,-,0,-,-,0,405.2670,2.58,1.88E3,-,-,0,405.2667,2.58,1.77E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0.94:0:0:0:0,6.08E2,0,1.00:0,2.58,,
,0.06,6.16,681.8539,15.57 - 16.52,1,133.2,-,-,0,681.8555,15.61,1.63E2,-,-,0,-,-,0,-,-,0,681.8531,16.49,2.36E2,681.8525,16.28,6.33E2,681.8547,16.34,1.68E2,-,-,0,0:0.97:0:0:0:1.41:3.78:1.00:0,6.65E1,2.67E2,0.25:1.00,16.18,,
,0.06,5.52,443.3022,1.51 - 4.17,1,7.6E3,443.3022,2.99,8.85E3,-,-,0,443.3025,2.96,1.75E4,-,-,0,-,-,0,-,-,0,443.3019,2.83,4.24E4,-,-,0,-,-,0,1.00:0:1.98:0:0:0:4.79:0:0,4.39E3,1.41E4,0.31:1.00,2.93,,
,0.06,10.80,551.9841,1.51 - 1.81,1,133,-,-,0,-,-,0,-,-,0,-,-,0,551.9841,1.58,1.2E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.99E2,0,1.00:0,1.58,,
,0.06,4.51,904.7016,18.58 - 19.50,1,257.6,904.7023,19.04,4.5E2,904.7067,19.41,6.74E2,-,-,0,-,-,0,-,-,0,-,-,0,904.6998,18.91,6.57E2,904.6976,18.65,5.37E2,-,-,0,0.84:1.26:0:0:0:0:1.22:1.00:0,1.87E2,3.98E2,0.47:1.00,19.00,,
,0.06,10.88,672.7653,10.74 - 10.79,1,14.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,672.7653,10.76,1.27E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.24E1,0:1.00,10.76,,
,0.06,4.08,711.8410,5.03 - 6.41,1,194.6,711.8429,5.17,3.45E2,711.8391,6.32,2.69E2,-,-,0,-,-,0,-,-,0,711.8409,5.15,3.22E2,711.8412,6.20,8.15E2,-,-,0,-,-,0,1.00:0.78:0:0:0:0.93:2.36:0:0,1.56E2,2.72E2,0.57:1.00,5.71,,
,0.06,10.87,977.7133,12.93 - 12.99,1,19.8,-,-,0,977.7133,12.93,1.78E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.97E1,0,1.00:0,12.93,,
,0.06,6.34,578.7960,4.05 - 4.90,1,501.6,-,-,0,578.7968,4.19,3.38E2,-,-,0,-,-,0,-,-,0,578.7946,4.09,1.1E3,578.7963,4.15,2.74E3,578.7963,4.87,3.42E2,-,-,0,0:0.99:0:0:0:3.21:7.99:1.00:0,2.39E2,1.03E3,0.23:1.00,4.33,,
,0.06,4.71,603.8127,2.92 - 3.60,1,211,603.8123,2.99,5.38E2,603.8123,3.07,3.41E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,603.8135,3.43,1.02E3,-,-,0,0.53:0.33:0:0:0:0:0:1.00:0,1.47E2,3.4E2,0.43:1.00,3.16,,
,0.06,10.76,913.3329,0.16 - 0.21,1,7.4E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,913.3329,0.18,6.66E4,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.11E4,0,1.00:0,0.18,,
,0.06,5.45,629.8021,15.20 - 16.58,1,177.1,629.8032,15.88,4.46E2,-,-,0,-,-,0,-,-,0,-,-,0,629.8041,16.54,1.75E2,629.8015,16.49,4.93E2,629.7997,15.24,4.8E2,-,-,0,0.93:0:0:0:0:0.36:1.03:1.00:0,1.04E2,3.24E2,0.32:1.00,16.04,,
,0.06,10.76,730.5603,0.16 - 0.21,1,4.4E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,730.5603,0.19,3.93E4,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,6.55E3,0,1.00:0,0.19,,
,0.06,5.61,406.8672,2.70 - 8.20,1,2.2E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,406.8674,3.14,7.41E4,-,-,0,406.8670,3.20,1.23E5,-,-,0,0:0:0:0:0:0.60:0:1.00:0,1.24E4,4.11E4,0.30:1.00,3.17,,
,0.06,10.76,525.7714,0.27 - 0.41,1,70.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,525.7714,0.39,6.32E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.11E2,0:1.00,0.39,,
,0.06,4.87,842.7296,12.18 - 14.07,1,122.9,842.7251,12.35,1.98E2,842.7355,12.42,2.96E2,-,-,0,-,-,0,-,-,0,-,-,0,842.7345,14.05,2.93E2,842.7235,12.23,3.19E2,-,-,0,0.62:0.93:0:0:0:0:0.92:1.00:0,8.23E1,2.04E2,0.40:1.00,12.76,,
,0.06,3.89,598.7857,16.97 - 17.17,2,52.1,598.7836,17.00,1.69E2,-,-,0,-,-,0,-,-,0,-,-,0,598.7863,17.12,9.15E1,-,-,0,598.7872,17.13,2.09E2,-,-,0,0.81:0:0:0:0:0.44:0:1.00:0,4.34E1,6.97E1,0.62:1.00,17.08,,
,0.06,10.74,479.7952,21.82 - 21.91,1,49.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,479.7952,21.87,4.43E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.48E2,0:1.00,21.87,,
,0.06,10.74,584.6418,0.12 - 0.24,4,2.7E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,584.6418,0.18,2.47E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,4.11E4,0,1.00:0,0.18,,
,0.06,3.13,748.8041,8.50 - 9.49,1,124.2,748.8036,8.86,2.9E2,748.8037,8.66,2.02E2,-,-,0,-,-,0,-,-,0,748.8019,9.46,2.35E2,748.8071,8.54,3.91E2,-,-,0,-,-,0,1.00:0.70:0:0:0:0.81:1.35:0:0,1.21E2,1.3E2,0.93:1.00,8.88,,
,0.06,3.18,690.7696,12.02 - 13.59,1,303.2,690.7711,13.47,6.1E2,690.7701,13.13,8.85E2,-,-,0,-,-,0,-,-,0,690.7692,12.07,2.64E2,-,-,0,690.7680,12.53,9.7E2,-,-,0,0.63:0.91:0:0:0:0.27:0:1.00:0,2.93E2,3.23E2,0.91:1.00,12.80,,
,0.06,10.74,581.8446,19.94 - 20.09,2,41,-,-,0,581.8430,20.05,2.98E2,-,-,0,-,-,0,-,-,0,581.8462,19.97,7.04E1,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0.24:0:0:0,6.15E1,0,1.00:0,20.01,,
,0.06,5.58,779.8300,9.76 - 10.56,1,281.8,779.8325,10.35,4.27E2,779.8278,9.85,5.3E2,-,-,0,-,-,0,-,-,0,-,-,0,779.8313,10.55,1.02E3,779.8284,10.32,5.63E2,-,-,0,0.76:0.94:0:0:0:0:1.81:1.00:0,1.59E2,5.27E2,0.30:1.00,10.27,,
,0.06,3.94,716.7788,11.54 - 12.90,1,190,716.7796,12.86,4.03E2,716.7777,12.43,5.32E2,-,-,0,-,-,0,-,-,0,716.7812,12.14,3.76E2,-,-,0,716.7765,11.58,3.99E2,-,-,0,1.01:1.33:0:0:0:0.94:0:1.00:0,2.18E2,1.33E2,1.64:1.00,12.25,,
,0.06,10.74,1289.3770,20.10 - 20.21,1,151.1,1289.3770,20.20,1.36E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.27E2,0,1.00:0,20.20,,
,0.06,4.84,726.7569,8.55 - 11.62,1,185.5,726.7593,9.34,3.3E2,726.7562,9.56,6.92E2,-,-,0,-,-,0,-,-,0,726.7556,8.65,3.64E2,726.7563,11.59,2.83E2,-,-,0,-,-,0,1.00:2.09:0:0:0:1.10:0.86:0:0,2.31E2,9.43E1,2.45:1.00,9.78,,
,0.06,10.85,1419.0410,20.11 - 20.21,1,144.2,1419.0410,20.16,1.3E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.16E2,0,1.00:0,20.16,,
,0.06,3.83,450.0961,4.02 - 4.74,1,3E3,-,-,0,-,-,0,-,-,0,-,-,0,450.0960,4.55,1.13E4,450.0962,4.54,3.75E3,-,-,0,450.0961,4.55,1.16E4,-,-,0,0:0:0:0:0.97:0.32:0:1.00:0,2.51E3,3.88E3,0.65:1.00,4.55,,
,0.06,10.74,397.8894,2.40 - 2.68,1,35,397.8893,2.43,2.23E2,397.8894,2.65,9.22E1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.41:0:0:0:0:0:0:0,5.26E1,0,1.00:0,2.54,,
,0.06,4.12,700.8012,12.08 - 15.34,1,552.4,-,-,0,700.8018,13.31,1.28E3,-,-,0,-,-,0,-,-,0,700.8027,13.00,1.34E3,-,-,0,700.8019,12.76,8.75E2,700.7986,12.16,1.47E3,0:1.47:0:0:0:1.53:0:1.00:1.68,4.37E2,7.83E2,0.56:1.00,12.81,,
,0.06,10.74,763.6866,1.01 - 1.09,1,40.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,763.6866,1.08,3.67E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.22E2,0:1.00,1.08,,
,0.06,3.19,1050.6988,19.45 - 20.10,1,377.9,1050.6973,20.07,5.96E2,1050.6985,19.56,1.59E3,-,-,0,-,-,0,-,-,0,-,-,0,1050.6936,20.00,5.67E2,1050.7058,19.66,6.49E2,-,-,0,0.92:2.45:0:0:0:0:0.87:1.00:0,3.64E2,4.06E2,0.90:1.00,19.82,,
,0.06,4.41,862.7217,8.58 - 9.98,1,134.3,-,-,0,862.7245,8.61,2.38E2,-,-,0,-,-,0,-,-,0,862.7242,8.72,3.63E2,862.7199,9.94,4.26E2,862.7183,8.89,1.81E2,-,-,0,0:1.31:0:0:0:2.00:2.35:1.00:0,1E2,2.03E2,0.49:1.00,9.04,,
,0.06,3.41,552.8708,8.73 - 13.45,1,375.5,-,-,0,552.8716,9.27,7.19E2,-,-,0,-,-,0,-,-,0,552.8699,9.89,1.36E3,552.8717,9.43,4.81E2,552.8701,8.80,8.18E2,-,-,0,0:0.88:0:0:0:1.66:0.59:1.00:0,3.47E2,4.33E2,0.80:1.00,9.35,,
,0.06,4.84,768.7901,9.62 - 13.09,1,358.6,768.7883,10.35,7.82E2,768.7917,10.78,6.72E2,-,-,0,-,-,0,-,-,0,-,-,0,768.7896,13.02,1.15E3,768.7908,9.68,6.25E2,-,-,0,1.25:1.08:0:0:0:0:1.84:1.00:0,2.42E2,5.91E2,0.41:1.00,10.96,,
,0.06,10.73,298.7406,21.33 - 22.00,5,188.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,298.7406,21.76,1.7E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,5.66E2,0:1.00,21.76,,
,0.06,10.73,464.3236,1.15 - 1.30,1,82.4,-,-,0,-,-,0,-,-,0,464.3236,1.25,7.41E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.24E2,0,1.00:0,1.25,,
,0.06,5.96,791.3279,19.48 - 20.23,1,420.7,-,-,0,791.3295,19.50,1.04E3,-,-,0,-,-,0,-,-,0,791.3286,19.65,2.61E2,791.3279,19.76,7.76E2,-,-,0,791.3257,20.13,1.71E3,0:1.00:0:0:0:0.25:0.75:0:1.64,2.17E2,8.28E2,0.26:1.00,19.76,,
,0.06,10.74,518.6943,0.11 - 0.24,1,3.8E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,518.6943,0.18,3.44E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,5.73E4,0,1.00:0,0.18,,
,0.06,10.74,616.4906,3.60 - 3.68,1,96.2,-,-,0,-,-,0,-,-,0,616.4906,3.65,8.66E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,1.44E2,0,1.00:0,3.65,,
,0.06,5.01,824.8181,14.96 - 16.85,1,266.3,-,-,0,824.8181,15.11,3.75E2,-,-,0,-,-,0,-,-,0,824.8181,16.72,6.6E2,824.8185,15.03,7.37E2,824.8175,15.84,6.25E2,-,-,0,0:0.60:0:0:0:1.06:1.18:1.00:0,1.72E2,4.54E2,0.38:1.00,15.68,,
,0.06,4.57,836.7130,17.10 - 18.34,1,208.1,836.7146,17.20,4.13E2,836.7120,17.28,4.85E2,-,-,0,-,-,0,-,-,0,-,-,0,836.7136,17.86,5.6E2,836.7117,18.26,4.16E2,-,-,0,0.99:1.17:0:0:0:0:1.35:1.00:0,1.5E2,3.25E2,0.46:1.00,17.65,,
,0.06,3.16,554.7940,11.25 - 12.34,1,166.5,554.7936,11.55,5.48E2,554.7944,12.27,1.72E2,-,-,0,-,-,0,-,-,0,554.7950,11.33,2.49E2,-,-,0,554.7931,12.15,5.29E2,-,-,0,1.04:0.32:0:0:0:0.47:0:1.00:0,1.62E2,1.76E2,0.92:1.00,11.83,,
,0.06,10.83,813.4651,0.20 - 0.59,1,1.1E3,-,-,0,-,-,0,813.4651,0.50,9.97E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.66E3,0,1.00:0,0.50,,
,0.06,10.83,725.6631,0.05 - 0.20,1,94.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,725.6631,0.09,8.49E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.83E2,0:1.00,0.09,,
,0.06,3.40,850.7322,18.94 - 19.83,1,196.4,850.7337,19.60,3.67E2,850.7297,19.78,3.86E2,-,-,0,-,-,0,-,-,0,850.7345,19.53,3.37E2,850.7310,19.01,6.78E2,-,-,0,-,-,0,1.00:1.05:0:0:0:0.92:1.85:0:0,1.82E2,2.26E2,0.80:1.00,19.48,,
,0.06,10.83,633.5920,0.11 - 0.24,1,1.2E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,633.5920,0.18,1.04E5,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.73E4,0,1.00:0,0.18,,
,0.06,10.83,527.3383,3.16 - 3.27,1,102.7,-,-,0,-,-,0,-,-,0,-,-,0,527.3383,3.23,9.24E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.54E2,0,1.00:0,3.23,,
,0.06,4.74,518.8232,3.96 - 5.58,1,117.8,-,-,0,-,-,0,-,-,0,-,-,0,518.8231,4.71,2.69E2,518.8234,4.03,2.21E2,518.8229,5.44,4.08E2,518.8235,4.36,1.63E2,-,-,0,0:0:0:0:1.65:1.35:2.50:1.00:0,8.16E1,1.9E2,0.43:1.00,4.63,,
,0.06,10.73,677.8404,13.63 - 13.73,1,24,677.8404,13.64,2.16E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,3.6E1,0,1.00:0,13.64,,
,0.06,5.84,872.7549,11.08 - 13.10,1,733.4,872.7559,11.93,4.24E3,872.7561,12.97,6.87E2,-,-,0,-,-,0,-,-,0,872.7518,12.25,8.81E2,-,-,0,872.7556,11.38,7.95E2,-,-,0,5.33:0.86:0:0:0:1.11:0:1.00:0,9.68E2,2.65E2,3.65:1.00,12.13,,
,0.06,10.73,348.1217,0.16 - 0.26,1,282.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,348.1217,0.16,2.54E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,8.47E2,0:1.00,0.16,,
,0.06,4.73,552.8694,15.46 - 17.09,1,633.4,-,-,0,-,-,0,-,-,0,552.8706,16.06,5.19E2,-,-,0,552.8706,16.52,2.1E3,552.8695,15.54,9.09E2,552.8669,16.68,2.18E3,-,-,0,0:0:0:0.24:0:0.96:0.42:1.00:0,4.36E2,1.03E3,0.42:1.00,16.20,,
,0.06,10.62,629.3267,0.48 - 0.53,1,92.3,629.3267,0.49,8.3E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.38E2,0,1.00:0,0.49,,
,0.06,10.62,529.4639,10.97 - 11.26,1,133.9,-,-,0,529.4639,11.15,1.21E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.01E2,0,1.00:0,11.15,,
,0.06,3.71,736.7732,14.06 - 16.37,1,286.6,736.7737,14.91,5.65E2,736.7726,14.20,9.54E2,-,-,0,-,-,0,-,-,0,736.7756,16.27,4.03E2,-,-,0,736.7710,15.74,6.57E2,-,-,0,0.86:1.45:0:0:0:0.61:0:1.00:0,3.2E2,2.19E2,1.46:1.00,15.28,,
,0.06,10.71,869.9517,0.11 - 0.19,2,3.8E3,-,-,0,-,-,0,-,-,0,869.9517,0.18,3.4E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,5.67E3,0,1.00:0,0.18,,
,0.06,10.71,681.6329,0.11 - 0.18,1,1.6E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,681.6329,0.16,1.43E4,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.77E3,0:1.00,0.16,,
,0.06,3.44,671.8231,17.36 - 18.80,1,335.7,671.8212,18.18,6.58E2,671.8233,17.56,1.26E3,-,-,0,-,-,0,-,-,0,671.8264,18.67,2.56E2,-,-,0,671.8215,18.77,8.51E2,-,-,0,0.77:1.48:0:0:0:0.30:0:1.00:0,3.62E2,2.84E2,1.27:1.00,18.29,,
,0.06,10.81,813.7361,16.02 - 16.14,1,106.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,813.7361,16.08,9.61E2,0:0:0:0:0:0:0:0:1.00,0,3.2E2,0:1.00,16.08,,
,0.06,6.37,797.7495,10.44 - 13.04,1,136,797.7515,10.51,3.84E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,797.7482,13.00,3.82E2,797.7488,10.89,4.58E2,-,-,0,0.84:0:0:0:0:0:0.83:1.00:0,6.41E1,2.8E2,0.23:1.00,11.47,,
,0.06,10.81,488.8089,0.73 - 0.99,2,141.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,488.8089,0.98,1.28E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.25E2,0:1.00,0.98,,
,0.06,10.81,470.3682,0.26 - 0.70,1,2.2E3,-,-,0,470.3682,0.57,8.28E3,-,-,0,-,-,0,470.3682,0.58,1.19E4,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:1.44:0:0:0:0,3.36E3,0,1.00:0,0.58,,
,0.06,5.10,846.8046,14.53 - 15.76,1,218.9,846.8063,14.73,6.08E2,-,-,0,-,-,0,-,-,0,-,-,0,846.7992,14.56,2.22E2,846.8041,15.30,6.63E2,846.8086,15.73,4.76E2,-,-,0,1.28:0:0:0:0:0.47:1.39:1.00:0,1.38E2,3.8E2,0.36:1.00,15.08,,
,0.06,5.09,796.7308,10.43 - 13.54,1,174.6,796.7303,10.63,2.42E2,796.7308,10.49,4.21E2,-,-,0,-,-,0,-,-,0,-,-,0,796.7303,13.48,6.01E2,796.7316,10.46,3.07E2,-,-,0,0.79:1.37:0:0:0:0:1.96:1.00:0,1.11E2,3.03E2,0.37:1.00,11.27,,
,0.06,4.35,697.7911,14.37 - 15.18,2,117.9,697.7896,15.15,2.73E2,697.7908,14.62,1.96E2,-,-,0,-,-,0,-,-,0,697.7896,14.99,3.8E2,697.7943,14.40,2.12E2,-,-,0,-,-,0,1.00:0.72:0:0:0:1.39:0.78:0:0,1.42E2,7.06E1,2.00:1.00,14.79,,
,0.06,3.23,733.8338,14.14 - 15.13,1,268.2,-,-,0,-,-,0,-,-,0,733.8317,15.03,2.81E2,733.8336,14.16,8.5E2,733.8363,15.09,4.07E2,733.8336,14.81,8.75E2,-,-,0,-,-,0,0:0:0:1.00:3.03:1.45:3.12:0:0,2.56E2,2.92E2,0.88:1.00,14.77,,
,0.06,3.26,664.8302,6.78 - 8.45,1,321.4,664.8312,7.02,5.37E2,664.8272,7.73,8.46E2,-,-,0,-,-,0,-,-,0,664.8290,6.87,6.38E2,-,-,0,664.8336,7.08,8.72E2,-,-,0,0.62:0.97:0:0:0:0.73:0:1.00:0,3.37E2,2.91E2,1.16:1.00,7.17,,
,0.06,5.81,837.7866,9.81 - 10.58,1,163.8,837.7826,9.99,2.81E2,-,-,0,-,-,0,-,-,0,-,-,0,837.7910,10.49,2.42E2,837.7881,10.36,5.88E2,837.7849,9.82,3.64E2,-,-,0,0.77:0:0:0:0:0.67:1.62:1.00:0,8.72E1,3.17E2,0.28:1.00,10.17,,
,0.06,4.22,620.8579,10.01 - 13.91,1,1.7E3,-,-,0,620.8611,10.87,7.03E3,620.8544,10.85,2.71E3,620.8589,10.28,2.44E3,-,-,0,-,-,0,620.8573,13.63,3.24E3,-,-,0,-,-,0,0:1.00:0.39:0.35:0:0:0.46:0:0,2.03E3,1.08E3,1.88:1.00,11.40,,
,0.06,10.55,428.8273,0.14 - 0.20,2,2.8E3,428.8273,0.18,2.49E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,4.16E3,0,1.00:0,0.18,,
,0.06,10.55,674.0251,3.22 - 3.35,1,97.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,674.0251,3.28,8.77E2,0:0:0:0:0:0:0:0:1.00,0,2.92E2,0:1.00,3.28,,
,0.06,5.86,671.7989,9.01 - 10.12,1,179.5,-,-,0,671.8030,10.03,3.83E2,-,-,0,-,-,0,-,-,0,671.7957,9.05,1.79E2,671.7981,9.65,4.78E2,671.7990,9.21,5.75E2,-,-,0,0:0.67:0:0:0:0.31:0.83:1.00:0,9.37E1,3.51E2,0.27:1.00,9.48,,
,0.06,6.52,682.8225,8.89 - 9.80,1,416.1,682.8212,9.28,5.68E2,682.8251,8.97,5.49E2,-,-,0,-,-,0,-,-,0,-,-,0,682.8181,9.43,2.34E3,682.8257,9.10,2.85E2,-,-,0,1.99:1.92:0:0:0:0:8.22:1.00:0,1.86E2,8.76E2,0.21:1.00,9.19,,
,0.06,10.65,620.3672,0.24 - 0.54,1,1.2E3,-,-,0,-,-,0,620.3672,0.33,1.04E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.74E3,0,1.00:0,0.33,,
,0.06,10.65,428.2695,2.84 - 3.12,1,527.4,428.2699,2.93,1.38E3,-,-,0,-,-,0,428.2692,2.95,3.37E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:2.45:0:0:0:0:0,7.91E2,0,1.00:0,2.94,,
,0.06,8.61,814.7895,6.50 - 8.90,1,1.2E3,814.7874,7.23,6.12E3,814.7902,7.05,3.2E3,-,-,0,-,-,0,-,-,0,814.7911,6.84,9.51E2,-,-,0,814.7893,7.22,5.61E2,-,-,0,10.92:5.71:0:0:0:1.70:0:1.00:0,1.71E3,1.87E2,9.16:1.00,7.08,,
