Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,PITPNC1_G00_neg m/z,PITPNC1_G00_neg RT mean,PITPNC1_G00_neg Normalized Area,PITPNC1_G05_neg m/z,PITPNC1_G05_neg RT mean,PITPNC1_G05_neg Normalized Area,PITPNC1_G06_neg m/z,PITPNC1_G06_neg RT mean,PITPNC1_G06_neg Normalized Area,PITPNC1_G07_neg m/z,PITPNC1_G07_neg RT mean,PITPNC1_G07_neg Normalized Area,PITPNC1_G10_neg m/z,PITPNC1_G10_neg RT mean,PITPNC1_G10_neg Normalized Area,PITPNC1_G11_neg m/z,PITPNC1_G11_neg RT mean,PITPNC1_G11_neg Normalized Area,PITPNC1_G12_neg m/z,PITPNC1_G12_neg RT mean,PITPNC1_G12_neg Normalized Area,PITPNC1_G08_neg m/z,PITPNC1_G08_neg RT mean,PITPNC1_G08_neg Normalized Area,PITPNC1_G09_neg m/z,PITPNC1_G09_neg RT mean,PITPNC1_G09_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.08,8.72,586.8093,17.56 - 20.11,1,7.7E3,586.8094,18.42,1.71E4,-,-,0,-,-,0,586.8097,18.21,2.54E4,586.8095,19.43,1.98E4,-,-,0,586.8085,17.80,7.35E3,-,-,0,-,-,0,1.00:0:0:1.48:1.16:0:0.43:0:0,9.95E3,0,1.00:0,18.46,,
,0.08,8.72,643.5547,10.35 - 10.63,1,248,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,643.5547,10.53,2.23E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,3.19E2,0,1.00:0,10.53,,
,0.08,8.72,477.1783,15.20 - 15.41,1,146.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,477.1783,15.32,1.31E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.88E2,0,1.00:0,15.32,,
,0.08,8.72,335.1853,0.31 - 0.84,1,1.7E3,-,-,0,335.1853,0.62,1.5E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.14E3,0,1.00:0,0.62,,
,0.08,3.21,934.7809,17.09 - 17.63,1,1.9E3,934.7818,17.37,3.7E3,-,-,0,-,-,0,-,-,0,934.7837,17.29,6.4E3,934.7784,17.42,2.5E3,-,-,0,-,-,0,934.7797,17.34,4.17E3,1.00:0:0:0:1.73:0.68:0:0:1.13,1.8E3,2.09E3,1.00:1.16,17.35,,
,0.08,8.72,320.1417,0.11 - 0.28,1,396.3,-,-,0,-,-,0,320.1417,0.24,3.57E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,5.1E2,0,1.00:0,0.24,,
,0.08,3.08,770.7229,14.03 - 16.80,1,2.4E3,-,-,0,770.7249,14.78,8.18E2,770.7250,14.09,1.12E4,-,-,0,-,-,0,770.7225,15.34,3.57E3,770.7167,16.72,1.11E3,-,-,0,770.7253,15.26,5.01E3,0:1.00:13.63:0:0:4.36:1.36:0:6.12,2.38E3,2.5E3,1.00:1.05,15.24,,
,0.08,8.68,1271.2002,17.85 - 17.93,1,289,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1271.2002,17.88,2.6E3,0:0:0:0:0:0:0:0:1.00,0,1.3E3,0:1.00,17.88,,
,0.08,8.68,871.4840,9.08 - 9.16,1,136.4,-,-,0,871.4840,9.10,1.23E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.75E2,0,1.00:0,9.10,,
,0.08,8.68,1389.9803,16.58 - 16.65,1,384.7,-,-,0,1389.9803,16.62,3.46E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.95E2,0,1.00:0,16.62,,
,0.08,8.68,383.3520,6.29 - 7.91,1,8.1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,383.3534,6.89,6.5E4,383.3507,6.93,-,-,-,0,0:0:0:0:0:0:1.00:-:0,9.28E3,0,1.00:0,6.91,,
,0.08,8.68,1266.7642,9.02 - 9.15,1,291.6,-,-,0,1266.7642,9.07,2.62E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.75E2,0,1.00:0,9.07,,
,0.08,8.68,806.4081,7.57 - 7.72,1,324.2,-,-,0,806.4081,7.69,2.92E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.17E2,0,1.00:0,7.69,,
,0.08,7.64,789.7899,8.57 - 14.79,1,1.7E4,-,-,0,-,-,0,789.7899,9.79,1.42E5,789.7887,9.43,1.81E3,789.7891,8.96,5.01E3,-,-,0,789.7916,9.23,3.73E3,-,-,0,789.7903,9.31,4.02E3,0:0:1.00:0.01:0.04:0:0.03:0:0.03,2.18E4,2.01E3,1.00:0.09,9.34,,
,0.08,8.68,671.4656,17.51 - 17.66,3,136.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,671.4648,17.56,6.63E2,671.4663,17.62,5.62E2,0:0:0:0:0:0:0:1.00:0.85,0,6.13E2,0:1.00,17.59,,
,0.08,8.68,797.3806,13.21 - 13.46,1,401.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,797.3806,13.37,3.61E3,0:0:0:0:0:0:0:0:1.00,0,1.81E3,0:1.00,13.37,,
,0.08,8.68,886.0522,5.70 - 5.85,1,433.6,-,-,0,-,-,0,886.0516,5.77,3.35E3,886.0527,5.79,5.49E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0.16:0:0:0:0:0,5.58E2,0,1.00:0,5.78,,
,0.08,8.68,512.7572,20.39 - 20.57,1,90.8,512.7570,20.56,1.47E2,-,-,0,512.7592,20.49,2.25E2,512.7571,20.49,1.39E2,512.7555,20.45,3.06E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:1.53:0.95:2.09:0:0:0:0,1.17E2,0,1.00:0,20.50,,
,0.08,8.68,563.3206,0.29 - 0.50,1,2.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,563.3206,0.39,2.45E4,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,3.51E3,0,1.00:0,0.39,,
,0.08,8.68,1451.9850,16.66 - 16.74,1,419,-,-,0,1451.9850,16.70,3.77E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5.39E2,0,1.00:0,16.70,,
,0.08,8.68,1124.4460,8.87 - 9.10,1,929.8,-,-,0,1124.4460,8.95,8.37E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.2E3,0,1.00:0,8.95,,
,0.08,3.77,499.3055,3.34 - 3.91,1,882.5,499.3051,3.87,1.21E3,-,-,0,-,-,0,499.3065,3.54,1.33E3,-,-,0,-,-,0,499.3055,3.85,2.83E3,499.3050,3.86,2.57E3,-,-,0,1.00:0:0:1.10:0:0:2.34:2.12:0,7.68E2,1.28E3,1.00:1.67,3.78,,
,0.08,8.68,678.1511,3.98 - 4.61,1,613.1,-,-,0,-,-,0,678.1499,4.56,1.93E2,-,-,0,-,-,0,-,-,0,-,-,0,678.1523,4.19,5.32E3,-,-,0,0:0:1.00:0:0:0:0:27.54:0,2.76E1,2.66E3,1.00:96.40,4.38,,
,0.08,8.64,587.5089,10.04 - 10.50,1,304,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,587.5089,10.39,2.74E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,3.91E2,0,1.00:0,10.39,,
,0.08,8.64,609.3917,3.95 - 4.32,1,186.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,609.3917,4.26,1.68E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,8.39E2,0:1.00,4.26,,
,0.08,8.64,1345.9148,15.77 - 15.86,1,295,-,-,0,1345.9148,15.82,2.65E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.79E2,0,1.00:0,15.82,,
,0.08,8.64,992.9210,17.44 - 17.53,1,286.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,992.9210,17.48,2.58E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,3.69E2,0,1.00:0,17.48,,
,0.08,8.64,475.1812,15.35 - 15.55,1,136.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,475.1812,15.46,1.23E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.75E2,0,1.00:0,15.46,,
,0.08,5.05,800.4131,6.83 - 7.31,1,293.7,-,-,0,-,-,0,-,-,0,-,-,0,800.4132,7.20,1.33E3,-,-,0,-,-,0,800.4130,6.96,1.31E3,-,-,0,0:0:0:0:1.00:0:0:0.99:0,1.9E2,6.57E2,1.00:3.46,7.08,,
,0.08,8.64,510.8063,5.27 - 5.68,1,261.7,510.8062,5.57,6.68E2,-,-,0,510.8062,5.38,5.98E2,-,-,0,510.8056,5.41,3.8E2,-,-,0,510.8072,5.59,7.1E2,-,-,0,-,-,0,1.00:0:0.89:0:0.57:0:1.06:0:0,3.37E2,0,1.00:0,5.49,,
,0.08,8.64,513.2082,4.47 - 4.55,1,99.7,-,-,0,513.2082,4.51,8.98E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.28E2,0,1.00:0,4.51,,
,0.08,8.64,743.7981,4.86 - 5.66,1,118.7,743.7970,5.58,7.38E2,-,-,0,-,-,0,-,-,0,-,-,0,743.7993,4.89,3.31E2,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0.45:0:0:0,1.53E2,0,1.00:0,5.24,,
,0.08,8.64,713.1454,7.33 - 7.62,1,219.2,-,-,0,-,-,0,713.1454,7.46,1.97E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2.82E2,0,1.00:0,7.46,,
,0.08,5.52,296.1938,2.88 - 6.68,1,3.4E3,-,-,0,296.1935,3.66,1.06E4,-,-,0,296.1937,3.59,2.89E3,-,-,0,-,-,0,-,-,0,296.1939,4.49,5.01E3,296.1943,4.09,1.18E4,0:1.00:0:0.27:0:0:0:0.47:1.11,1.93E3,8.41E3,1.00:4.36,3.96,,
,0.08,8.60,556.8144,1.92 - 2.29,1,272.5,-,-,0,556.8154,2.22,1.1E3,-,-,0,556.8138,2.06,8.36E2,556.8139,2.07,5.12E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.76:0.46:0:0:0:0,3.5E2,0,1.00:0,2.12,,
,0.08,4.49,633.8925,2.50 - 2.55,1,60.6,-,-,0,-,-,0,633.8912,2.53,3.14E2,-,-,0,-,-,0,-,-,0,-,-,0,633.8939,2.53,2.31E2,-,-,0,0:0:1.00:0:0:0:0:0.74:0,4.49E1,1.16E2,1.00:2.58,2.53,,
,0.08,8.64,766.5714,9.43 - 9.71,1,242.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,766.5714,9.56,2.19E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,3.12E2,0,1.00:0,9.56,,
,0.08,8.64,545.4637,7.94 - 8.21,1,151.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,545.4637,8.05,1.37E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.95E2,0,1.00:0,8.05,,
,0.08,3.35,682.4794,3.66 - 3.91,3,378.7,-,-,0,682.4789,3.87,2.78E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,682.4799,3.80,6.24E2,0:1.00:0:0:0:0:0:0:0.22,3.98E2,3.12E2,1.00:0.78,3.83,,
,0.08,4.06,722.7850,13.83 - 20.19,1,2.4E4,722.7852,15.70,6.39E4,-,-,0,-,-,0,-,-,0,-,-,0,722.7864,14.05,3.6E4,722.7844,14.79,3.66E4,-,-,0,722.7842,15.98,7.78E4,1.00:0:0:0:0:0.56:0.57:0:1.22,1.95E4,3.89E4,1.00:2.00,15.13,,
,0.08,8.64,695.3243,2.55 - 2.98,1,808.3,-,-,0,-,-,0,-,-,0,-,-,0,695.3243,2.83,7.27E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,1.04E3,0,1.00:0,2.83,,
,0.08,8.64,479.4821,14.79 - 14.93,1,128.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,479.4821,14.82,1.15E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,1.65E2,0,1.00:0,14.82,,
,0.08,8.64,617.4816,3.58 - 3.69,1,375.7,-,-,0,617.4816,3.66,3.38E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,4.83E2,0,1.00:0,3.66,,
,0.08,8.64,477.1808,15.40 - 15.59,1,195.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,477.1808,15.45,1.76E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,2.52E2,0,1.00:0,15.45,,
,0.08,8.64,497.2016,0.58 - 0.80,1,470.7,-,-,0,-,-,0,-,-,0,-,-,0,497.2016,0.61,4.24E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,6.05E2,0,1.00:0,0.61,,
,0.08,5.11,520.8355,10.59 - 11.83,1,623,-,-,0,520.8354,10.78,2.27E3,-,-,0,520.8352,11.32,2.14E3,520.8361,10.65,2E2,-,-,0,520.8348,11.60,5.85E2,520.8360,11.80,4.17E2,-,-,0,0:1.00:0:0.94:0.09:0:0.26:0.18:0,7.41E2,2.08E2,1.00:0.28,11.23,,
,0.08,8.65,543.8564,13.24 - 14.21,1,407.2,-,-,0,-,-,0,543.8571,13.30,5.39E2,-,-,0,543.8557,14.04,9.61E2,543.8563,13.89,9.73E2,543.8564,13.94,1.19E3,-,-,0,-,-,0,0:0:1.00:0:1.78:1.81:2.21:0:0,5.24E2,0,1.00:0,13.79,,
,0.08,8.65,647.4272,0.92 - 1.08,1,118.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,647.4272,1.04,1.07E3,0:0:0:0:0:0:0:0:1.00,0,5.33E2,0:1.00,1.04,,
,0.08,8.65,1442.0007,16.59 - 16.68,1,397.5,-,-,0,1442.0007,16.63,3.58E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5.11E2,0,1.00:0,16.63,,
,0.08,8.65,957.7880,14.47 - 14.58,1,163.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,957.7880,14.53,1.47E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,2.1E2,0,1.00:0,14.53,,
,0.08,3.84,590.8231,8.66 - 11.70,1,815.3,590.8240,9.37,2.56E3,590.8230,10.37,2.89E3,-,-,0,-,-,0,-,-,0,-,-,0,590.8233,9.44,8.54E2,-,-,0,590.8221,11.52,1.03E3,0.89:1.00:0:0:0:0:0.30:0:0.36,9.01E2,5.16E2,1.00:0.57,10.17,,
,0.08,4.59,396.8361,7.98 - 8.92,1,695.6,-,-,0,396.8360,8.76,1.93E3,-,-,0,396.8356,8.17,1.61E3,-,-,0,-,-,0,-,-,0,396.8361,8.17,6.72E2,396.8368,8.06,2.05E3,0:1.00:0:0.83:0:0:0:0.35:1.06,5.05E2,1.36E3,1.00:2.69,8.29,,
,0.08,8.65,739.8056,19.40 - 20.12,1,1.7E3,-,-,0,739.8060,20.00,2.52E3,739.8078,19.60,3.59E3,739.8053,19.55,5.54E3,739.8036,19.92,3.28E3,739.8054,19.64,3.51E2,-,-,0,-,-,0,-,-,0,0:1.00:1.42:2.19:1.30:0.14:0:0:0,2.18E3,0,1.00:0,19.74,,
,0.08,8.65,420.1537,4.01 - 4.28,1,103.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,420.1537,4.19,9.28E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.64E2,0:1.00,4.19,,
,0.08,8.65,674.8041,12.88 - 14.82,1,1.8E3,674.8041,14.11,2.76E3,674.8031,13.14,1.43E3,-,-,0,674.8022,13.34,4.48E3,-,-,0,-,-,0,674.8071,13.23,7.69E3,-,-,0,-,-,0,1.94:1.00:0:3.14:0:0:5.39:0:0,2.34E3,0,1.00:0,13.45,,
,0.08,8.65,880.4097,6.44 - 6.61,1,309.7,-,-,0,880.4097,6.55,2.79E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.98E2,0,1.00:0,6.55,,
,0.08,3.84,528.8503,7.59 - 9.84,1,934.1,-,-,0,528.8507,8.35,1.41E3,528.8499,8.37,2.17E3,528.8505,9.07,2.22E2,528.8514,8.88,3.42E3,-,-,0,-,-,0,-,-,0,528.8489,7.69,1.18E3,0:1.00:1.54:0.16:2.42:0:0:0:0.84,1.03E3,5.9E2,1.00:0.57,8.47,,
,0.08,8.65,714.4996,16.67 - 16.74,2,300,-,-,0,714.4996,16.70,2.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.86E2,0,1.00:0,16.70,,
,0.08,3.78,382.8479,18.17 - 19.56,1,1.5E3,-,-,0,-,-,0,382.8478,18.74,2.09E3,382.8477,18.47,5.88E3,-,-,0,-,-,0,382.8481,19.50,1.14E3,382.8481,18.77,4.37E3,-,-,0,0:0:1.00:2.81:0:0:0.54:2.09:0,1.3E3,2.19E3,1.00:1.68,18.87,,
,0.08,8.65,533.3099,0.25 - 0.58,1,3.5E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,533.3099,0.50,3.19E4,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,4.55E3,0,1.00:0,0.50,,
,0.08,8.65,859.4478,7.26 - 7.47,1,269.2,-,-,0,859.4478,7.35,2.42E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,3.46E2,0,1.00:0,7.35,,
,0.08,3.13,464.8234,5.35 - 6.53,1,696.9,-,-,0,-,-,0,464.8230,5.76,1.43E3,464.8238,5.46,6.33E2,-,-,0,-,-,0,464.8241,5.73,2.9E3,-,-,0,464.8227,5.55,1.3E3,0:0:1.00:0.44:0:0:2.02:0:0.91,7.1E2,6.5E2,1.00:0.92,5.63,,
,0.08,8.65,651.5686,8.74 - 8.94,1,175.4,651.5686,8.83,1.58E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.26E2,0,1.00:0,8.83,,
,0.08,3.64,472.1232,3.03 - 3.83,1,406.9,472.1232,3.22,9.21E2,-,-,0,472.1230,3.15,9.26E2,472.1230,3.14,6.95E2,-,-,0,-,-,0,-,-,0,-,-,0,472.1236,3.46,1.12E3,1.00:0:1.01:0.75:0:0:0:0:1.22,3.63E2,5.6E2,1.00:1.54,3.24,,
,0.08,8.65,757.5797,14.17 - 14.34,1,229.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,757.5797,14.29,2.07E3,0:0:0:0:0:0:0:0:1.00,0,1.03E3,0:1.00,14.29,,
,0.08,4.43,390.8906,2.61 - 9.53,1,5.8E4,-,-,0,390.8902,5.99,1.66E5,-,-,0,390.8907,5.21,1.42E5,-,-,0,-,-,0,-,-,0,390.8907,5.18,9.22E4,390.8907,5.19,1.26E5,0:1.00:0:0.86:0:0:0:0.56:0.76,4.4E4,1.09E5,1.00:2.48,5.39,,
,0.08,8.65,897.4465,6.68 - 6.80,1,210.5,-,-,0,897.4465,6.71,1.89E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.71E2,0,1.00:0,6.71,,
,0.08,3.34,536.1346,4.17 - 4.97,1,1E3,-,-,0,536.1351,4.23,5E3,-,-,0,-,-,0,-,-,0,536.1340,4.26,1.88E3,-,-,0,-,-,0,536.1347,4.23,2.48E3,0:1.00:0:0:0:0.38:0:0:0.50,9.82E2,1.24E3,1.00:1.26,4.24,,
,0.08,8.65,622.5344,10.99 - 11.28,1,254.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,622.5344,11.16,2.29E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,3.27E2,0,1.00:0,11.16,,
,0.08,3.28,768.7868,19.92 - 20.16,1,939.4,-,-,0,-,-,0,768.7848,20.04,2.11E3,768.7861,20.02,1.67E3,768.7866,20.01,2.5E3,-,-,0,-,-,0,768.7898,20.01,2.18E3,-,-,0,0:0:1.00:0.79:1.19:0:0:1.03:0,8.97E2,1.09E3,1.00:1.22,20.02,,
,0.08,8.61,769.2405,1.81 - 1.96,1,116.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,769.2405,1.89,1.04E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,1.49E2,0,1.00:0,1.89,,
,0.08,8.61,365.1763,0.39 - 0.62,1,1.5E3,365.1763,0.51,1.38E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.97E3,0,1.00:0,0.51,,
,0.08,3.95,748.8346,19.68 - 20.22,1,3.6E3,-,-,0,748.8320,20.15,1.11E4,-,-,0,-,-,0,-,-,0,748.8347,20.15,1E4,-,-,0,748.8354,20.14,5.82E3,748.8362,19.80,5.49E3,0:1.00:0:0:0:0.91:0:0.53:0.50,3.02E3,5.66E3,1.00:1.87,20.06,,
,0.08,3.56,712.7548,18.40 - 20.10,1,5.8E3,712.7550,19.55,9.13E3,-,-,0,-,-,0,712.7521,18.73,1.42E4,-,-,0,-,-,0,712.7566,19.37,1.34E4,712.7554,19.35,1.54E4,-,-,0,1.00:0:0:1.56:0:0:1.47:1.69:0,5.26E3,7.7E3,1.00:1.46,19.25,,
,0.08,8.61,732.6274,14.03 - 14.28,1,276.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,732.6274,14.16,2.49E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,3.56E2,0,1.00:0,14.16,,
,0.08,8.61,475.1793,14.55 - 15.18,1,209.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,475.1793,14.93,1.89E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,2.69E2,0,1.00:0,14.93,,
,0.08,8.61,868.7340,8.21 - 8.79,1,83.3,-,-,0,868.7408,8.76,2.78E2,-,-,0,-,-,0,868.7271,8.24,4.71E2,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:1.69:0:0:0:0,1.07E2,0,1.00:0,8.50,,
,0.08,8.61,705.6752,16.42 - 16.51,1,123,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,705.6752,16.45,1.11E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,1.58E2,0,1.00:0,16.45,,
,0.08,8.61,709.4569,8.07 - 8.51,1,624.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,709.4569,8.32,5.62E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,2.81E3,0:1.00,8.32,,
,0.08,6.44,714.7773,9.22 - 11.64,1,2E3,-,-,0,-,-,0,-,-,0,714.7764,9.29,1.12E3,714.7795,9.75,1.57E3,714.7755,9.49,3.36E3,-,-,0,-,-,0,714.7777,9.54,1.16E4,0:0:0:1.00:1.40:2.99:0:0:10.34,8.65E2,5.81E3,1.00:6.71,9.51,,
,0.08,8.61,1397.8597,7.04 - 7.14,1,327.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1397.8597,7.10,2.95E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,1.47E3,0:1.00,7.10,,
,0.08,8.61,1077.0120,18.06 - 18.13,1,208.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1077.0120,18.09,1.88E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,2.68E2,0,1.00:0,18.09,,
,0.08,8.61,345.0312,0.43 - 0.78,1,1.4E3,-,-,0,345.0310,0.71,8.64E3,345.0314,0.70,3.93E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0.46:0:0:0:0:0:0,1.8E3,0,1.00:0,0.71,,
,0.08,3.15,845.8033,19.47 - 19.96,1,1.8E3,-,-,0,-,-,0,845.8041,19.84,3.14E3,845.8039,19.70,1.72E3,-,-,0,845.8025,19.80,8.11E3,-,-,0,-,-,0,845.8026,19.76,3.34E3,0:0:1.00:0.55:0:2.58:0:0:1.06,1.85E3,1.67E3,1.00:0.90,19.78,,
,0.08,8.65,758.4513,7.25 - 7.43,1,209.1,-,-,0,758.4513,7.34,1.88E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.69E2,0,1.00:0,7.34,,
,0.08,8.65,663.4877,13.81 - 14.53,1,315.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,663.4877,14.00,2.84E3,0:0:0:0:0:0:0:0:1.00,0,1.42E3,0:1.00,14.00,,
,0.08,5.56,824.8161,9.46 - 12.50,1,449.1,824.8173,9.82,5.2E2,-,-,0,824.8177,10.34,4.08E2,-,-,0,-,-,0,824.8124,9.61,8.56E2,-,-,0,-,-,0,824.8171,12.04,2.26E3,1.00:0:0.78:0:0:1.65:0:0:4.34,2.55E2,1.13E3,1.00:4.43,10.45,,
,0.08,8.65,654.8075,12.32 - 13.79,1,1.1E3,654.8075,13.61,1.48E3,-,-,0,-,-,0,654.8070,12.72,1.62E3,654.8064,12.94,1.92E3,-,-,0,654.8091,12.60,5E3,-,-,0,-,-,0,1.00:0:0:1.10:1.29:0:3.38:0:0,1.43E3,0,1.00:0,12.97,,
,0.08,5.35,438.8209,17.08 - 17.43,1,311.5,-,-,0,438.8209,17.30,6.89E2,-,-,0,-,-,0,-,-,0,-,-,0,438.8210,17.36,6.18E2,438.8210,17.37,4.11E2,438.8205,17.15,1.09E3,0:1.00:0:0:0:0:0.90:0.60:1.58,1.87E2,7.48E2,1.00:4.01,17.30,,
,0.08,3.51,526.3528,3.03 - 3.38,2,1.5E3,-,-,0,526.3527,3.13,3.31E3,-,-,0,-,-,0,-,-,0,-,-,0,526.3533,3.13,6.07E3,526.3524,3.13,9.34E2,526.3527,3.18,2.87E3,0:1.00:0:0:0:0:1.83:0.28:0.87,1.34E3,1.9E3,1.00:1.42,3.14,,
