Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,CLVS2_C00_neg m/z,CLVS2_C00_neg RT mean,CLVS2_C00_neg Normalized Area,CLVS2_C04_neg m/z,CLVS2_C04_neg RT mean,CLVS2_C04_neg Normalized Area,CLVS2_C05_neg m/z,CLVS2_C05_neg RT mean,CLVS2_C05_neg Normalized Area,CLVS2_C06_neg m/z,CLVS2_C06_neg RT mean,CLVS2_C06_neg Normalized Area,CLVS2_C07_neg m/z,CLVS2_C07_neg RT mean,CLVS2_C07_neg Normalized Area,CLVS2_C08_neg m/z,CLVS2_C08_neg RT mean,CLVS2_C08_neg Normalized Area,CLVS2_C09_neg m/z,CLVS2_C09_neg RT mean,CLVS2_C09_neg Normalized Area,CLVS2_C10_neg m/z,CLVS2_C10_neg RT mean,CLVS2_C10_neg Normalized Area,CLVS2_C11_neg m/z,CLVS2_C11_neg RT mean,CLVS2_C11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.04,8.43,861.4100,6.51 - 6.70,1,127.9,-,-,0,861.4100,6.56,1.15E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,2.3E2,0,1.00:0,6.56,,
,0.04,8.43,758.7492,14.83 - 14.88,1,27.2,-,-,0,-,-,0,758.7492,14.85,2.45E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,4.89E1,0,1.00:0,14.85,,
,0.04,8.42,608.8133,11.61 - 13.86,1,1.7E3,608.8129,12.12,5.04E3,-,-,0,-,-,0,608.8152,12.65,4.8E3,608.8118,12.60,5.22E3,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0.95:1.04:0:0:0:0,3.01E3,0,1.00:0,12.45,,
,0.04,8.38,498.8577,19.30 - 19.38,1,38.6,-,-,0,498.8577,19.37,3.48E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,6.95E1,0,1.00:0,19.37,,
,0.04,8.38,262.8557,1.19 - 1.28,1,33.2,-,-,0,-,-,0,262.8557,1.22,1.7E2,-,-,0,262.8557,1.24,1.29E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0.76:0:0:0:0,5.97E1,0,1.00:0,1.23,,
,0.04,8.38,1310.2122,20.14 - 20.22,2,296.1,-,-,0,-,-,0,-,-,0,-,-,0,1310.2122,20.17,2.67E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,5.33E2,0,1.00:0,20.17,,
,0.04,5.21,1078.7751,20.11 - 20.23,1,551.6,-,-,0,1078.7693,20.17,1.2E3,-,-,0,-,-,0,-,-,0,1078.7773,20.18,2.33E3,-,-,0,1078.7788,20.17,1.43E3,-,-,0,0:1.00:0:0:0:1.95:0:1.20:0,2.4E2,9.42E2,1.00:3.93,20.18,,
,0.04,8.38,837.7921,13.93 - 13.99,1,57.3,-,-,0,-,-,0,837.7921,13.96,5.16E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,1.03E2,0,1.00:0,13.96,,
,0.04,8.38,514.3031,3.38 - 3.87,1,439.1,-,-,0,514.3031,3.56,3.95E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,7.9E2,0,1.00:0,3.56,,
,0.04,3.37,642.7743,3.07 - 3.42,1,167.6,642.7745,3.22,9.35E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,642.7742,3.36,5.74E2,-,-,0,-,-,0,1.00:0:0:0:0:0:0.61:0:0,1.87E2,1.44E2,1.00:0.77,3.29,,
,0.04,8.38,544.8362,16.36 - 16.42,1,27.6,-,-,0,-,-,0,-,-,0,544.8362,16.40,2.49E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,4.97E1,0,1.00:0,16.40,,
,0.04,8.38,468.8356,9.55 - 9.68,1,32.5,-,-,0,-,-,0,-,-,0,468.8356,9.60,2.92E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,5.84E1,0,1.00:0,9.60,,
,0.04,8.34,772.7358,5.26 - 5.32,1,33.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,772.7358,5.27,3.01E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,7.53E1,0:1.00,5.27,,
,0.04,8.34,470.7802,3.78 - 3.87,2,41.7,-,-,0,470.7802,3.85,3.75E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,7.5E1,0,1.00:0,3.85,,
,0.04,8.34,796.7300,12.75 - 12.80,1,30.2,-,-,0,-,-,0,-,-,0,796.7300,12.76,2.72E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,5.43E1,0,1.00:0,12.76,,
,0.04,8.34,556.8137,10.76 - 10.83,1,26.3,-,-,0,-,-,0,-,-,0,556.8137,10.76,2.37E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,4.74E1,0,1.00:0,10.76,,
,0.04,8.34,745.8249,13.84 - 13.89,2,23.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,745.8249,13.86,2.14E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,5.36E1,0:1.00,13.86,,
,0.04,8.34,263.8754,8.26 - 8.31,1,12.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,263.8754,8.30,1.1E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,2.75E1,0:1.00,8.30,,
,0.04,3.33,992.7453,9.77 - 10.34,1,92.2,-,-,0,-,-,0,-,-,0,992.7416,10.31,4.12E2,-,-,0,-,-,0,992.7491,9.81,4.18E2,-,-,0,-,-,0,0:0:0:1.00:0:0:1.01:0:0,8.24E1,1.04E2,1.00:1.27,10.06,,
,0.04,3.88,1241.7345,20.09 - 20.24,1,930.5,1241.7245,20.22,1.47E3,1241.7308,20.13,4.36E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1241.7480,20.17,2.54E3,-,-,0,1.00:2.97:0:0:0:0:0:1.73:0,1.17E3,6.36E2,1.00:0.55,20.17,,
,0.04,3.23,593.7813,7.22 - 7.54,1,37.3,593.7791,7.25,1.72E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,593.7834,7.50,1.63E2,-,-,0,1.00:0:0:0:0:0:0:0.95:0,3.45E1,4.08E1,1.00:1.19,7.38,,
,0.04,8.34,535.8240,3.25 - 3.30,1,21.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,535.8240,3.28,1.92E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.81E1,0:1.00,3.28,,
,0.04,3.36,721.8599,20.15 - 20.27,1,354.8,721.8604,20.23,8.54E2,-,-,0,721.8593,20.22,7.16E2,-,-,0,-,-,0,-,-,0,-,-,0,721.8602,20.21,1.62E3,-,-,0,1.19:0:1.00:0:0:0:0:2.27:0,3.14E2,4.06E2,1.00:1.29,20.22,,
,0.04,3.51,1402.7010,20.13 - 20.22,1,650.8,-,-,0,1402.6970,20.16,3.77E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1402.7051,20.20,2.09E3,0:1.00:0:0:0:0:0:0:0.56,7.53E2,5.23E2,1.00:0.69,20.18,,
,0.04,8.38,690.3510,16.78 - 16.84,2,43,-,-,0,-,-,0,-,-,0,690.3510,16.81,3.87E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.73E1,0,1.00:0,16.81,,
,0.04,5.17,681.8223,4.63 - 6.58,1,240.7,-,-,0,-,-,0,681.8260,6.11,1.2E2,-,-,0,681.8206,4.67,4.12E2,681.8217,5.43,3.45E2,-,-,0,-,-,0,681.8209,6.39,1.29E3,0:0:1.00:0:3.44:2.88:0:0:10.77,1.06E2,4.09E2,1.00:3.84,5.65,,
,0.04,8.38,1007.4234,6.63 - 6.74,1,125.8,-,-,0,-,-,0,1007.4234,6.69,1.13E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2.26E2,0,1.00:0,6.69,,
,0.04,8.38,411.8806,20.48 - 21.62,1,767.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,411.8801,21.48,6.68E3,-,-,0,-,-,0,411.8812,20.57,2.3E2,0:0:0:0:0:1.00:0:0:0.03,0,1.73E3,0:1.00,21.03,,
,0.04,8.38,672.8817,9.22 - 9.33,2,44.2,-,-,0,-,-,0,-,-,0,672.8817,9.32,3.98E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0:0,7.95E1,0,1.00:0,9.32,,
,0.04,8.38,510.8205,11.11 - 12.06,1,93.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,510.8211,12.01,2.76E2,510.8199,11.11,5.63E2,-,-,0,0:0:0:0:0:0:1.00:2.04:0,0,2.1E2,0:1.00,11.56,,
,0.04,8.38,513.3780,4.24 - 4.41,1,90.1,513.3780,4.27,8.11E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,1.62E2,0,1.00:0,4.27,,
,0.04,8.38,572.7802,0.00 - 0.08,1,55.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,572.7802,0.04,2.85E2,572.7803,0.04,2.16E2,0:0:0:0:0:0:0:1.00:0.76,0,1.25E2,0:1.00,0.04,,
,0.04,8.38,318.1332,0.56 - 0.65,1,226.5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,318.1332,0.59,2.04E3,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,5.1E2,0:1.00,0.59,,
,0.04,8.38,741.7186,21.62 - 21.69,1,20.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,741.7186,21.68,1.83E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,4.58E1,0:1.00,21.68,,
,0.04,3.74,275.0162,11.14 - 13.15,1,667.1,-,-,0,-,-,0,-,-,0,275.0160,12.81,1.99E3,275.0161,11.17,-,-,-,0,275.0165,12.45,1.86E3,275.0161,12.81,1.49E3,-,-,0,0:0:0:1.00:-:0:0.93:0.75:0,4.98E2,8.36E2,1.00:1.68,12.31,,
,0.04,6.22,788.7739,18.43 - 20.33,1,1.2E4,-,-,0,-,-,0,788.7745,18.49,1.81E4,-,-,0,-,-,0,788.7732,18.94,2.22E4,-,-,0,788.7741,18.64,7.15E4,-,-,0,0:0:1.00:0:0:1.22:0:3.94:0,3.63E3,2.34E4,1.00:6.45,18.69,,
,0.04,4.83,663.7681,6.84 - 6.97,1,66.4,663.7635,6.87,1.67E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,663.7727,6.96,4.31E2,1.00:0:0:0:0:0:0:0:2.58,3.33E1,1.08E2,1.00:3.23,6.91,,
,0.04,8.34,416.8000,4.14 - 4.39,3,39.4,416.8003,4.17,1.97E2,-,-,0,416.7998,4.38,1.58E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.25:0:1.00:0:0:0:0:0:0,7.1E1,0,1.00:0,4.28,,
,0.04,8.34,485.8858,6.52 - 7.53,1,1.2E3,-,-,0,485.8859,6.86,3.75E3,485.8855,7.03,5.21E3,485.8859,7.01,1.47E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0.72:1.00:0.28:0:0:0:0:0,2.08E3,0,1.00:0,6.97,,
,0.04,8.34,917.6814,20.27 - 20.34,1,51.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,917.6814,20.32,4.63E2,0:0:0:0:0:0:0:0:1.00,0,1.16E2,0:1.00,20.32,,
,0.04,3.02,1114.7724,20.12 - 20.23,1,985.9,-,-,0,-,-,0,-,-,0,1114.7717,20.19,2.22E3,1114.7714,20.19,2.69E3,-,-,0,-,-,0,1114.7742,20.17,3.97E3,-,-,0,0:0:0:1.00:1.21:0:0:1.79:0,9.81E2,9.91E2,1.00:1.01,20.19,,
,0.04,3.54,474.8533,16.16 - 16.81,1,489.1,-,-,0,474.8531,16.37,2.02E3,-,-,0,-,-,0,-,-,0,474.8536,16.70,1.2E3,-,-,0,-,-,0,474.8531,16.62,1.18E3,0:1.00:0:0:0:0.59:0:0:0.58,4.05E2,5.95E2,1.00:1.47,16.57,,
,0.04,8.34,398.2323,1.93 - 2.00,1,19.9,-,-,0,-,-,0,-,-,0,-,-,0,398.2323,1.98,1.79E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,3.58E1,0,1.00:0,1.98,,
,0.04,8.34,876.7648,13.11 - 13.17,1,29.4,-,-,0,-,-,0,876.7648,13.14,2.65E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,5.29E1,0,1.00:0,13.14,,
,0.04,8.34,789.7886,9.71 - 18.49,1,1.6E3,789.7888,13.73,6.95E3,-,-,0,789.7876,12.93,4.16E3,-,-,0,789.7886,13.91,1.88E3,-,-,0,-,-,0,-,-,0,789.7893,13.49,-,1.67:0:1.00:0:0.45:0:0:0:-,2.6E3,0,1.00:0,13.52,,
,0.04,5.43,536.8212,7.93 - 9.02,1,86.6,-,-,0,-,-,0,536.8193,7.94,1.72E2,-,-,0,-,-,0,-,-,0,-,-,0,536.8205,8.91,3E2,536.8239,8.43,3.08E2,0:0:1.00:0:0:0:0:1.75:1.80,3.43E1,1.52E2,1.00:4.43,8.43,,
,0.04,8.34,660.8394,15.25 - 15.36,1,29.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,660.8394,15.30,2.69E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,6.73E1,0:1.00,15.30,,
,0.04,6.22,474.8523,15.52 - 16.81,1,1.1E3,-,-,0,474.8522,15.68,1.55E3,-,-,0,-,-,0,-,-,0,474.8524,16.16,6.04E3,-,-,0,-,-,0,474.8523,16.08,2.04E3,0:1.00:0:0:0:3.90:0:0:1.31,3.1E2,2.02E3,1.00:6.51,15.97,,
,0.04,8.34,523.8494,11.16 - 11.41,1,44.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,523.8486,11.20,2.34E2,523.8502,11.38,1.68E2,-,-,0,0:0:0:0:0:0:1.00:0.72:0,0,1E2,0:1.00,11.29,,
,0.04,8.34,720.7959,5.40 - 6.54,1,1.2E3,-,-,0,720.7945,5.81,1.64E3,720.7967,6.12,3.13E3,720.7965,5.74,6.04E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0.52:1.00:1.93:0:0:0:0:0,2.16E3,0,1.00:0,5.89,,
,0.04,8.30,302.8460,6.04 - 7.18,1,425,-,-,0,302.8458,6.23,1.69E3,302.8460,6.50,4.58E2,302.8460,6.50,1.68E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:3.68:1.00:3.67:0:0:0:0:0,7.65E2,0,1.00:0,6.41,,
,0.04,3.44,687.7773,20.32 - 20.46,1,62.6,-,-,0,-,-,0,-,-,0,687.7783,20.38,2.69E2,-,-,0,-,-,0,-,-,0,-,-,0,687.7764,20.33,2.94E2,0:0:0:1.00:0:0:0:0:1.10,5.37E1,7.36E1,1.00:1.37,20.35,,
,0.04,8.30,371.3162,2.41 - 2.70,1,187.8,371.3162,2.64,1.69E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,3.38E2,0,1.00:0,2.64,,
,0.04,8.30,867.8062,11.11 - 12.31,1,630.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,867.8068,11.47,1.79E3,-,-,0,867.8059,11.32,1.09E3,867.8059,11.98,2.8E3,0:0:0:0:0:1.00:0:0.61:1.57,0,1.42E3,0:1.00,11.59,,
,0.04,8.30,873.7579,8.75 - 8.81,1,23.6,873.7579,8.77,2.12E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,4.24E1,0,1.00:0,8.77,,
,0.04,8.30,1025.2505,9.32 - 9.61,1,402.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1025.2505,9.43,3.62E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,9.05E2,0:1.00,9.43,,
,0.04,5.07,657.1568,3.82 - 4.11,3,2.2E3,-,-,0,-,-,0,-,-,0,-,-,0,657.1576,3.93,5.1E3,-,-,0,-,-,0,657.1562,3.92,5.93E3,657.1566,3.92,9.17E3,0:0:0:0:1.00:0:0:1.16:1.80,1.02E3,3.78E3,1.00:3.70,3.92,,
,0.04,8.30,593.7815,9.40 - 9.89,1,81.2,593.7820,9.48,2.33E2,-,-,0,593.7814,9.47,2.33E2,-,-,0,593.7812,9.84,2.65E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:1.00:0:1.14:0:0:0:0,1.46E2,0,1.00:0,9.60,,
,0.04,8.30,1187.2513,20.16 - 20.25,2,98.6,-,-,0,1187.2513,20.19,8.88E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,1.78E2,0,1.00:0,20.19,,
,0.04,8.30,603.8087,13.43 - 13.67,1,67.3,-,-,0,-,-,0,603.8104,13.47,3.48E2,-,-,0,603.8070,13.64,2.57E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0.74:0:0:0:0,1.21E2,0,1.00:0,13.55,,
,0.04,8.34,640.7785,20.28 - 20.78,1,405,640.7790,20.65,2.33E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,640.7820,20.38,2.72E3,640.7742,20.75,2.18E2,640.7789,20.67,4.79E2,1.00:0:0:0:0:0:11.64:0.93:2.05,4.66E1,8.53E2,1.00:18.29,20.61,,
,0.04,8.34,324.8345,21.06 - 21.13,3,29.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,324.8345,21.09,2.68E2,0:0:0:0:0:0:0:0:1.00,0,6.71E1,0:1.00,21.09,,
,0.04,8.34,703.7404,4.87 - 4.93,1,17.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,703.7404,4.90,1.54E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,3.84E1,0:1.00,4.90,,
,0.04,8.34,1399.7153,20.15 - 20.20,1,323,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1399.7153,20.18,2.91E3,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,7.27E2,0:1.00,20.18,,
,0.04,8.34,502.1547,9.37 - 9.82,1,297.2,-,-,0,-,-,0,-,-,0,-,-,0,502.1547,9.55,2.67E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0:0,5.35E2,0,1.00:0,9.55,,
,0.04,8.34,670.7762,17.18 - 18.58,1,82.6,-,-,0,670.7784,17.24,2.45E2,670.7740,18.52,4.99E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0.49:1.00:0:0:0:0:0:0,1.49E2,0,1.00:0,17.88,,
,0.04,8.34,470.0294,0.71 - 0.94,1,213.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,470.0294,0.87,1.92E3,-,-,0,0:0:0:0:0:0:0:1.00:0,0,4.8E2,0:1.00,0.87,,
,0.04,8.34,1361.7271,20.14 - 20.24,1,414.3,-,-,0,-,-,0,1361.7271,20.17,3.73E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,7.46E2,0,1.00:0,20.17,,
,0.04,3.63,654.7992,5.64 - 6.67,1,623.5,654.7984,6.10,3.71E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,654.7990,5.74,1E3,654.7983,6.29,4.43E2,654.8012,6.59,4.61E2,1.00:0:0:0:0:0:0.27:0.12:0.12,7.41E2,4.76E2,1.00:0.64,6.18,,
,0.04,5.46,1053.8822,17.06 - 17.73,1,866.8,-,-,0,-,-,0,-,-,0,1053.8822,17.06,1.69E3,-,-,0,-,-,0,-,-,0,1053.8801,17.40,4.1E3,1053.8844,17.69,2.01E3,0:0:0:1.00:0:0:0:2.42:1.18,3.39E2,1.53E3,1.00:4.50,17.39,,
,0.04,8.34,596.8385,8.41 - 13.70,1,2.4E3,596.8386,8.75,4.5E3,-,-,0,596.8382,9.34,1.52E4,596.8389,9.19,2.35E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0.30:0:1.00:0.16:0:0:0:0:0,4.4E3,0,1.00:0,9.09,,
,0.04,6.47,676.7998,8.97 - 10.76,1,1E3,-,-,0,-,-,0,-,-,0,-,-,0,676.8008,9.60,1.38E3,-,-,0,676.7986,9.95,4.66E3,676.8000,9.54,3.39E3,-,-,0,0:0:0:0:1.00:0:3.38:2.46:0,2.76E2,2.01E3,1.00:7.30,9.70,,
,0.04,8.34,643.8505,0.01 - 0.09,1,18,643.8505,0.04,1.62E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,3.24E1,0,1.00:0,0.04,,
,0.04,8.34,348.8118,0.10 - 0.22,3,1.4E5,-,-,0,-,-,0,348.8118,0.18,1.22E6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0:0,2.44E5,0,1.00:0,0.18,,
,0.04,8.30,662.8301,6.96 - 9.69,1,9.1E3,-,-,0,662.8317,8.16,2.02E4,662.8286,8.40,6.2E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0.33:1.00:0:0:0:0:0:0,1.64E4,0,1.00:0,8.28,,
,0.04,8.34,527.7990,6.46 - 6.51,1,14.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,527.7990,6.51,1.34E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,3.35E1,0:1.00,6.51,,
,0.04,3.77,444.3069,3.04 - 3.79,2,839.7,-,-,0,-,-,0,-,-,0,444.3067,3.15,1.4E3,444.3069,3.16,3.75E3,-,-,0,-,-,0,-,-,0,444.3072,3.15,2.41E3,0:0:0:1.00:2.67:0:0:0:1.71,1.03E3,6.02E2,1.00:0.58,3.15,,
,0.04,8.34,735.3234,13.84 - 13.91,2,50.3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,735.3234,13.87,4.52E2,-,-,0,-,-,0,0:0:0:0:0:0:1.00:0:0,0,1.13E2,0:1.00,13.87,,
,0.04,4.19,678.1519,4.42 - 4.62,1,258.3,-,-,0,-,-,0,-,-,0,678.1509,4.55,8.36E2,-,-,0,-,-,0,678.1518,4.55,5.82E2,678.1530,4.53,9.07E2,-,-,0,0:0:0:1.00:0:0:0.70:1.09:0,1.67E2,3.72E2,1.00:2.23,4.54,,
,0.04,8.34,864.7141,5.42 - 5.47,1,15.7,864.7141,5.43,1.41E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0:0:0:0:0:0:0,2.82E1,0,1.00:0,5.43,,
,0.04,4.84,707.8405,19.97 - 20.28,1,1.1E3,-,-,0,-,-,0,707.8395,20.18,2.77E3,-,-,0,-,-,0,-,-,0,707.8434,20.15,2.54E3,-,-,0,707.8386,20.15,4.64E3,0:0:1.00:0:0:0:0.92:0:1.67,5.55E2,1.8E3,1.00:3.24,20.16,,
,0.04,4.02,441.7852,2.57 - 3.02,3,220.7,-,-,0,-,-,0,-,-,0,441.7853,2.69,7.63E2,-,-,0,-,-,0,441.7851,2.73,1.22E3,-,-,0,-,-,0,0:0:0:1.00:0:0:1.60:0:0,1.53E2,3.06E2,1.00:2.00,2.71,,
,0.04,8.37,808.8358,2.86 - 2.92,1,27.8,-,-,0,808.8358,2.89,2.5E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5E1,0,1.00:0,2.89,,
,0.04,8.37,525.7932,11.53 - 11.59,1,16.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,525.7932,11.55,1.5E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,3.74E1,0:1.00,11.55,,
,0.04,8.37,630.8099,6.35 - 7.74,1,716.3,-,-,0,630.8099,6.44,1.89E3,-,-,0,630.8103,6.66,1.04E3,630.8096,7.06,3.52E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0.55:1.86:0:0:0:0,1.29E3,0,1.00:0,6.72,,
,0.04,8.37,460.0984,3.96 - 4.06,3,49,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,460.0984,4.02,4.41E2,-,-,0,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0:0,0,1.1E2,0:1.00,4.02,,
,0.04,8.37,485.8858,11.07 - 11.69,1,628.2,-,-,0,485.8854,11.24,2.16E3,485.8865,11.39,1.67E3,-,-,0,485.8854,11.33,1.82E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.29:1.00:0:1.09:0:0:0:0,1.13E3,0,1.00:0,11.32,,
,0.04,8.37,657.8228,15.42 - 15.50,1,37.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,657.8228,15.46,3.36E2,0:0:0:0:0:0:0:0:1.00,0,8.4E1,0:1.00,15.46,,
,0.04,8.37,745.5029,5.87 - 7.01,1,8.1E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,745.5021,6.71,6.41E4,745.5037,6.71,9.3E3,0:0:0:0:0:0:0:1.00:0.15,0,1.83E4,0:1.00,6.71,,
,0.04,8.37,967.7405,9.51 - 9.59,1,22.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,967.7405,9.50,2.06E2,-,-,0,0:0:0:0:0:0:0:1.00:0,0,5.14E1,0:1.00,9.50,,
,0.04,8.37,726.7419,5.38 - 6.14,1,74.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,726.7394,5.45,3.41E2,-,-,0,726.7444,6.09,3.28E2,-,-,0,0:0:0:0:0:1.00:0:0.96:0,0,1.67E2,0:1.00,5.77,,
,0.04,3.42,273.1338,0.68 - 6.83,1,1.8E4,-,-,0,-,-,0,-,-,0,273.1335,1.83,1E5,-,-,0,273.1335,1.81,4.92E4,273.1338,1.35,7.24E3,273.1343,1.11,3.2E3,-,-,0,0:0:0:1.00:0:0.49:0.07:0.03:0,2.01E4,1.49E4,1.00:0.74,1.52,,
,0.04,8.37,1234.7397,20.10 - 20.19,1,306.8,-,-,0,1234.7397,20.14,2.76E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0:0,5.52E2,0,1.00:0,20.14,,
