Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,HSDL2-b_A00_neg m/z,HSDL2-b_A00_neg RT mean,HSDL2-b_A00_neg Normalized Area,HSDL2-b_A04_neg m/z,HSDL2-b_A04_neg RT mean,HSDL2-b_A04_neg Normalized Area,HSDL2-b_A05_neg m/z,HSDL2-b_A05_neg RT mean,HSDL2-b_A05_neg Normalized Area,HSDL2-b_A06_neg m/z,HSDL2-b_A06_neg RT mean,HSDL2-b_A06_neg Normalized Area,HSDL2-b_A07_neg m/z,HSDL2-b_A07_neg RT mean,HSDL2-b_A07_neg Normalized Area,HSDL2-b_A08_neg m/z,HSDL2-b_A08_neg RT mean,HSDL2-b_A08_neg Normalized Area,HSDL2-b_A09_neg m/z,HSDL2-b_A09_neg RT mean,HSDL2-b_A09_neg Normalized Area,HSDL2-b_A10_neg m/z,HSDL2-b_A10_neg RT mean,HSDL2-b_A10_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.09,3.70,354.9305,11.63 - 12.85,3,200.7,-,-,0,-,-,0,-,-,0,354.9314,11.71,3.1E2,354.9298,12.51,7.28E2,-,-,0,354.9298,12.63,2.75E2,354.9307,12.06,2.92E2,0:0:0:1.06:2.49:0:0.94:1.00,1.88E2,2.92E2,0.64:1.00,12.23,,
,0.09,9.19,565.7143,7.31 - 8.75,1,109,565.7145,7.71,1.84E2,-,-,0,565.7146,7.41,3.27E2,-,-,0,-,-,0,565.7152,8.69,1.51E2,565.7130,7.36,2.1E2,-,-,0,1.00:0:1.78:0:0:0.82:1.14:0,1.25E2,0,1.00:0,7.79,,
,0.09,5.57,694.7507,12.86 - 13.99,1,533.2,694.7493,13.25,8.27E2,694.7505,13.03,5.05E2,-,-,0,-,-,0,-,-,0,694.7524,13.40,1.36E3,-,-,0,694.7505,13.62,1.57E3,0.53:0.32:0:0:0:0.86:0:1.00,3.84E2,1.57E3,0.24:1.00,13.32,,
,0.09,9.13,591.3550,3.56 - 3.69,1,115.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,591.3550,3.66,9.27E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.32E2,0,1.00:0,3.66,,
,0.09,9.13,474.7457,7.76 - 9.30,1,397.9,474.7459,8.69,6.77E2,-,-,0,-,-,0,474.7451,8.12,1.43E3,-,-,0,474.7452,8.91,4.3E2,474.7465,8.19,6.42E2,-,-,0,1.00:0:0:2.12:0:0.63:0.95:0,4.55E2,0,1.00:0,8.48,,
,0.09,9.13,455.1030,18.89 - 21.28,1,752.4,-,-,0,455.1030,19.85,1.52E3,455.1030,20.55,1.62E3,-,-,0,455.1030,20.39,2.53E3,-,-,0,455.1029,18.96,3.44E2,-,-,0,0:1.00:1.07:0:1.67:0:0.23:0,8.6E2,0,1.00:0,19.94,,
,0.09,9.09,773.6968,7.56 - 8.73,1,125.6,773.7002,8.71,1.77E2,-,-,0,773.6970,7.68,4.07E2,773.6993,8.63,1.29E2,-,-,0,-,-,0,773.6906,8.46,2.92E2,-,-,0,1.00:0:2.30:0.73:0:0:1.65:0,1.44E2,0,1.00:0,8.37,,
,0.09,9.14,485.7920,9.80 - 11.56,1,469.1,485.7918,10.84,4.43E2,485.7918,9.89,3.28E2,485.7918,10.91,2.23E3,-,-,0,-,-,0,485.7924,10.71,7.52E2,-,-,0,-,-,0,1.00:0.74:5.03:0:0:1.70:0:0,5.36E2,0,1.00:0,10.59,,
,0.09,9.14,282.0988,0.25 - 0.95,1,3.7E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,282.0988,0.85,2.95E4,0:0:0:0:0:0:0:1.00,0,2.95E4,0:1.00,0.85,,
,0.09,3.38,543.0426,9.19 - 10.29,2,573,-,-,0,-,-,0,-,-,0,-,-,0,543.0430,10.07,1.97E3,543.0422,10.05,5.02E2,543.0430,9.30,1.4E3,543.0422,9.84,7.1E2,0:0:0:0:2.77:0.71:1.98:1.00,5.53E2,7.1E2,0.78:1.00,9.82,,
,0.09,9.20,501.7847,21.21 - 21.34,1,207.5,-,-,0,501.7854,21.25,2.62E2,501.7841,21.22,8.35E2,501.7840,21.24,3.05E2,-,-,0,501.7854,21.24,2.58E2,-,-,0,-,-,0,0:1.00:3.19:1.16:0:0.99:0:0,2.37E2,0,1.00:0,21.24,,
,0.09,9.15,525.4280,3.13 - 3.43,1,157.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,525.4280,3.30,1.26E3,0:0:0:0:0:0:0:1.00,0,1.26E3,0:1.00,3.30,,
,0.09,4.78,543.0432,8.15 - 9.19,2,343.2,-,-,0,-,-,0,-,-,0,543.0430,8.23,4.48E2,543.0430,8.94,8.09E2,-,-,0,543.0430,9.13,7.03E2,543.0438,8.80,7.86E2,0:0:0:0.57:1.03:0:0.89:1.00,2.8E2,7.86E2,0.36:1.00,8.77,,
,0.09,5.25,381.2481,5.58 - 6.38,2,85.9,381.2473,5.62,9.96E1,381.2480,6.12,2.22E2,-,-,0,-,-,0,-,-,0,381.2488,6.27,1.37E2,-,-,0,381.2481,6.27,2.28E2,0.44:0.97:0:0:0:0.60:0:1.00,6.55E1,2.28E2,0.29:1.00,6.07,,
,0.09,9.21,652.5212,0.13 - 0.23,1,2.7E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,652.5212,0.17,2.16E5,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,3.09E4,0,1.00:0,0.17,,
,0.09,9.21,446.2914,1.57 - 1.81,1,134.5,-,-,0,-,-,0,-,-,0,446.2914,1.76,1.08E3,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,1.54E2,0,1.00:0,1.76,,
,0.09,9.21,716.2273,6.41 - 6.76,1,191.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,716.2273,6.61,1.53E3,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,2.19E2,0,1.00:0,6.61,,
,0.09,3.46,632.7059,5.09 - 5.87,1,144.7,632.7060,5.21,3.99E2,-,-,0,-,-,0,-,-,0,-,-,0,632.7040,5.71,2.32E2,632.7059,5.83,3.4E2,632.7076,5.59,1.86E2,2.14:0:0:0:0:1.25:1.82:1.00,1.39E2,1.86E2,0.74:1.00,5.59,,
,0.09,9.21,454.8517,0.58 - 0.74,1,146.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,454.8517,0.64,1.17E3,0:0:0:0:0:0:0:1.00,0,1.17E3,0:1.00,0.64,,
,0.09,3.03,563.7843,23.18 - 23.89,1,94.7,-,-,0,-,-,0,-,-,0,-,-,0,563.7831,23.40,1.82E2,563.7855,23.57,1.71E2,563.7847,23.83,3.08E2,563.7839,23.21,9.6E1,0:0:0:0:1.90:1.78:3.21:1.00,9.45E1,9.6E1,0.98:1.00,23.50,,
,0.09,9.26,408.2765,20.07 - 21.16,1,207.2,408.2764,20.62,3.56E2,408.2758,20.18,4.13E2,408.2768,20.62,5.33E2,-,-,0,-,-,0,408.2769,21.06,3.56E2,-,-,0,-,-,0,1.00:1.16:1.50:0:0:1.00:0:0,2.37E2,0,1.00:0,20.62,,
,0.09,9.32,763.9949,5.04 - 5.32,1,113,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,763.9949,5.22,9.04E2,0:0:0:0:0:0:0:1.00,0,9.04E2,0:1.00,5.22,,
,0.09,9.32,532.7983,0.04 - 0.13,1,541.8,-,-,0,-,-,0,-,-,0,-,-,0,532.7983,0.05,4.33E3,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0,6.19E2,0,1.00:0,0.05,,
,0.09,9.38,364.8773,0.13 - 0.31,3,5.2E4,-,-,0,-,-,0,-,-,0,364.8773,0.21,4.19E5,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,5.99E4,0,1.00:0,0.21,,
,0.09,9.38,294.8033,10.08 - 11.03,3,332.5,294.8035,10.58,1.27E3,294.8029,10.19,3.99E2,-,-,0,-,-,0,294.8034,11.01,2.89E2,-,-,0,294.8034,10.36,7.01E2,-,-,0,1.00:0.31:0:0:0.23:0:0.55:0,3.8E2,0,1.00:0,10.53,,
,0.09,9.38,685.6282,15.38 - 15.64,1,183.9,-,-,0,685.6282,15.50,1.47E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,2.1E2,0,1.00:0,15.50,,
,0.09,6.13,459.8600,4.06 - 9.58,1,9.6E3,459.8601,5.22,7.82E2,459.8591,4.55,2.14E4,-,-,0,459.8599,4.33,1.9E4,459.8605,4.58,3.17E4,459.8600,5.09,1.52E3,-,-,0,459.8606,4.00,2.13E3,0.37:10.01:0:8.90:14.87:0.71:0:1.00,1.06E4,2.13E3,4.98:1.00,4.63,,
,0.09,9.32,782.4858,3.13 - 3.24,1,124.2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,782.4858,3.16,9.94E2,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.42E2,0,1.00:0,3.16,,
,0.09,9.32,520.7451,6.14 - 6.90,1,344.5,520.7473,6.48,4.6E2,-,-,0,520.7444,6.31,9.22E2,520.7444,6.48,9.55E2,-,-,0,520.7444,6.59,4.19E2,-,-,0,-,-,0,1.00:0:2.00:2.07:0:0.91:0:0,3.94E2,0,1.00:0,6.46,,
,0.09,9.38,364.8073,0.03 - 0.10,1,825.9,-,-,0,-,-,0,364.8073,0.03,6.61E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:0:0:0:0:0,9.44E2,0,1.00:0,0.03,,
,0.09,3.43,477.7598,22.70 - 23.62,1,615,-,-,0,477.7596,23.38,9.95E2,-,-,0,-,-,0,477.7603,23.28,5.62E2,-,-,0,477.7590,22.81,2.59E3,477.7603,23.18,7.73E2,0:1.29:0:0:0.73:0:3.35:1.00,5.92E2,7.73E2,0.77:1.00,23.16,,
,0.09,9.38,538.8117,17.15 - 17.66,1,138.4,-,-,0,538.8113,17.62,1.84E2,538.8121,17.20,5.53E2,538.8121,17.53,2.2E2,-,-,0,538.8112,17.56,1.51E2,-,-,0,-,-,0,0:1.00:3.01:1.20:0:0.82:0:0,1.58E2,0,1.00:0,17.48,,
,0.09,9.45,526.3553,3.08 - 3.23,1,96.1,-,-,0,-,-,0,-,-,0,526.3553,3.16,7.69E2,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,1.1E2,0,1.00:0,3.16,,
,0.09,9.45,685.7194,3.36 - 4.25,1,559.4,685.7175,3.39,2.8E2,-,-,0,685.7217,3.87,1.5E3,-,-,0,685.7207,3.76,8.07E2,685.7177,3.77,1.89E3,-,-,0,-,-,0,1.00:0:5.35:0:2.88:6.74:0:0,6.39E2,0,1.00:0,3.70,,
,0.09,5.92,383.8662,16.83 - 17.92,3,345,-,-,0,383.8668,16.95,2.89E2,-,-,0,-,-,0,383.8659,17.17,7.88E2,383.8660,17.25,6E2,-,-,0,383.8662,17.75,1.08E3,0:0.27:0:0:0.73:0.55:0:1.00,2.39E2,1.08E3,0.22:1.00,17.28,,
,0.09,9.38,582.7800,9.09 - 14.39,1,869.6,582.7781,9.26,1.41E3,582.7803,9.92,8.28E2,582.7821,9.68,3.93E3,-,-,0,-,-,0,582.7795,9.90,7.89E2,-,-,0,-,-,0,1.00:0.59:2.78:0:0:0.56:0:0,9.94E2,0,1.00:0,9.69,,
,0.09,4.38,579.7976,20.63 - 21.15,1,250.8,-,-,0,579.7986,21.08,4.39E2,-,-,0,-,-,0,-,-,0,579.7970,20.81,6.24E2,579.7970,21.07,4.59E2,579.7979,20.75,4.84E2,0:0.91:0:0:0:1.29:0.95:1.00,2.17E2,4.84E2,0.45:1.00,20.93,,
,0.09,9.38,528.7581,8.75 - 9.82,1,368.9,528.7581,9.38,3.44E2,-,-,0,528.7587,8.96,1.18E3,-,-,0,-,-,0,528.7579,8.82,1.62E2,528.7579,9.54,1.27E3,-,-,0,1.00:0:3.42:0:0:0.47:3.68:0,4.22E2,0,1.00:0,9.17,,
,0.09,9.38,637.7186,1.26 - 2.30,1,176.4,637.7179,2.25,2.83E2,-,-,0,637.7217,1.59,4.83E2,-,-,0,637.7179,1.32,3.12E2,-,-,0,637.7170,1.61,3.33E2,-,-,0,1.00:0:1.71:0:1.10:0:1.18:0,2.02E2,0,1.00:0,1.69,,
,0.09,9.38,463.7948,12.94 - 14.52,1,370.2,-,-,0,463.7958,13.73,2.27E2,-,-,0,463.7945,13.60,1.3E3,-,-,0,463.7939,14.13,7.43E2,463.7950,14.25,6.89E2,-,-,0,0:1.00:0:5.72:0:3.27:3.03:0,4.23E2,0,1.00:0,13.93,,
,0.09,9.38,473.7245,0.24 - 1.37,1,131.1,473.7262,0.30,2.82E2,-,-,0,473.7224,1.32,2.92E2,-,-,0,-,-,0,-,-,0,473.7249,0.39,4.75E2,-,-,0,1.00:0:1.04:0:0:0:1.69:0,1.5E2,0,1.00:0,0.67,,
,0.09,9.38,273.8016,14.07 - 19.01,8,7.7E3,273.8018,15.70,7.58E3,273.8013,15.92,4.24E3,-,-,0,273.8013,15.69,1.39E4,-,-,0,-,-,0,273.8018,15.48,3.62E4,-,-,0,1.00:0.56:0:1.83:0:0:4.77:0,8.84E3,0,1.00:0,15.70,,
,0.09,9.38,628.2246,1.91 - 2.45,1,834.6,-,-,0,628.2246,2.33,6.68E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,9.54E2,0,1.00:0,2.33,,
,0.09,4.97,554.5357,17.39 - 17.95,2,308,-,-,0,554.5355,17.87,2.38E2,554.5363,17.46,1.26E3,-,-,0,554.5355,17.89,2.29E2,-,-,0,-,-,0,554.5356,17.71,7.37E2,0:0.32:1.71:0:0.31:0:0:1.00,2.47E2,7.37E2,0.33:1.00,17.73,,
,0.09,9.33,933.4480,8.86 - 9.09,1,193.6,-,-,0,933.4480,9.01,1.55E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,2.21E2,0,1.00:0,9.01,,
,0.09,9.33,866.7417,19.84 - 20.35,3,133.3,866.7393,19.89,3.22E2,866.7432,20.26,1.21E2,866.7411,20.28,3.61E2,-,-,0,866.7434,20.16,2.61E2,-,-,0,-,-,0,-,-,0,1.00:0.38:1.12:0:0.81:0:0:0,1.52E2,0,1.00:0,20.15,,
,0.09,9.26,778.8147,21.12 - 21.24,1,448.9,778.8123,21.21,8.77E2,-,-,0,778.8196,21.20,1.3E3,778.8129,21.21,3.45E2,778.8142,21.20,1.07E3,-,-,0,-,-,0,-,-,0,1.00:0:1.48:0.39:1.22:0:0:0,5.13E2,0,1.00:0,21.21,,
,0.09,3.95,674.6929,10.48 - 11.04,1,115.1,-,-,0,674.6922,10.53,2.01E2,674.6945,11.03,3.16E2,-,-,0,-,-,0,674.6926,10.92,2.16E2,-,-,0,674.6923,10.81,1.88E2,0:1.07:1.68:0:0:1.15:0:1.00,1.05E2,1.88E2,0.56:1.00,10.82,,
,0.09,9.21,406.8464,0.63 - 0.78,1,63.5,406.8469,0.66,2.55E2,-,-,0,406.8459,0.73,2.53E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0:0.99:0:0:0:0:0,7.26E1,0,1.00:0,0.69,,
,0.09,3.76,364.8564,21.45 - 22.64,1,440.2,-,-,0,-,-,0,-,-,0,364.8561,21.79,1.01E3,364.8571,22.49,8.93E2,364.8571,21.74,9.66E2,-,-,0,364.8553,21.97,6.55E2,0:0:0:1.54:1.36:1.48:0:1.00,4.1E2,6.55E2,0.63:1.00,22.00,,
,0.09,9.27,477.1631,14.59 - 15.48,1,155.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,477.1631,14.92,1.25E3,0:0:0:0:0:0:0:1.00,0,1.25E3,0:1.00,14.92,,
,0.09,9.27,477.1960,1.41 - 1.59,1,136.6,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,477.1960,1.48,1.09E3,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.56E2,0,1.00:0,1.48,,
,0.09,9.27,1085.7349,0.17 - 0.24,1,5.9E3,-,-,0,1085.7349,0.18,4.74E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,6.77E3,0,1.00:0,0.18,,
,0.09,9.27,666.4550,4.43 - 4.60,1,90.3,-,-,0,666.4550,4.56,7.23E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.03E2,0,1.00:0,4.56,,
,0.09,9.27,554.0341,19.96 - 20.97,1,493.6,554.0343,20.26,9.59E2,554.0342,20.57,7.87E2,-,-,0,-,-,0,554.0334,20.18,1.07E3,-,-,0,554.0343,20.84,1.13E3,-,-,0,1.00:0.82:0:0:1.12:0:1.18:0,5.64E2,0,1.00:0,20.46,,
,0.09,9.27,775.6903,5.65 - 6.86,1,149.7,775.6892,5.71,2.81E2,775.6879,5.95,1.38E2,775.6930,5.82,4.07E2,-,-,0,775.6912,6.65,3.72E2,-,-,0,-,-,0,-,-,0,1.00:0.49:1.45:0:1.32:0:0:0,1.71E2,0,1.00:0,6.03,,
,0.09,9.27,326.8309,0.04 - 0.11,1,3.4E3,-,-,0,-,-,0,-,-,0,-,-,0,326.8309,0.05,2.76E4,-,-,0,-,-,0,-,-,0,0:0:0:0:1.00:0:0:0,3.94E3,0,1.00:0,0.05,,
,0.09,9.32,674.0231,3.25 - 3.97,1,598.5,-,-,0,-,-,0,-,-,0,674.0281,3.64,3.42E3,-,-,0,674.0181,3.51,1.37E3,-,-,0,-,-,0,0:0:0:1.00:0:0.40:0:0,6.84E2,0,1.00:0,3.57,,
,0.09,9.32,367.8595,3.54 - 4.15,1,159.6,367.8597,3.64,3.64E2,-,-,0,367.8589,3.95,2.56E2,-,-,0,367.8597,3.94,5.13E2,-,-,0,367.8597,4.13,1.44E2,-,-,0,1.00:0:0.70:0:1.41:0:0.40:0,1.82E2,0,1.00:0,3.92,,
,0.09,9.32,477.1631,17.29 - 18.38,1,119.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,477.1631,17.34,9.55E2,0:0:0:0:0:0:0:1.00,0,9.55E2,0:1.00,17.34,,
,0.09,9.32,619.7273,10.03 - 10.81,1,168.5,619.7280,10.07,2.68E2,-,-,0,619.7271,10.77,2.73E2,619.7279,10.32,2.07E2,-,-,0,-,-,0,619.7262,10.31,6.01E2,-,-,0,1.00:0:1.02:0.77:0:0:2.25:0,1.93E2,0,1.00:0,10.37,,
,0.09,9.27,441.9196,0.29 - 0.58,1,589.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,441.9196,0.42,4.71E3,0:0:0:0:0:0:0:1.00,0,4.71E3,0:1.00,0.42,,
,0.09,9.27,485.7924,10.94 - 12.42,1,380.3,485.7931,11.48,1.43E3,485.7918,11.59,4.77E2,485.7918,12.33,6.6E2,-,-,0,-,-,0,485.7930,11.06,4.76E2,-,-,0,-,-,0,1.00:0.33:0.46:0:0:0.33:0:0,4.35E2,0,1.00:0,11.62,,
,0.09,9.27,477.1625,15.11 - 15.79,1,153.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,477.1625,15.33,1.23E3,0:0:0:0:0:0:0:1.00,0,1.23E3,0:1.00,15.33,,
,0.09,3.14,351.8778,6.74 - 7.89,1,236.7,-,-,0,-,-,0,351.8777,6.82,1.68E2,-,-,0,-,-,0,351.8777,7.85,2.33E2,351.8784,6.77,1.27E3,351.8776,7.63,2.19E2,0:0:0.77:0:0:1.06:5.82:1.00,2.39E2,2.19E2,1.09:1.00,7.27,,
,0.09,9.33,419.0617,1.72 - 2.03,1,340.9,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,419.0617,1.95,2.73E3,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,3.9E2,0,1.00:0,1.95,,
,0.09,9.33,448.8342,12.55 - 13.44,1,170.9,448.8335,12.60,6.38E2,448.8341,13.05,2.09E2,-,-,0,448.8351,13.34,3.94E2,448.8340,12.83,1.27E2,-,-,0,-,-,0,-,-,0,1.00:0.33:0:0.62:0.20:0:0:0,1.95E2,0,1.00:0,12.96,,
,0.09,9.27,581.4911,4.19 - 4.57,1,165.1,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,581.4911,4.33,1.32E3,0:0:0:0:0:0:0:1.00,0,1.32E3,0:1.00,4.33,,
,0.09,9.27,666.7499,6.22 - 7.17,1,156.8,-,-,0,-,-,0,-,-,0,666.7512,6.27,3.19E2,666.7480,7.11,3.26E2,666.7512,6.42,2.08E2,666.7490,6.63,4.01E2,-,-,0,0:0:0:1.00:1.02:0.65:1.26:0,1.79E2,0,1.00:0,6.61,,
,0.09,9.27,675.6920,9.68 - 10.49,1,137,675.6917,10.39,3.48E2,675.6927,9.77,2.63E2,-,-,0,-,-,0,675.6925,10.11,2.75E2,675.6912,9.82,2.09E2,-,-,0,-,-,0,1.00:0.75:0:0:0.79:0.60:0:0,1.57E2,0,1.00:0,10.02,,
,0.09,9.27,704.4891,6.29 - 6.60,1,569.5,-,-,0,704.4891,6.42,4.56E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,6.51E2,0,1.00:0,6.42,,
,0.09,9.27,267.7670,1.65 - 7.99,1,2.9E4,267.7671,2.04,1.78E3,267.7670,2.33,3.68E2,267.7669,1.90,6.59E2,267.7667,1.72,8.27E4,-,-,0,267.7671,2.21,6.31E4,267.7672,2.99,8.61E4,-,-,0,1.00:0.21:0.37:46.49:0:35.46:48.43:0,3.35E4,0,1.00:0,2.20,,
,0.09,9.26,618.7301,12.38 - 13.49,1,231.2,-,-,0,618.7303,12.62,5.68E2,618.7304,12.51,6.7E2,-,-,0,618.7295,12.42,3.83E2,618.7303,12.58,2.28E2,-,-,0,-,-,0,0:1.00:1.18:0:0.67:0.40:0:0,2.64E2,0,1.00:0,12.53,,
,0.09,9.26,407.7767,11.50 - 12.54,2,79.6,-,-,0,407.7764,12.47,7.48E1,-,-,0,407.7774,11.53,9.96E1,407.7764,12.42,3.17E2,-,-,0,407.7765,11.85,1.45E2,-,-,0,0:1.00:0:1.33:4.24:0:1.94:0,9.09E1,0,1.00:0,12.07,,
,0.09,9.26,658.4470,5.40 - 5.63,1,136.2,-,-,0,658.4470,5.53,1.09E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.56E2,0,1.00:0,5.53,,
,0.09,9.26,503.1564,4.03 - 5.52,1,1.5E4,-,-,0,503.1560,4.55,3.45E4,-,-,0,503.1566,4.61,4.64E4,-,-,0,503.1565,4.56,3.74E4,-,-,0,-,-,0,0:1.00:0:1.34:0:1.08:0:0,1.69E4,0,1.00:0,4.57,,
,0.09,9.26,970.7484,21.13 - 21.24,1,172.4,-,-,0,-,-,0,-,-,0,-,-,0,970.7433,21.20,8.17E2,-,-,0,970.7535,21.19,5.63E2,-,-,0,0:0:0:0:1.00:0:0.69:0,1.97E2,0,1.00:0,21.20,,
,0.09,6.59,756.6310,5.95 - 6.56,1,37.4,756.6293,5.98,1.59E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,756.6328,6.48,1.4E2,1.14:0:0:0:0:0:0:1.00,2.27E1,1.4E2,0.16:1.00,6.23,,
,0.09,9.26,466.3914,4.20 - 4.45,1,95.7,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,466.3914,4.33,7.66E2,0:0:0:0:0:0:0:1.00,0,7.66E2,0:1.00,4.33,,
,0.09,9.26,590.8267,14.06 - 14.78,1,114.1,590.8259,14.08,2.27E2,590.8276,14.54,2.51E2,590.8268,14.53,2.41E2,590.8266,14.70,1.94E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:1.10:1.06:0.86:0:0:0:0,1.3E2,0,1.00:0,14.46,,
,0.09,3.77,386.7910,17.88 - 18.57,2,106.8,-,-,0,386.7913,17.96,1.95E2,386.7904,17.97,3.25E2,386.7912,18.48,1.75E2,-,-,0,-,-,0,-,-,0,386.7913,18.38,1.6E2,0:1.22:2.03:1.09:0:0:0:1.00,9.92E1,1.6E2,0.62:1.00,18.20,,
,0.09,9.21,611.6257,0.13 - 0.21,1,1.6E3,-,-,0,-,-,0,-,-,0,611.6257,0.21,1.24E4,-,-,0,-,-,0,-,-,0,-,-,0,0:0:0:1.00:0:0:0:0,1.77E3,0,1.00:0,0.21,,
,0.09,9.21,545.4181,0.68 - 0.91,1,91.6,-,-,0,545.4181,0.85,7.33E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.05E2,0,1.00:0,0.85,,
,0.09,9.21,904.7602,21.14 - 21.29,1,186.6,-,-,0,904.7601,21.20,3.57E2,904.7629,21.21,5.39E2,-,-,0,-,-,0,904.7628,21.16,2.24E2,904.7551,21.15,3.74E2,-,-,0,0:1.00:1.51:0:0:0.63:1.05:0,2.13E2,0,1.00:0,21.18,,
,0.09,9.15,632.3605,4.73 - 5.08,1,172.4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,632.3605,4.87,1.38E3,-,-,0,-,-,0,0:0:0:0:0:1.00:0:0,1.97E2,0,1.00:0,4.87,,
,0.09,9.15,887.0789,0.13 - 0.24,2,2.6E4,-,-,0,887.0789,0.19,2.12E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,3.02E4,0,1.00:0,0.19,,
,0.09,9.15,351.8684,17.63 - 18.01,1,97.7,351.8682,17.71,2.33E2,-,-,0,351.8682,17.72,2.33E2,-,-,0,351.8681,17.94,1.38E2,-,-,0,351.8690,17.98,1.78E2,-,-,0,1.00:0:1.00:0:0.59:0:0.77:0,1.12E2,0,1.00:0,17.84,,
,0.09,9.15,489.3916,2.53 - 2.71,1,90.9,-,-,0,489.3916,2.62,7.27E2,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:0:0:0:0:0:0,1.04E2,0,1.00:0,2.62,,
,0.09,3.36,526.7610,9.21 - 9.97,1,216.9,526.7599,9.60,6.18E2,-,-,0,-,-,0,-,-,0,526.7614,9.73,4.89E2,-,-,0,526.7614,9.27,3.62E2,526.7614,9.44,2.66E2,2.33:0:0:0:1.84:0:1.36:1.00,2.1E2,2.66E2,0.79:1.00,9.51,,
,0.09,9.10,423.8220,7.19 - 8.14,2,210.4,423.8225,8.10,2.82E2,423.8215,8.02,1.65E2,423.8215,7.47,6.85E2,423.8226,7.35,5.51E2,-,-,0,-,-,0,-,-,0,-,-,0,1.00:0.59:2.42:1.95:0:0:0:0,2.4E2,0,1.00:0,7.73,,
,0.09,9.10,770.7193,19.66 - 20.15,1,441.1,770.7229,20.12,9.3E2,770.7150,19.72,3.42E2,770.7217,19.99,8.24E2,-,-,0,-,-,0,770.7177,19.85,1.43E3,-,-,0,-,-,0,1.00:0.37:0.89:0:0:1.54:0:0,5.04E2,0,1.00:0,19.92,,
,0.09,9.04,532.3503,0.58 - 0.85,1,196.8,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,532.3503,0.72,1.57E3,0:0:0:0:0:0:0:1.00,0,1.57E3,0:1.00,0.72,,
