Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,LCN8_A00_neg m/z,LCN8_A00_neg RT mean,LCN8_A00_neg Normalized Area,LCN8_A06_neg m/z,LCN8_A06_neg RT mean,LCN8_A06_neg Normalized Area,LCN8_A07_neg m/z,LCN8_A07_neg RT mean,LCN8_A07_neg Normalized Area,LCN8_A08_neg m/z,LCN8_A08_neg RT mean,LCN8_A08_neg Normalized Area,LCN8_A12_neg m/z,LCN8_A12_neg RT mean,LCN8_A12_neg Normalized Area,LCN8_B01_neg m/z,LCN8_B01_neg RT mean,LCN8_B01_neg Normalized Area,LCN8_A09_neg m/z,LCN8_A09_neg RT mean,LCN8_A09_neg Normalized Area,LCN8_A10_neg m/z,LCN8_A10_neg RT mean,LCN8_A10_neg Normalized Area,LCN8_A11_neg m/z,LCN8_A11_neg RT mean,LCN8_A11_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.33,4.79,447.9109,10.86 - 12.17,1,299.7,447.9109,11.06,2.33E2,447.9122,11.45,4.78E2,447.9110,11.76,2.22E2,447.9109,11.71,5.51E2,447.9097,11.15,2.7E2,-,-,-,447.9104,11.61,2E2,447.9099,10.93,2.38E2,447.9120,12.14,2.05E2,0.42:0.87:0.40:1.00:0.49:-:0.36:0.43:0.37,3.51E2,2.14E2,1.00:0.61,11.48,,
,0.33,3.43,564.7699,10.96 - 15.08,1,3.3E3,564.7695,14.25,2E3,564.7697,14.22,2.94E3,564.7697,13.75,3.8E3,564.7697,14.03,4.61E3,564.7701,13.18,4.03E3,-,-,-,564.7704,13.90,1.16E3,564.7697,12.45,7.49E3,564.7703,14.17,5.2E2,0.43:0.64:0.82:1.00:0.87:-:0.25:1.62:0.11,3.48E3,3.05E3,1.00:0.88,13.74,,
,0.33,3.05,484.8834,4.25 - 7.61,1,1.8E3,484.8823,4.56,2.98E3,484.8840,7.08,8.28E2,484.8831,4.60,9.14E2,484.8840,4.97,2.2E3,484.8829,4.59,2.23E3,484.8851,7.10,1.5E3,-,-,-,484.8826,4.61,2.13E3,484.8832,4.42,1.37E3,1.36:0.38:0.42:1.00:1.01:0.68:-:0.97:0.62,1.78E3,1.75E3,1.00:0.98,5.24,,
,0.33,3.47,447.9106,12.26 - 13.92,1,261.1,447.9109,13.43,2.12E2,447.9109,13.87,2.1E2,447.9105,12.95,2.84E2,447.9103,13.67,3.59E2,447.9108,13.89,1.71E2,-,-,-,447.9099,12.33,2.91E2,447.9109,13.65,2.84E2,447.9108,13.02,2.77E2,0.59:0.59:0.79:1.00:0.48:-:0.81:0.79:0.77,2.47E2,2.84E2,1.00:1.15,13.35,,
,0.33,3.55,768.7883,12.86 - 14.87,1,1.5E3,768.7867,13.51,7.13E2,768.7891,12.94,1.99E3,768.7881,13.12,1.73E3,768.7885,13.57,1.2E3,768.7900,13.88,1.21E3,-,-,-,768.7874,13.24,9.45E2,768.7862,13.82,2.66E3,768.7902,13.49,1.26E3,0.59:1.66:1.44:1.00:1.00:-:0.79:2.22:1.05,1.37E3,1.62E3,1.00:1.18,13.45,,
,0.33,4.94,983.7275,19.22 - 20.11,1,3.5E3,983.7255,19.42,2E3,983.7294,19.51,4.41E3,-,-,-,983.7241,19.66,1.58E3,983.7296,19.71,1.01E4,983.7282,19.97,2.69E3,983.7269,19.63,3.35E3,983.7278,19.91,2.78E3,983.7284,20.02,1.22E3,1.27:2.79:-:1.00:6.36:1.70:2.11:1.76:0.77,4.15E3,2.45E3,1.00:0.59,19.73,,
,0.33,3.06,710.8288,5.48 - 8.47,1,2.5E3,710.8295,7.22,1.5E3,710.8312,7.90,3.8E3,710.8296,5.69,2.5E3,710.8271,6.41,1.73E3,710.8273,6.67,2.78E3,-,-,-,710.8285,5.70,2.32E3,710.8305,6.30,2.62E3,710.8268,5.77,2.58E3,0.86:2.19:1.44:1.00:1.60:-:1.34:1.51:1.49,2.46E3,2.51E3,1.00:1.02,6.46,,
,0.33,3.50,486.8058,9.50 - 11.52,1,488.5,486.8056,9.99,4.58E2,486.8051,11.26,4.45E2,486.8063,10.81,3.7E2,486.8056,10.32,6.52E2,486.8061,10.72,3.81E2,-,-,-,486.8062,11.08,9.34E2,486.8056,9.53,3.41E2,486.8062,10.60,3.27E2,0.70:0.68:0.57:1.00:0.59:-:1.43:0.52:0.50,4.61E2,5.34E2,1.00:1.16,10.54,,
,0.33,4.06,688.8453,8.83 - 11.34,1,822.5,688.8449,9.42,4.05E2,688.8441,11.19,7.19E2,688.8455,10.22,6.54E2,688.8464,10.12,2.29E3,688.8445,8.85,4.98E2,-,-,-,688.8464,9.86,6.43E2,688.8455,10.02,8.35E2,688.8450,10.06,5.34E2,0.18:0.31:0.29:1.00:0.22:-:0.28:0.36:0.23,9.14E2,6.71E2,1.00:0.73,9.97,,
,0.33,3.66,649.8321,19.50 - 20.15,2,697.7,649.8307,19.69,9.82E2,649.8320,19.89,7.97E2,649.8317,20.12,5.16E2,649.8317,20.00,9.61E2,649.8318,19.64,4.87E2,-,-,-,649.8339,19.57,7.42E2,649.8309,19.67,5.53E2,649.8338,19.70,5.43E2,1.02:0.83:0.54:1.00:0.51:-:0.77:0.58:0.57,7.49E2,6.13E2,1.00:0.82,19.78,,
,0.33,3.97,411.8823,6.46 - 8.11,1,506.5,411.8829,7.92,2.76E2,411.8826,8.08,2.49E2,411.8824,7.01,7.53E2,411.8826,6.74,6.63E2,411.8824,6.79,3.12E2,-,-,-,411.8815,6.83,6.69E2,411.8815,6.56,5.6E2,411.8824,7.53,5.7E2,0.42:0.38:1.14:1.00:0.47:-:1.01:0.84:0.86,4.51E2,6E2,1.00:1.33,7.18,,
,0.33,5.18,679.3184,18.71 - 20.14,2,2.4E3,679.3191,19.74,2.76E3,679.3184,18.96,1.65E3,679.3193,19.42,1.98E3,679.3176,19.60,2.99E3,679.3181,18.80,4.58E2,679.3200,19.26,2.48E3,-,-,-,679.3182,19.75,4.1E3,679.3162,19.34,3.16E3,0.92:0.55:0.66:1.00:0.15:0.83:-:1.37:1.06,2.05E3,3.63E3,1.00:1.77,19.36,,
,0.33,7.36,582.6464,0.11 - 0.20,1,9.5E4,-,-,0,-,-,0,-,-,0,-,-,0,582.6463,0.17,1.92E5,582.6460,0.18,1.7E5,582.6458,0.16,2.65E5,-,-,0,582.6475,0.16,2.26E5,0:0:0:0:1.00:0.88:1.38:0:1.18,6.04E4,1.64E5,1.00:2.71,0.17,,
,0.33,3.47,634.2439,9.71 - 11.24,2,1E3,634.2432,9.87,1.27E3,634.2443,11.12,9.49E2,634.2426,10.65,6.44E2,634.2454,10.23,1.04E3,634.2432,9.93,9.29E2,-,-,-,634.2442,10.46,2.8E2,634.2441,10.14,1.09E3,634.2441,10.35,1.97E3,1.23:0.92:0.62:1.00:0.90:-:0.27:1.05:1.90,9.66E2,1.11E3,1.00:1.15,10.34,,
,0.33,5.11,646.7859,1.71 - 3.26,1,1.4E3,646.7850,2.41,7.62E2,-,-,-,646.7852,2.37,1.53E3,646.7861,2.34,1.58E3,646.7850,2.10,1.28E3,646.7858,3.24,2.61E2,646.7861,2.23,2.38E3,646.7870,1.72,1.14E3,646.7870,2.26,2.16E3,0.48:-:0.97:1.00:0.81:0.17:1.50:0.72:1.36,1.08E3,1.89E3,1.00:1.75,2.33,,
,0.33,3.45,602.7983,5.75 - 8.15,1,616.3,602.7993,8.12,3.51E2,602.7977,8.05,4.13E2,602.7980,5.83,5.15E2,602.7986,6.63,4.98E2,602.7985,6.77,1.14E3,-,-,-,602.7975,6.61,9.33E2,602.7978,6.82,7.02E2,602.7993,7.08,3.74E2,0.70:0.83:1.03:1.00:2.29:-:1.87:1.41:0.75,5.84E2,6.7E2,1.00:1.15,6.99,,
,0.33,3.48,554.7949,9.46 - 10.89,1,713.3,554.7964,9.59,6.02E2,554.7944,10.82,8.66E2,554.7951,10.59,9.99E2,554.7936,9.70,2.97E2,554.7957,9.97,9.91E2,-,-,-,554.7968,9.95,5.4E2,554.7920,9.54,6.18E2,554.7950,10.47,7.94E2,2.02:2.91:3.36:1.00:3.33:-:1.82:2.08:2.67,7.51E2,6.5E2,1.00:0.87,10.08,,
,0.33,3.26,604.8126,6.76 - 8.18,1,432.4,604.8135,8.17,2.04E2,604.8102,8.07,3.06E2,604.8135,7.25,6.47E2,604.8136,7.41,7.36E2,604.8125,7.55,2.04E2,-,-,-,604.8137,6.79,2.15E2,604.8126,7.82,7.74E2,604.8110,7.54,3.74E2,0.28:0.42:0.88:1.00:0.28:-:0.29:1.05:0.51,4.19E2,4.54E2,1.00:1.08,7.57,,
,0.33,3.06,396.8929,15.23 - 16.79,3,777.5,396.8929,16.04,3.2E2,396.8932,16.50,1.7E3,396.8931,16.17,6.15E2,396.8922,15.84,4.39E2,396.8940,15.92,7.84E2,-,-,-,396.8922,15.38,1.12E3,396.8931,16.02,9.4E2,396.8922,15.65,2.99E2,0.73:3.88:1.40:1.00:1.79:-:2.55:2.14:0.68,7.72E2,7.87E2,1.00:1.02,15.94,,
,0.33,3.88,814.7931,9.61 - 11.45,1,1.7E3,814.7926,9.93,1.71E3,814.7928,10.08,1.37E3,814.7916,10.87,2.01E3,814.7889,10.65,1.65E3,814.7937,9.91,7.61E2,-,-,-,814.7948,11.07,3.78E3,814.7976,10.57,9.14E2,814.7925,11.07,1.09E3,1.03:0.83:1.22:1.00:0.46:-:2.29:0.55:0.66,1.5E3,1.93E3,1.00:1.28,10.52,,
,0.33,5.03,906.6977,18.58 - 19.74,1,1.9E3,906.7026,18.91,3.03E3,906.7006,19.57,2.67E3,906.6969,18.73,2.1E3,906.6948,18.72,1.17E3,906.6970,18.92,2.45E3,-,-,-,906.6987,19.04,1.02E3,906.6972,19.01,1.99E3,906.6935,18.72,9.76E2,2.60:2.29:1.80:1.00:2.10:-:0.87:1.70:0.84,2.28E3,1.33E3,1.00:0.58,18.95,,
,0.33,3.66,554.7936,4.70 - 7.41,1,690,554.7935,5.01,4.88E2,554.7944,7.23,7.73E2,554.7928,5.01,7.65E2,554.7944,5.45,1.02E3,554.7935,5.04,6.52E2,-,-,-,554.7938,5.19,5.11E2,554.7928,5.28,1.05E3,554.7933,4.74,2.65E2,0.48:0.76:0.75:1.00:0.64:-:0.50:1.03:0.26,7.39E2,6.08E2,1.00:0.82,5.37,,
,0.33,5.78,654.5706,7.75 - 8.85,1,8.4E3,654.5705,8.47,3.25E4,-,-,0,-,-,0,654.5707,8.31,1.67E3,654.5696,8.47,3.36E3,-,-,0,654.5717,8.48,4.32E3,-,-,0,654.5704,8.51,3.33E4,19.53:0:0:1.00:2.02:0:2.59:0:19.97,6.26E3,1.25E4,1.00:2.00,8.45,,
,0.33,8.62,728.6446,13.35 - 13.75,1,2E3,728.6452,13.54,2.94E3,-,-,0,-,-,0,728.6442,13.56,1.43E3,728.6443,13.57,8.17E3,728.6439,13.56,3.22E3,-,-,0,-,-,0,728.6452,13.59,2.37E3,2.05:0:0:1.00:5.69:2.25:0:0:1.65,2.63E3,7.9E2,1.00:0.30,13.56,,
,0.33,8.33,634.7542,11.20 - 12.51,1,1.1E3,634.7548,11.44,1.05E3,634.7550,11.62,6.17E2,634.7550,12.24,3.63E2,634.7529,11.56,4.34E2,634.7556,11.33,5.41E2,-,-,-,634.7521,11.72,3.48E3,634.7540,11.66,9.53E2,634.7539,12.38,1.29E3,2.42:1.42:0.84:1.00:1.25:-:8.03:2.19:2.98,6.01E2,1.91E3,1.00:3.18,11.74,,
,0.33,3.23,634.2444,10.10 - 11.22,2,603.8,634.2450,10.21,7.66E2,634.2434,10.96,4.68E2,634.2433,10.81,3.6E2,634.2450,11.10,7E2,634.2440,10.62,6.43E2,-,-,-,634.2433,10.14,2.78E2,634.2452,10.41,1.2E3,634.2461,10.96,4.17E2,1.09:0.67:0.51:1.00:0.92:-:0.40:1.71:0.60,5.88E2,6.31E2,1.00:1.07,10.65,,
,0.33,7.27,620.8585,4.08 - 7.56,1,1E3,620.8578,4.95,9.5E2,620.8596,7.55,6.54E2,-,-,-,620.8579,5.14,1.28E3,620.8577,4.77,1.58E3,620.8586,6.12,2.28E3,620.8588,4.76,6.37E2,620.8586,4.13,4.3E2,620.8586,5.24,4.97E2,0.74:0.51:-:1.00:1.24:1.78:0.50:0.34:0.39,1.35E3,5.21E2,1.00:0.39,5.33,,
,0.33,3.69,640.8431,15.41 - 17.07,1,5E3,640.8411,16.87,9.16E2,640.8451,15.55,1.26E4,640.8413,16.45,2.88E3,640.8419,16.21,4.98E3,640.8427,16.31,1.59E3,-,-,-,640.8454,16.44,3.39E3,640.8440,15.54,1.06E4,640.8436,15.96,2.71E3,0.18:2.53:0.58:1.00:0.32:-:0.68:2.14:0.54,4.59E3,5.58E3,1.00:1.22,16.17,,
,0.33,3.65,779.8296,6.86 - 8.32,1,286.8,779.8295,8.32,2.85E2,779.8304,8.03,5.38E2,779.8289,6.88,2.67E2,779.8325,7.29,4.14E2,779.8301,7.70,3.24E2,-,-,0,779.8297,6.98,2.67E2,779.8273,7.12,2.06E2,779.8286,7.00,2.81E2,0.69:1.30:0.65:1.00:0.78:0:0.64:0.50:0.68,3.05E2,2.51E2,1.00:0.82,7.41,,
,0.33,3.92,749.8122,15.19 - 16.35,1,570.6,749.8121,15.80,8.07E2,749.8118,15.75,4.23E2,749.8112,15.63,4.17E2,749.8138,15.46,3.96E2,749.8125,15.79,5.18E2,-,-,-,749.8138,16.28,8.81E2,749.8096,15.56,5.28E2,749.8127,15.30,5.95E2,2.04:1.07:1.05:1.00:1.31:-:2.22:1.33:1.50,5.12E2,6.68E2,1.00:1.30,15.70,,
,0.33,3.30,668.7894,12.35 - 13.97,1,802.6,668.7914,12.86,5.28E2,668.7896,13.29,1.18E3,668.7883,13.52,6.95E2,668.7905,12.64,8.78E2,668.7894,13.82,8.72E2,-,-,-,668.7883,12.46,8.66E2,668.7883,12.59,8.18E2,668.7891,12.67,5.83E2,0.60:1.35:0.79:1.00:0.99:-:0.99:0.93:0.66,8.31E2,7.55E2,1.00:0.91,12.98,,
,0.33,4.55,688.8442,8.18 - 9.48,1,885.9,688.8446,8.31,8.71E2,688.8445,9.36,8.87E2,688.8431,8.45,6.03E2,688.8414,8.99,1.84E3,688.8429,8.71,9.04E2,-,-,-,688.8442,8.52,8.77E2,688.8463,8.62,3.97E2,688.8463,8.62,7.06E2,0.47:0.48:0.33:1.00:0.49:-:0.48:0.22:0.38,1.02E3,6.6E2,1.00:0.65,8.70,,
,0.33,4.12,804.7610,15.72 - 16.42,1,646.7,804.7640,16.28,5.15E2,804.7601,16.30,4.32E2,804.7631,15.90,4.55E2,804.7622,16.21,7.62E2,804.7585,15.82,6.57E2,-,-,-,804.7574,16.22,9.7E2,804.7611,16.41,3.92E2,804.7617,16.01,9.89E2,0.68:0.57:0.60:1.00:0.86:-:1.27:0.51:1.30,5.64E2,7.84E2,1.00:1.39,16.14,,
,0.33,3.31,660.7567,11.62 - 12.71,1,294,660.7556,12.24,3.39E2,660.7588,11.88,3.61E2,660.7566,12.68,2.55E2,660.7556,11.90,2.69E2,660.7563,12.07,2.98E2,-,-,-,660.7584,12.21,2.62E2,660.7556,11.68,3.49E2,660.7565,11.93,2.18E2,1.26:1.34:0.95:1.00:1.11:-:0.98:1.30:0.81,3.04E2,2.77E2,1.00:0.91,12.07,,
,0.33,3.80,270.2076,0.12 - 0.58,1,7.5E4,270.2077,0.45,2.58E5,-,-,0,270.2074,0.46,8.45E4,-,-,0,-,-,0,270.2073,0.45,6.96E4,270.2078,0.44,8.57E4,-,-,0,270.2076,0.46,1.76E5,1.00:0:0.33:0:0:0.27:0.33:0:0.68,6.87E4,8.74E4,1.00:1.27,0.45,,
,0.33,6.12,718.3268,19.16 - 20.16,2,2.2E3,718.3262,19.67,2E3,718.3288,19.67,2.47E3,718.3265,20.12,4.57E3,718.3267,20.08,3.01E3,-,-,-,718.3256,19.65,1.67E3,718.3264,19.77,1.39E3,718.3283,19.34,8.33E2,718.3257,19.91,1.42E3,0.66:0.82:1.52:1.00:-:0.56:0.46:0.28:0.47,2.75E3,1.21E3,1.00:0.44,19.78,,
,0.33,13.77,387.1570,2.09 - 2.78,1,6.5E3,387.1570,2.69,1.21E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,387.1571,2.69,2.28E4,387.1571,2.69,1.38E4,387.1570,2.70,9.82E3,1.00:0:0:0:0:0:1.88:1.14:0.81,2.02E3,1.54E4,1.00:7.65,2.69,,
,0.33,3.25,944.8155,19.41 - 20.24,1,2E3,944.8140,19.94,1.49E3,944.8176,19.92,2.34E3,944.8148,19.84,1.5E3,944.8132,19.81,2.27E3,944.8173,19.83,2.04E3,-,-,-,944.8115,19.87,1.55E3,944.8179,19.82,3.96E3,944.8174,19.45,7.66E2,0.65:1.03:0.66:1.00:0.90:-:0.68:1.74:0.34,1.93E3,2.09E3,1.00:1.08,19.81,,
,0.33,3.45,934.7888,16.87 - 18.24,1,3.1E3,934.7880,17.57,3.77E3,-,-,-,934.7837,17.25,3.95E3,934.7911,17.83,2.75E3,934.7904,17.04,5.62E2,934.7892,17.35,5.25E3,934.7914,17.46,3.73E3,934.7847,17.03,1.63E3,934.7919,17.18,3.1E3,1.37:-:1.43:1.00:0.20:1.91:1.35:0.59:1.13,3.25E3,2.82E3,1.00:0.87,17.34,,
,0.33,3.79,700.8024,14.83 - 16.01,1,1.5E3,700.8019,15.21,2.01E3,700.8030,15.27,2.93E3,700.8007,15.28,7.97E2,700.8020,15.25,1.39E3,700.8022,14.92,8.63E2,-,-,-,700.8010,15.02,2.17E3,700.8058,15.92,4.49E2,700.8029,15.39,1.11E3,1.45:2.11:0.57:1.00:0.62:-:1.56:0.32:0.80,1.6E3,1.24E3,1.00:0.78,15.28,,
,0.33,3.59,636.2955,18.87 - 19.86,1,443.8,636.2949,19.39,3.36E2,636.2961,19.59,5.69E2,636.2958,19.29,4.66E2,636.2939,19.83,3.29E2,636.2967,19.63,3.53E2,-,-,-,636.2952,19.46,2.95E2,636.2970,19.29,6.75E2,636.2941,19.00,5.28E2,1.02:1.73:1.42:1.00:1.07:-:0.90:2.05:1.61,4.1E2,4.99E2,1.00:1.22,19.43,,
,0.33,3.99,603.8132,9.56 - 11.08,1,558,603.8094,10.46,2.38E2,603.8141,10.76,1.15E3,603.8141,10.56,3.73E2,603.8141,10.08,1.87E2,603.8155,9.67,4.94E2,-,-,-,603.8133,9.90,4.3E2,603.8132,9.72,1.2E3,603.8121,10.36,3.92E2,1.27:6.13:1.99:1.00:2.64:-:2.30:6.42:2.10,4.88E2,6.75E2,1.00:1.38,10.19,,
,0.32,3.98,312.8656,7.01 - 8.90,3,349.7,312.8654,7.19,2.36E2,312.8667,8.86,2.3E2,312.8654,7.44,3.44E2,312.8654,7.85,4.89E2,312.8653,7.20,2.25E2,-,-,-,312.8654,7.04,4.01E2,312.8660,7.66,4.51E2,312.8654,7.85,4.22E2,0.48:0.47:0.70:1.00:0.46:-:0.82:0.92:0.86,3.05E2,4.24E2,1.00:1.39,7.64,,
,0.32,4.57,814.7910,11.37 - 14.10,1,2.9E3,814.7937,11.82,2.83E3,814.7872,11.98,1.66E3,814.7903,11.95,3.98E3,814.7920,11.86,1.89E3,814.7900,11.94,6.7E3,-,-,-,814.7946,11.88,8.35E2,814.7888,11.42,7.26E2,814.7914,12.21,4.64E3,1.50:0.88:2.11:1.00:3.55:-:0.44:0.38:2.46,3.41E3,2.07E3,1.00:0.61,11.88,,
,0.32,3.34,368.1223,0.10 - 0.24,1,7.1E4,368.1221,0.16,3.16E5,-,-,0,-,-,0,368.1219,0.16,9.18E4,-,-,0,-,-,0,-,-,0,-,-,0,368.1228,0.16,2.3E5,3.45:0:0:1.00:0:0:0:0:2.51,6.8E4,7.67E4,1.00:1.13,0.16,,
,0.32,4.92,680.8112,16.99 - 17.83,1,626.4,680.8135,17.62,3.68E2,680.8138,17.24,3.5E2,680.8104,17.70,4.76E2,680.8085,17.79,7.13E2,680.8102,17.32,4.92E2,-,-,-,680.8104,17.51,6.6E2,680.8123,17.74,1.12E3,680.8103,17.14,8.32E2,0.52:0.49:0.67:1.00:0.69:-:0.93:1.57:1.17,4.8E2,8.71E2,1.00:1.82,17.51,,
,0.32,9.21,624.7145,18.18 - 20.05,1,1.3E3,624.7143,19.66,7.36E2,624.7133,19.46,5.91E2,624.7152,19.46,9.32E2,624.7142,20.02,8.43E2,624.7158,19.94,7.78E2,624.7130,19.91,3.3E2,-,-,-,624.7152,19.42,9.81E2,624.7152,18.99,5.42E3,0.87:0.70:1.11:1.00:0.92:0.39:-:1.16:6.43,7.01E2,3.2E3,1.00:4.56,19.61,,
,0.32,3.71,742.7931,13.38 - 14.37,1,383.1,742.7926,13.71,3.03E2,742.7892,14.35,2.52E2,742.7941,13.98,4.33E2,742.7936,14.09,2.71E2,742.7934,13.57,4.77E2,-,-,-,742.7925,13.46,5.66E2,742.7979,13.57,2.18E2,742.7914,13.67,5.45E2,1.12:0.93:1.60:1.00:1.76:-:2.09:0.80:2.01,3.47E2,4.43E2,1.00:1.28,13.80,,
,0.32,5.71,838.7136,16.04 - 17.41,1,997.9,838.7143,16.69,5.13E2,838.7126,16.09,6.98E2,838.7137,16.38,6.04E2,838.7137,16.68,7.62E2,838.7168,16.58,8.5E2,-,-,-,838.7113,16.38,1.92E3,838.7113,17.13,1.84E3,838.7153,16.59,7.94E2,0.67:0.92:0.79:1.00:1.11:-:2.52:2.41:1.04,6.85E2,1.52E3,1.00:2.22,16.56,,
,0.32,3.42,672.7995,5.45 - 8.31,1,927.8,672.8031,7.93,3.25E2,672.7991,8.11,1.76E3,672.7979,6.68,7.17E2,672.7969,6.49,1.29E3,672.7997,5.74,7.96E2,-,-,-,672.8000,5.63,1.21E3,672.8009,5.88,4.07E2,672.7981,6.67,9.17E2,0.25:1.36:0.55:1.00:0.62:-:0.93:0.31:0.71,9.78E2,8.44E2,1.00:0.86,6.64,,
,0.32,4.36,736.7752,12.11 - 13.53,1,1.1E3,736.7770,13.10,5.97E2,736.7751,13.39,1.59E3,736.7750,13.22,6.37E2,736.7723,12.66,8.73E2,736.7758,12.86,9.55E2,-,-,-,736.7755,12.69,9.84E2,736.7761,12.37,2E3,736.7749,13.07,1.36E3,0.68:1.83:0.73:1.00:1.09:-:1.13:2.29:1.55,9.31E2,1.45E3,1.00:1.55,12.92,,
,0.32,3.96,485.8876,4.65 - 6.16,1,322.6,485.8887,5.05,5.36E2,485.8857,6.14,1.59E2,485.8876,5.19,3.61E2,485.8870,5.20,2.27E2,485.8873,4.67,1.43E2,485.8886,5.05,3.42E2,-,-,-,485.8875,5.10,5.49E2,485.8881,5.03,2.63E2,2.37:0.70:1.59:1.00:0.63:1.51:-:2.42:1.16,2.95E2,4.06E2,1.00:1.38,5.18,,
,0.32,3.70,679.8208,18.89 - 20.13,2,1.9E3,679.8232,19.47,1.88E3,679.8223,20.07,1.45E3,679.8215,19.12,2.09E3,679.8203,19.38,1.48E3,679.8229,19.36,1.32E3,679.8167,19.78,3.56E3,-,-,-,679.8182,19.06,2.04E3,679.8214,19.45,1.04E3,1.27:0.98:1.41:1.00:0.89:2.40:-:1.38:0.70,1.96E3,1.54E3,1.00:0.79,19.46,,
,0.32,5.70,320.1353,0.10 - 0.26,1,6E3,320.1356,0.16,2.55E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,320.1346,0.19,8.47E3,320.1357,0.16,1.98E4,1.00:0:0:0:0:0:0:0.33:0.77,4.25E3,9.41E3,1.00:2.21,0.17,,
,0.32,3.34,671.7992,5.97 - 8.46,1,818.8,671.8005,7.25,5.58E2,671.8007,8.32,6.49E2,671.7966,7.07,8.71E2,671.7988,6.17,8.54E2,671.8004,6.20,9.76E2,-,-,-,671.7987,5.99,6.13E2,671.8015,6.31,8.88E2,671.7964,7.32,1.14E3,0.65:0.76:1.02:1.00:1.14:-:0.72:1.04:1.34,7.82E2,8.81E2,1.00:1.13,6.83,,
,0.32,3.13,328.8620,9.96 - 11.19,3,270,328.8617,10.15,1.76E2,328.8618,10.87,3.23E2,328.8624,10.50,3.16E2,328.8618,10.65,2.4E2,328.8617,10.29,3.2E2,-,-,-,328.8625,11.08,4.11E2,328.8618,10.06,1.74E2,328.8624,10.76,2.02E2,0.73:1.35:1.32:1.00:1.34:-:1.71:0.73:0.84,2.75E2,2.62E2,1.00:0.95,10.55,,
,0.32,3.82,690.7727,8.39 - 9.68,1,632.3,690.7742,8.72,7.88E2,690.7721,9.66,9.09E2,690.7711,9.52,5.73E2,690.7710,8.45,6.14E2,690.7728,8.73,5.92E2,-,-,-,690.7729,8.42,3.2E2,690.7745,8.91,6.76E2,690.7730,8.89,5.85E2,1.28:1.48:0.93:1.00:0.96:-:0.52:1.10:0.95,6.95E2,5.27E2,1.00:0.76,8.91,,
,0.32,5.54,588.2096,5.27 - 6.43,1,6.9E3,588.2101,5.45,5.46E3,588.2098,5.98,2.65E4,-,-,0,588.2101,5.56,5.37E3,588.2100,5.60,5.93E3,588.2097,5.97,6.86E3,-,-,0,588.2088,5.68,5.78E3,588.2089,5.50,6.1E3,1.02:4.94:0:1.00:1.11:1.28:0:1.08:1.14,8.35E3,3.96E3,1.00:0.47,5.68,,
,0.32,4.29,757.5447,15.57 - 16.13,1,1.6E3,-,-,0,757.5456,15.87,3.39E3,757.5446,15.87,2.8E3,757.5450,15.81,1.97E3,757.5437,15.71,2.55E3,-,-,0,757.5448,15.94,2.48E3,757.5445,15.88,1.05E3,-,-,0,0:1.72:1.42:1.00:1.29:0:1.26:0.53:0,1.78E3,1.18E3,1.00:0.66,15.85,,
,0.32,3.57,602.7991,9.07 - 10.18,1,491.3,602.8000,9.40,2.74E2,602.7986,10.11,6.39E2,602.7986,9.15,4.15E2,602.8002,9.51,5.13E2,602.7992,9.23,4.3E2,-,-,-,602.8003,9.72,5.48E2,602.7966,9.35,6.46E2,602.7993,9.41,4.65E2,0.53:1.24:0.81:1.00:0.84:-:1.07:1.26:0.91,4.54E2,5.53E2,1.00:1.22,9.49,,
,0.32,3.64,500.9089,1.34 - 1.50,1,704.2,-,-,0,-,-,0,500.9091,1.43,8.49E2,500.9090,1.43,7.72E2,500.9095,1.43,7.23E2,500.9088,1.44,1.57E3,-,-,0,500.9085,1.44,1.48E3,500.9084,1.44,9.45E2,0:0:1.10:1.00:0.94:2.03:0:1.92:1.22,6.52E2,8.09E2,1.00:1.24,1.44,,
,0.32,3.89,700.7434,12.67 - 15.58,1,1.8E3,700.7408,13.90,3.78E3,700.7421,13.46,3.48E3,700.7440,14.46,1.2E3,700.7435,13.23,1.05E3,700.7440,13.05,5.02E2,-,-,-,700.7458,14.40,1.11E3,700.7435,14.56,2.34E3,700.7438,14.27,1.02E3,3.58:3.30:1.14:1.00:0.48:-:1.05:2.22:0.96,2E3,1.49E3,1.00:0.74,13.92,,
,0.32,3.93,847.7525,13.12 - 14.88,1,934.2,847.7545,14.80,5.84E2,847.7511,14.38,1.17E3,847.7505,13.23,7.43E2,847.7552,13.99,3.68E2,847.7533,14.33,1.77E3,847.7502,13.87,5.07E2,-,-,-,847.7535,14.22,1.33E3,847.7515,13.50,1.01E3,1.59:3.16:2.02:1.00:4.82:1.38:-:3.60:2.73,8.57E2,1.17E3,1.00:1.36,14.04,,
