Peptide,Quality,Significance (-10lgP),m/z,RT range,z,Avg. Area,STARD1_E00_neg m/z,STARD1_E00_neg RT mean,STARD1_E00_neg Normalized Area,STARD1_E04_neg m/z,STARD1_E04_neg RT mean,STARD1_E04_neg Normalized Area,STARD1_E05_neg m/z,STARD1_E05_neg RT mean,STARD1_E05_neg Normalized Area,STARD1_E08_neg m/z,STARD1_E08_neg RT mean,STARD1_E08_neg Normalized Area,STARD1_E09_neg m/z,STARD1_E09_neg RT mean,STARD1_E09_neg Normalized Area,STARD1_E10_neg m/z,STARD1_E10_neg RT mean,STARD1_E10_neg Normalized Area,STARD1_E11_neg m/z,STARD1_E11_neg RT mean,STARD1_E11_neg Normalized Area,STARD1_E12_neg m/z,STARD1_E12_neg RT mean,STARD1_E12_neg Normalized Area,STARD1_E06_neg m/z,STARD1_E06_neg RT mean,STARD1_E06_neg Normalized Area,STARD1_E07_neg m/z,STARD1_E07_neg RT mean,STARD1_E07_neg Normalized Area,Sample Profile (Ratio),control Normalized Area,protein Normalized Area,Group Profile (Ratio),RT mean,Accession,PTM
,0.23,3.03,707.8183,18.56 - 20.19,1,6.3E3,707.8176,19.99,1.3E4,-,-,0,707.8185,19.96,5.38E3,707.8196,20.03,1.74E4,707.8169,19.92,6.3E3,707.8176,20.07,4.11E3,707.8203,19.85,3.79E3,-,-,0,-,-,0,707.8177,19.19,1.27E4,1.00:0:0.42:1.34:0.49:0.32:0.29:0:0:0.98,6.24E3,6.33E3,1.00:1.01,19.86,,
,0.23,5.41,713.3122,19.27 - 20.13,2,2.2E3,713.3104,19.90,1.24E3,713.3110,19.42,1.7E3,713.3123,19.94,3.43E2,-,-,0,713.3124,19.85,1.32E3,-,-,0,713.3134,19.49,3.23E3,713.3150,19.79,4.03E3,713.3104,19.54,2.35E3,713.3127,19.78,7.56E3,0.73:1.00:0.20:0:0.78:0:1.89:2.37:1.38:4.44,1.48E3,4.95E3,1.00:3.34,19.71,,
,0.23,5.16,557.0601,2.93 - 3.52,1,1.7E3,-,-,0,-,-,0,557.0604,3.34,2.14E3,557.0599,3.34,3.5E3,557.0598,3.35,3.92E3,-,-,0,-,-,0,-,-,0,557.0604,3.34,2.57E3,557.0600,3.34,4.69E3,0:0:1.00:1.63:1.83:0:0:0:1.20:2.19,1.2E3,3.63E3,1.00:3.04,3.34,,
,0.23,4.07,417.3422,1.83 - 1.96,1,3.7E3,-,-,0,-,-,0,417.3419,1.90,8.71E3,417.3419,1.89,7.47E3,417.3426,1.89,9.04E3,-,-,0,-,-,0,-,-,0,417.3428,1.89,3.92E3,417.3419,1.88,7.52E3,0:0:1.00:0.86:1.04:0:0:0:0.45:0.86,3.15E3,5.72E3,1.00:1.81,1.89,,
,0.23,3.15,742.7900,19.23 - 19.93,2,857.7,742.7904,19.91,4.77E2,742.7872,19.50,1.52E3,742.7899,19.54,1.07E3,742.7936,19.22,1.96E3,742.7896,19.43,5.89E2,-,-,0,742.7862,19.46,1.13E3,-,-,0,742.7952,19.46,1.21E3,742.7882,19.78,6.35E2,0.31:1.00:0.70:1.29:0.39:0:0.74:0:0.80:0.42,8.42E2,9.22E2,1.00:1.10,19.54,,
,0.23,5.38,381.0138,0.22 - 0.50,1,3.8E3,-,-,0,-,-,0,381.0136,0.39,7.01E3,-,-,0,381.0138,0.41,6.97E3,381.0143,0.42,6.54E3,-,-,0,-,-,0,381.0137,0.38,1E4,381.0138,0.40,7.24E3,0:0:1.00:0:0.99:0.93:0:0:1.43:1.03,2.56E3,8.62E3,1.00:3.36,0.40,,
,0.23,4.70,487.2899,19.15 - 20.17,1,2.3E3,487.2900,19.78,2.73E3,487.2906,19.76,6.14E3,487.2894,19.72,9.08E2,487.2901,19.88,2.02E3,487.2898,19.81,1.12E3,-,-,0,-,-,0,487.2894,19.57,8.4E3,-,-,0,487.2901,19.74,2.13E3,0.45:1.00:0.15:0.33:0.18:0:0:1.37:0:0.35,2.66E3,1.07E3,1.00:0.40,19.75,,
,0.23,4.72,586.8242,8.56 - 14.37,1,2.7E3,586.8220,9.59,2.08E3,-,-,0,586.8246,9.45,1.68E3,586.8242,9.71,1.67E3,586.8227,9.00,4.05E3,-,-,0,586.8271,9.65,7.72E3,586.8239,9.37,7.11E3,586.8243,8.97,1.58E3,586.8244,9.82,8.23E2,1.00:0:0.81:0.80:1.95:0:3.71:3.41:0.76:0.39,3.04E3,1.2E3,1.00:0.40,9.44,,
,0.23,4.07,585.3654,2.93 - 3.84,1,4E3,-,-,0,585.3654,3.43,9.06E3,585.3658,3.45,5.5E3,585.3652,3.43,6.83E3,585.3649,3.42,5.67E3,-,-,0,-,-,0,-,-,0,585.3659,3.44,5.89E3,585.3654,3.43,6.55E3,0:1.00:0.61:0.75:0.63:0:0:0:0.65:0.72,3.38E3,6.22E3,1.00:1.84,3.43,,
,0.23,4.28,712.6493,13.84 - 14.26,1,1.6E3,-,-,0,-,-,0,-,-,0,712.6490,14.00,8.36E3,-,-,0,-,-,0,712.6494,14.04,2.1E3,-,-,0,712.6494,14.07,5.33E3,-,-,0,0:0:0:1.00:0:0:0.25:0:0.64:0,1.31E3,2.67E3,1.00:2.04,14.04,,
,0.23,4.20,895.5119,0.10 - 0.24,1,6.8E4,895.5120,0.16,2.2E5,-,-,0,895.5117,0.17,1.1E5,895.5126,0.16,1.23E5,-,-,0,-,-,0,-,-,0,-,-,0,895.5114,0.17,2.23E5,-,-,0,1.00:0:0.50:0.56:0:0:0:0:1.01:0,5.67E4,1.12E5,1.00:1.97,0.17,,
,0.23,3.53,661.7931,19.59 - 20.11,1,1.1E3,661.7932,20.04,1.02E3,661.7944,19.73,2.71E3,-,-,0,661.7922,19.73,1.34E3,-,-,0,661.7926,19.82,1.81E3,-,-,0,661.7922,20.03,1.21E3,661.7931,19.99,1.62E3,661.7941,20.03,1.16E3,0.38:1.00:0:0.49:0:0.67:0:0.45:0.60:0.43,1.01E3,1.39E3,1.00:1.37,19.91,,
,0.23,5.73,770.7190,17.64 - 20.11,1,4E3,770.7161,18.39,4.09E3,770.7212,18.27,6.58E3,770.7192,18.86,2.73E3,770.7180,19.19,2.7E3,770.7203,17.85,2.14E3,-,-,0,770.7205,18.02,7.39E2,770.7169,18.41,1.82E4,-,-,0,770.7195,18.11,2.35E3,0.62:1.00:0.41:0.41:0.33:0:0.11:2.77:0:0.36,4.65E3,1.18E3,1.00:0.25,18.39,,
,0.23,6.31,253.1442,0.11 - 5.40,1,4.3E5,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,253.1440,0.18,6.47E5,253.1439,0.37,1.26E6,-,-,0,253.1444,0.38,1.11E6,253.1445,0.40,1.24E6,0:0:0:0:0:1.00:1.94:0:1.72:1.92,2.38E5,1.18E6,1.00:4.96,0.33,,
,0.23,5.33,586.8214,9.67 - 16.02,1,4.8E3,586.8229,10.43,1.58E3,-,-,-,586.8228,9.94,1.33E3,586.8195,9.92,1.71E3,586.8186,11.01,9.11E3,586.8160,9.73,1.14E3,586.8229,10.50,9.17E2,586.8246,10.12,6.22E3,586.8212,10.23,9.39E3,586.8239,11.02,1.15E4,1.00:-:0.84:1.08:5.75:0.72:0.58:3.93:5.93:7.25,3.14E3,1.04E4,1.00:3.32,10.32,,
,0.23,3.91,527.3963,3.66 - 4.64,1,3.1E3,527.3964,4.50,5.09E3,527.3962,4.50,2.89E3,527.3961,4.49,3.34E3,527.3962,4.48,9.36E3,-,-,0,-,-,0,527.3961,4.51,6.52E3,-,-,0,527.3965,4.48,4.06E3,-,-,0,1.76:1.00:1.16:3.24:0:0:2.26:0:1.40:0,3.4E3,2.03E3,1.00:0.60,4.49,,
,0.23,4.24,548.1332,3.77 - 3.94,1,1.1E3,-,-,0,-,-,0,-,-,0,-,-,0,548.1333,3.85,2.46E3,548.1332,3.85,2.58E3,548.1330,3.86,2.33E3,-,-,0,548.1333,3.85,3.67E3,-,-,0,0:0:0:0:1.00:1.05:0.95:0:1.49:0,9.21E2,1.83E3,1.00:1.99,3.85,,
,0.23,3.38,702.7336,16.40 - 20.12,1,7.9E3,702.7297,17.61,6.17E3,702.7327,17.05,8.34E3,702.7366,17.83,1.19E4,702.7346,17.87,1.44E4,-,-,0,-,-,0,702.7351,17.45,1.76E3,702.7326,17.81,1.81E4,702.7346,17.06,1.89E3,702.7327,17.61,1.7E4,0.74:1.00:1.42:1.72:0:0:0.21:2.16:0.23:2.04,7.57E3,9.46E3,1.00:1.25,17.54,,
,0.23,4.01,566.7550,19.30 - 20.09,1,1.1E3,-,-,0,566.7565,19.76,1.78E3,566.7549,19.91,1.29E3,-,-,0,566.7538,20.03,1.22E3,566.7555,19.82,1.13E3,566.7548,19.48,2.02E3,-,-,0,566.7547,19.58,1.85E3,566.7550,19.71,1.44E3,0:1.00:0.72:0:0.68:0.63:1.13:0:1.03:0.81,9.3E2,1.64E3,1.00:1.77,19.76,,
,0.23,5.76,328.8618,11.85 - 15.02,1,3.7E3,328.8620,13.59,3.11E3,328.8613,12.91,6.17E3,328.8619,12.31,4.24E3,-,-,0,328.8619,13.40,1.05E3,328.8619,12.10,5.58E3,-,-,0,328.8613,11.98,1.47E4,328.8621,12.92,5.3E2,328.8620,12.95,1.69E3,0.50:1.00:0.69:0:0.17:0.90:0:2.38:0.09:0.27,4.36E3,1.11E3,1.00:0.25,12.77,,
,0.23,4.66,631.8153,19.17 - 20.12,1,1.9E3,631.8152,19.79,3.71E3,-,-,0,631.8173,19.60,1.54E3,631.8144,19.71,4.12E3,631.8132,19.89,1.07E3,-,-,0,-,-,0,631.8163,19.57,1.6E3,631.8162,19.36,3.79E3,631.8146,19.75,3.54E3,1.00:0:0.42:1.11:0.29:0:0:0.43:1.02:0.95,1.51E3,3.66E3,1.00:2.43,19.67,,
,0.23,3.26,586.8207,7.39 - 8.45,1,1E3,586.8229,8.17,2.64E3,-,-,0,586.8102,8.04,7.09E2,586.8206,8.25,1.64E3,586.8242,8.05,1.24E3,586.8204,8.10,9.04E2,586.8212,8.09,1.32E3,-,-,0,586.8212,8.03,1.37E3,586.8247,7.43,4.4E2,1.00:0:0.27:0.62:0.47:0.34:0.50:0:0.52:0.17,1.06E3,9.03E2,1.00:0.85,8.02,,
,0.23,5.07,668.7826,18.48 - 20.10,1,1.4E3,668.7795,20.05,1.3E3,668.7884,18.53,2.86E3,-,-,0,668.7818,19.50,8.08E2,668.7815,19.87,1.63E3,668.7825,19.43,1.93E3,668.7811,19.90,1.09E3,668.7860,18.82,3.37E3,668.7798,19.19,1.1E3,-,-,0,0.45:1.00:0:0.28:0.57:0.68:0.38:1.18:0.39:0,1.62E3,5.52E2,1.00:0.34,19.41,,
,0.23,4.13,581.1414,3.54 - 4.28,1,1.6E3,581.1412,3.69,4.2E3,-,-,0,581.1412,3.68,8.5E2,-,-,0,581.1417,4.14,2.44E3,581.1416,3.67,2.67E3,581.1414,4.14,7.73E2,-,-,0,581.1412,3.67,1.25E3,581.1417,3.66,3.95E3,1.00:0:0.20:0:0.58:0.64:0.18:0:0.30:0.94,1.37E3,2.6E3,1.00:1.90,3.81,,
,0.23,3.83,641.8448,15.14 - 18.20,1,3E3,641.8461,17.85,2.8E3,641.8433,17.37,3.2E3,-,-,0,641.8452,17.33,1.31E3,641.8439,17.60,3.32E3,641.8470,17.16,1.41E4,-,-,0,641.8441,17.56,1.43E3,641.8449,17.31,2.81E3,641.8442,17.06,1.25E3,0.88:1.00:0:0.41:1.04:4.41:0:0.45:0.88:0.39,3.27E3,2.03E3,1.00:0.62,17.40,,
,0.23,9.87,584.4291,0.52 - 0.93,1,982.3,-,-,0,-,-,0,584.4290,0.85,2.54E3,584.4290,0.66,2.83E3,584.4292,0.84,4.46E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.12:1.76:0:0:0:0:0,1.23E3,0,1.00:0,0.78,,
,0.23,3.21,700.8016,19.32 - 20.16,1,2.6E3,-,-,0,700.8018,19.93,7.36E3,-,-,0,700.8013,20.03,2.67E3,700.8010,20.04,2.63E3,700.8043,19.40,2.04E3,-,-,0,700.8026,19.50,5.2E3,700.8004,19.53,1.8E3,700.8000,19.80,3.86E3,0:1.00:0:0.36:0.36:0.28:0:0.71:0.24:0.53,2.49E3,2.83E3,1.00:1.14,19.75,,
,0.23,9.87,729.5306,4.15 - 4.74,1,2.2E3,-,-,0,729.5308,4.57,3.77E3,729.5310,4.52,6.96E3,729.5305,4.52,6.38E3,-,-,0,729.5301,4.54,4.92E3,-,-,0,-,-,0,-,-,0,-,-,0,0:1.00:1.85:1.69:0:1.31:0:0:0:0,2.75E3,0,1.00:0,4.54,,
,0.23,4.94,738.8113,18.86 - 20.24,1,8.7E3,-,-,0,-,-,0,738.8105,19.70,7.57E3,738.8121,19.16,2.93E3,738.8112,19.66,1.12E4,738.8110,19.77,1.69E4,-,-,0,738.8120,19.47,1.3E4,738.8131,19.88,1.31E4,738.8094,19.68,2.28E4,0:0:1.00:0.39:1.48:2.23:0:1.71:1.73:3.01,6.44E3,1.79E4,1.00:2.78,19.62,,
,0.23,4.95,557.3337,1.93 - 3.94,2,5.5E3,557.3342,2.82,3.41E3,557.3348,2.12,9.76E2,557.3336,3.00,4.72E3,557.3326,2.92,8.59E3,557.3344,3.35,4.32E3,557.3330,2.28,1.5E3,557.3331,2.87,8.65E3,-,-,0,-,-,0,557.3337,3.00,2.27E4,3.49:1.00:4.84:8.80:4.43:1.54:8.86:0:0:23.22,4.02E3,1.13E4,1.00:2.82,2.79,,
,0.23,4.19,514.1754,4.92 - 6.33,1,1E4,-,-,0,514.1755,5.57,2.54E4,514.1759,5.43,2.11E4,514.1749,5.36,2.1E4,-,-,0,514.1758,5.48,2.27E4,-,-,0,-,-,0,-,-,0,514.1750,5.38,1.15E4,0:1.00:0.83:0.83:0:0.90:0:0:0:0.45,1.13E4,5.76E3,1.00:0.51,5.44,,
,0.23,8.59,518.8367,5.87 - 12.60,1,2.8E4,518.8366,6.04,1.12E3,518.8353,6.92,5.87E3,518.8365,7.60,8.42E4,518.8365,7.22,5.84E4,518.8379,6.48,4.99E3,518.8372,6.93,2.78E3,518.8365,6.23,2.05E3,518.8374,6.49,1.14E5,518.8359,6.70,1.91E3,518.8366,6.54,4.28E3,0.19:1.00:14.36:9.95:0.85:0.47:0.35:19.51:0.33:0.73,3.42E4,3.09E3,1.00:0.09,6.72,,
,0.23,9.79,374.2204,0.10 - 0.30,1,3.1E4,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,374.2201,0.18,2.26E4,-,-,0,-,-,0,-,-,0,374.2208,0.17,2.83E5,0:0:0:0:0:1.00:0:0:0:12.54,2.83E3,1.42E5,1.00:50.15,0.17,,
,0.23,4.24,535.3272,0.28 - 0.60,1,2.1E3,535.3272,0.54,6.86E3,-,-,0,535.3275,0.53,6.83E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,535.3270,0.51,6.84E3,-,-,0,1.00:0:1.00:0:0:0:0:0:1.00:0,1.71E3,3.42E3,1.00:2.00,0.53,,
,0.23,4.70,474.1354,5.14 - 5.92,1,2.3E3,-,-,0,-,-,0,474.1356,5.74,6.56E3,474.1353,5.69,5.86E3,-,-,0,-,-,0,474.1359,5.72,1.69E3,-,-,0,474.1352,5.71,1.92E3,474.1353,5.70,6.89E3,0:0:1.00:0.89:0:0:0.26:0:0.29:1.05,1.76E3,4.41E3,1.00:2.50,5.71,,
,0.23,4.07,594.8457,2.50 - 7.34,1,1.3E4,594.8458,2.83,2.36E4,594.8444,2.72,4.06E3,594.8477,2.61,1.72E3,594.8411,3.18,2.25E3,594.8498,2.88,3.88E3,594.8442,3.11,9.66E3,-,-,-,594.8483,3.35,3.35E4,594.8462,3.67,3.71E4,594.8441,3.00,4E3,5.80:1.00:0.42:0.55:0.95:2.38:-:8.24:9.13:0.98,1.12E4,2.06E4,1.00:1.83,3.04,,
,0.23,3.50,914.7316,12.88 - 20.11,1,2.7E4,914.7361,17.42,6.89E3,914.7336,17.47,8.39E3,914.7262,18.06,7.37E4,-,-,-,914.7313,17.90,5.61E4,914.7273,18.67,1.76E3,914.7299,16.50,2.08E4,914.7383,17.89,9.3E3,914.7325,17.46,7.16E3,914.7291,17.88,6.06E4,0.82:1.00:8.79:-:6.68:0.21:2.48:1.11:0.85:7.22,2.53E4,3.39E4,1.00:1.34,17.70,,
,0.23,9.91,776.8027,18.69 - 20.15,1,4.4E3,776.8044,19.09,5.35E3,776.8017,18.89,8.85E3,776.8038,19.06,4.45E3,776.8016,19.10,6.09E3,-,-,0,776.7996,19.48,8.64E3,776.8027,19.25,4.56E3,776.8049,18.96,5.64E3,-,-,0,-,-,0,0.60:1.00:0.50:0.69:0:0.98:0.52:0.64:0:0,5.45E3,0,1.00:0,19.12,,
,0.22,5.46,733.7966,19.03 - 20.12,1,2.2E3,733.7954,19.35,2.37E3,733.7950,19.33,1.87E3,733.7961,19.40,5.19E3,733.7965,19.38,3.67E3,-,-,0,733.7983,19.18,3.57E3,-,-,0,733.7965,19.38,3.65E3,-,-,0,733.7986,19.65,1.48E3,1.27:1.00:2.78:1.96:0:1.91:0:1.95:0:0.79,2.54E3,7.39E2,1.00:0.29,19.38,,
,0.22,10.06,282.1336,0.10 - 0.49,1,3.2E4,-,-,0,-,-,0,282.1345,0.17,7.49E4,282.1325,0.18,6.93E4,282.1340,0.17,8.06E4,-,-,0,282.1333,0.16,9.07E4,-,-,0,-,-,0,-,-,0,0:0:1.00:0.93:1.08:0:1.21:0:0:0,3.94E4,0,1.00:0,0.17,,
,0.22,3.47,732.8165,16.20 - 19.24,1,1E4,732.8145,18.02,3.9E3,-,-,0,732.8163,17.27,3.67E4,732.8173,17.55,1.67E4,732.8163,17.74,1.22E4,-,-,0,732.8131,17.90,7.86E3,-,-,0,732.8184,17.38,7.67E3,732.8198,17.74,1.78E4,1.00:0:9.41:4.28:3.12:0:2.02:0:1.97:4.57,9.66E3,1.27E4,1.00:1.32,17.66,,
,0.22,6.58,726.6284,11.91 - 12.32,1,1.4E3,-,-,0,-,-,0,-,-,0,726.6295,12.14,5.89E3,-,-,0,-,-,0,-,-,0,-,-,0,726.6278,12.20,3.13E3,726.6279,12.18,4.53E3,0:0:0:1.00:0:0:0:0:0.53:0.77,7.37E2,3.83E3,1.00:5.20,12.17,,
,0.22,3.46,392.7529,4.81 - 8.48,2,4.9E3,392.7522,5.55,1.61E3,-,-,0,392.7530,5.90,3.34E3,392.7530,6.11,7.8E3,-,-,0,392.7530,5.30,4.16E3,392.7530,5.28,9.06E3,392.7530,5.36,1.13E4,-,-,0,392.7530,5.96,1.22E4,1.00:0:2.07:4.84:0:2.58:5.61:6.99:0:7.53,4.66E3,6.08E3,1.00:1.30,5.64,,
,0.22,3.58,641.8460,10.68 - 17.35,1,1.2E3,641.8441,17.12,1.05E3,641.8453,16.92,7.21E2,641.8463,15.68,7.82E2,641.8442,16.31,6.9E2,641.8461,16.46,1.62E3,641.8480,16.33,1.89E3,-,-,-,641.8489,16.63,1.87E3,641.8454,15.68,-,641.8455,15.96,8.82E2,1.45:1.00:1.08:0.96:2.24:2.62:-:2.59:-:1.22,1.23E3,8.82E2,1.00:0.72,16.34,,
,0.22,10.00,749.3426,19.56 - 20.21,2,3.8E3,749.3414,20.13,7E3,749.3420,20.15,8.05E3,749.3434,20.12,4.73E3,749.3408,20.13,3.69E3,749.3414,20.13,4.21E3,749.3481,19.59,8.42E2,-,-,0,749.3411,20.14,9.16E3,-,-,0,-,-,0,0.87:1.00:0.59:0.46:0.52:0.10:0:1.14:0:0,4.71E3,0,1.00:0,20.06,,
,0.22,4.82,785.8061,19.28 - 20.20,2,2.8E3,785.8059,20.00,1.41E3,785.8074,20.13,9.19E3,785.8063,19.86,2.53E3,-,-,0,785.8070,19.78,1.72E3,785.8060,20.09,3.71E3,785.8049,19.36,7.7E2,785.8057,20.11,6.23E3,785.8053,20.13,2.47E3,-,-,0,0.15:1.00:0.28:0:0.19:0.40:0.08:0.68:0.27:0,3.19E3,1.23E3,1.00:0.39,19.93,,
,0.22,4.22,838.7079,18.58 - 20.11,1,3.3E3,-,-,0,838.7092,19.45,1.91E3,-,-,0,-,-,0,838.7089,18.80,3.89E3,838.7068,19.75,2.87E3,838.7052,19.06,5.25E3,838.7082,19.28,8.13E3,838.7083,19.18,6.58E3,838.7085,19.03,4.16E3,0:1.00:0:0:2.04:1.51:2.75:4.27:3.45:2.18,2.76E3,5.37E3,1.00:1.95,19.22,,
,0.22,4.09,942.7738,19.72 - 20.23,1,2.3E3,-,-,0,942.7769,20.13,5.68E3,942.7751,20.12,3.45E3,-,-,0,-,-,0,942.7776,20.19,5.81E3,942.7733,20.11,2.62E3,942.7695,20.12,3.05E3,942.7694,20.13,2.05E3,942.7751,19.79,7.87E2,0:1.00:0.61:0:0:1.02:0.46:0.54:0.36:0.14,2.58E3,1.42E3,1.00:0.55,20.09,,
,0.22,4.24,574.8512,3.66 - 11.38,1,1.9E4,574.8524,4.99,4.3E4,574.8507,6.74,1.28E4,574.8517,6.01,2.56E4,574.8492,6.38,5.18E4,574.8517,7.39,3.45E3,574.8524,6.64,2.17E4,-,-,0,574.8524,6.07,6.41E3,574.8494,5.95,2.12E4,-,-,0,3.36:1.00:2.00:4.05:0.27:1.70:0:0.50:1.66:0,2.06E4,1.06E4,1.00:0.51,6.27,,
,0.22,3.01,620.8515,14.78 - 20.32,1,2.3E4,620.8545,19.50,1.82E4,620.8491,19.78,9.36E4,620.8477,19.69,2.73E4,-,-,0,-,-,0,-,-,0,620.8525,19.40,2.64E4,620.8538,19.35,2.26E4,620.8541,18.84,1.82E4,620.8491,19.43,2.86E4,0.19:1.00:0.29:0:0:0:0.28:0.24:0.19:0.31,2.35E4,2.34E4,1.00:1.00,19.43,,
,0.22,7.03,271.1550,0.10 - 0.48,1,3.4E4,-,-,0,-,-,0,-,-,0,271.1552,0.16,9.94E4,-,-,0,271.1548,0.14,3.31E4,-,-,0,-,-,0,271.1555,0.15,1.1E5,271.1544,0.15,9.31E4,0:0:0:1.00:0:0.33:0:0:1.11:0.94,1.66E4,1.02E5,1.00:6.13,0.15,,
,0.22,7.35,466.2814,0.30 - 1.06,1,1.5E3,-,-,0,-,-,0,-,-,0,466.2812,0.91,3.83E3,466.2811,0.93,1.59E3,-,-,0,-,-,0,-,-,0,466.2818,0.92,6.37E3,466.2814,0.93,2.79E3,0:0:0:1.00:0.42:0:0:0:1.66:0.73,6.78E2,4.58E3,1.00:6.76,0.92,,
,0.22,4.66,694.3986,4.30 - 4.63,1,871.1,694.3975,4.54,3.58E3,-,-,0,-,-,0,694.3985,4.54,1.68E3,694.4000,4.54,1.46E3,-,-,0,694.3987,4.55,1.16E3,-,-,0,694.3984,4.55,8.28E2,-,-,0,1.00:0:0:0.47:0.41:0:0.33:0:0.23:0,9.85E2,4.14E2,1.00:0.42,4.54,,
,0.22,3.52,353.1214,0.36 - 0.69,1,7.8E3,-,-,0,-,-,0,-,-,0,-,-,0,353.1211,0.53,2.74E4,-,-,0,353.1219,0.55,3.12E4,-,-,0,353.1211,0.51,1.98E4,-,-,0,0:0:0:0:1.00:0:1.14:0:0.72:0,7.33E3,9.92E3,1.00:1.35,0.53,,
,0.22,3.49,760.6901,18.20 - 19.29,1,1.8E3,760.6901,18.63,1.41E3,-,-,0,760.6884,18.81,1.78E3,-,-,0,760.6903,18.92,2.99E3,760.6899,18.82,4.71E3,-,-,0,760.6903,18.36,2.92E3,760.6912,18.67,2.47E3,760.6902,18.32,2.12E3,1.00:0:1.27:0:2.12:3.35:0:2.07:1.75:1.51,1.73E3,2.3E3,1.00:1.33,18.65,,
,0.22,7.04,519.8412,4.10 - 11.54,1,2E4,519.8420,5.14,7.75E3,519.8406,5.98,4.64E3,519.8413,6.06,1.74E3,519.8413,6.54,5.54E4,519.8412,6.17,3.14E3,519.8419,5.49,5.01E3,519.8412,5.78,1.01E5,519.8406,6.02,6.41E2,-,-,-,519.8406,5.86,3.68E3,1.67:1.00:0.38:11.94:0.68:1.08:21.68:0.14:-:0.79,2.24E4,3.68E3,1.00:0.16,5.89,,
,0.22,10.10,836.7114,18.16 - 20.12,1,3.4E3,836.7108,18.77,4.69E3,836.7103,18.83,2.87E3,836.7135,18.86,3.87E3,836.7097,18.91,5.36E3,836.7112,18.92,2.05E3,-,-,0,836.7102,19.16,9.03E3,836.7141,18.58,6.26E3,-,-,0,-,-,0,1.64:1.00:1.35:1.87:0.71:0:3.15:2.18:0:0,4.26E3,0,1.00:0,18.86,,
,0.22,3.35,665.8095,18.61 - 20.13,1,2E3,-,-,0,665.8114,18.70,1.14E3,665.8092,19.67,4.45E3,665.8092,19.67,2.47E3,-,-,0,-,-,0,665.8092,19.81,1.39E3,665.8082,19.63,5.78E3,665.8101,19.87,1.76E3,665.8093,19.63,2.91E3,0:1.00:3.91:2.17:0:0:1.22:5.08:1.54:2.56,1.9E3,2.34E3,1.00:1.23,19.57,,
,0.22,4.20,769.3536,11.64 - 12.19,1,3.9E3,-,-,0,-,-,0,-,-,0,-,-,0,769.3524,11.87,3.9E3,-,-,0,769.3544,11.95,3.06E4,-,-,0,-,-,0,769.3540,11.94,4.46E3,0:0:0:0:1.00:0:7.84:0:0:1.14,4.31E3,2.23E3,1.00:0.52,11.92,,
,0.22,4.25,765.6282,13.21 - 13.62,1,1.9E3,-,-,0,-,-,0,-,-,0,765.6294,13.34,9.59E3,-,-,0,-,-,0,-,-,0,765.6274,13.39,3.05E3,765.6279,13.36,6.24E3,-,-,0,0:0:0:1.00:0:0:0:0.32:0.65:0,1.58E3,3.12E3,1.00:1.97,13.36,,
,0.22,10.11,584.4288,0.49 - 0.91,1,920.4,-,-,0,-,-,0,584.4290,0.66,1.91E3,584.4286,0.84,2.35E3,584.4288,0.66,4.95E3,-,-,0,-,-,0,-,-,0,-,-,0,-,-,0,0:0:1.00:1.23:2.59:0:0:0:0:0,1.15E3,0,1.00:0,0.72,,
,0.22,8.32,778.7295,16.25 - 16.35,1,670,-,-,0,-,-,0,-,-,0,778.7285,16.31,2E3,-,-,0,-,-,0,-,-,0,-,-,0,778.7303,16.30,2.29E3,778.7296,16.30,2.41E3,0:0:0:1.00:0:0:0:0:1.15:1.21,2.5E2,2.35E3,1.00:9.42,16.30,,
,0.22,10.09,529.3002,3.21 - 3.92,1,2.7E3,-,-,0,-,-,0,-,-,0,529.3013,3.85,5.58E2,529.3001,3.65,2.59E3,-,-,0,529.2998,3.87,1.56E3,-,-,0,529.3002,3.85,8.6E3,529.2997,3.83,1.41E4,0:0:0:1.00:4.64:0:2.79:0:15.42:25.25,5.88E2,1.13E4,1.00:19.31,3.81,,
,0.22,3.77,666.8078,18.69 - 20.14,1,3.4E3,-,-,0,666.8074,18.75,8.93E3,-,-,0,-,-,0,666.8071,19.57,6.31E3,666.8082,19.37,6.69E3,666.8091,19.39,3.42E3,666.8083,19.97,3.81E3,666.8073,19.43,1.89E3,666.8071,19.87,2.84E3,0:1.00:0:0:0.71:0.75:0.38:0.43:0.21:0.32,3.65E3,2.37E3,1.00:0.65,19.48,,
,0.22,4.54,786.3142,19.24 - 20.14,1,1.8E3,-,-,0,786.3137,19.54,9.43E2,786.3126,19.69,5.03E3,-,-,0,786.3116,20.03,2.58E3,786.3153,19.68,2.09E3,786.3170,20.07,1.19E3,-,-,0,786.3140,19.66,1E3,786.3151,19.92,5.62E3,0:1.00:5.33:0:2.74:2.22:1.26:0:1.06:5.95,1.48E3,3.31E3,1.00:2.24,19.80,,
